,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,182685328095.43,9905.17,2020-07-26
1,2,ETHEthereum,ETH,34656472192.79,309.64,2020-07-26
2,3,USDTTether,USDT,9986931175.59,0.9989,2020-07-26
3,4,XRPXRP,XRP,9641671805.39,0.215,2020-07-26
4,5,BCHBitcoin Cash,BCH,4559569200.5,246.82,2020-07-26
5,6,ADACardano,ADA,3839996381.14,0.1481,2020-07-26
6,7,BSVBitcoin SV,BSV,3510240761.52,190.04,2020-07-26
7,8,LTCLitecoin,LTC,3124123307.28,47.98,2020-07-26
8,9,CROCrypto.com Coin,CRO,2824396975.44,0.1533,2020-07-26
9,10,BNBBinance Coin,BNB,2818964002.61,19.52,2020-07-26
10,11,LINKChainlink,LINK,2624651695.12,7.5,2020-07-26
11,12,EOSEOS,EOS,2536659504.18,2.71,2020-07-26
12,13,XTZTezos,XTZ,2199951158.84,2.98,2020-07-26
13,14,XLMStellar,XLM,2020075131.15,0.09873,2020-07-26
14,15,XMRMonero,XMR,1375282378.19,77.94,2020-07-26
15,16,TRXTRON,TRX,1327482791.03,0.01852,2020-07-26
16,17,LEOUNUS SED LEO,LEO,1213178467.48,1.21,2020-07-26
17,18,USDCUSD Coin,USDC,1159911791.36,0.9974,2020-07-26
18,19,HEXHEX,HEX,1147899231.14,0.004392,2020-07-26
19,20,VETVeChain,VET,973013081.73,0.01755,2020-07-26
