,Open,High,Low,Close,Volume,Close time
0,2.0,2.8,1.51,1.512,48613763.6,2022-01-30 23:59:59.999
1,1.521,1.88,1.21,1.686,39383211.46,2022-02-06 23:59:59.999
2,1.686,1.957,1.415,1.466,27987940.13,2022-02-13 23:59:59.999
3,1.466,1.67,1.155,1.241,21094571.71,2022-02-20 23:59:59.999
4,1.242,1.35,0.821,1.129,59005419.04,2022-02-27 23:59:59.999
5,1.129,1.449,1.096,1.114,36779256.49,2022-03-06 23:59:59.999
6,1.115,1.2,0.986,0.998,24723995.02,2022-03-13 23:59:59.999
7,0.999,1.273,0.987,1.178,32813622.53,2022-03-20 23:59:59.999
8,1.178,1.47,1.148,1.239,36921348.89,2022-03-27 23:59:59.999
9,1.239,2.17,1.193,1.67,82907932.28,2022-04-03 23:59:59.999
10,1.668,2.1,1.463,1.728,68856597.35,2022-04-10 23:59:59.999
11,1.729,1.739,1.384,1.459,43533592.31,2022-04-17 23:59:59.999
12,1.459,1.66,1.217,1.229,44622272.46,2022-04-24 23:59:59.999
13,1.229,1.291,0.928,0.963,37953738.79,2022-05-01 23:59:59.999
14,0.963,1.131,0.826,0.853,43858669.61,2022-05-08 23:59:59.999
15,0.853,0.865,0.319,0.527,81052028.25,2022-05-15 23:59:59.999
16,0.526,0.526,0.353,0.392,54479261.28,2022-05-22 23:59:59.999
17,0.392,0.476,0.333,0.371,70658956.91,2022-05-29 23:59:59.999
18,0.371,0.465,0.358,0.37,46207014.43,2022-06-05 23:59:59.999
