,Open,High,Low,Close,Volume,Close time
0,0.06464,0.098,0.05651,0.05751,3843536047.0,2022-01-16 23:59:59.999
1,0.05761,0.05881,0.03232,0.03983,1475086659.0,2022-01-23 23:59:59.999
2,0.03988,0.04538,0.03419,0.03884,519780780.0,2022-01-30 23:59:59.999
3,0.03878,0.04272,0.03524,0.03963,390013051.0,2022-02-06 23:59:59.999
4,0.03973,0.06333,0.03894,0.04334,2652875934.0,2022-02-13 23:59:59.999
5,0.04332,0.069,0.04299,0.05119,3389133618.0,2022-02-20 23:59:59.999
6,0.05117,0.05594,0.04003,0.04614,1213754571.0,2022-02-27 23:59:59.999
7,0.04614,0.05099,0.04263,0.04285,529429369.0,2022-03-06 23:59:59.999
8,0.04286,0.0446,0.03912,0.03947,371360445.0,2022-03-13 23:59:59.999
9,0.0394,0.04566,0.03794,0.04007,423657938.0,2022-03-20 23:59:59.999
10,0.04007,0.0445,0.03991,0.04349,886763799.0,2022-03-27 23:59:59.999
11,0.04349,0.04661,0.0398,0.04275,789909620.0,2022-04-03 23:59:59.999
12,0.04275,0.048,0.03757,0.03792,697838390.0,2022-04-10 23:59:59.999
13,0.03794,0.04499,0.03424,0.03517,1912047722.0,2022-04-17 23:59:59.999
14,0.03514,0.03691,0.03148,0.03152,2062904871.0,2022-04-24 23:59:59.999
15,0.0315,0.03194,0.02359,0.02503,1540611664.0,2022-05-01 23:59:59.999
16,0.02508,0.02817,0.0216,0.02208,2128466618.0,2022-05-08 23:59:59.999
17,0.02209,0.02513,0.01309,0.01722,1398482865.0,2022-05-15 23:59:59.999
18,0.0172,0.01777,0.01464,0.01758,461726349.0,2022-05-22 23:59:59.999
19,0.01755,0.03763,0.01601,0.01717,3569244778.0,2022-05-29 23:59:59.999
20,0.01717,0.01853,0.01476,0.01527,876531719.0,2022-06-05 23:59:59.999
0,0.01531,0.01623,0.01196,0.01235,669575037.0,2022-06-12 23:59:59.999000
0,0.01234,0.0162,0.01059,0.0124,1397001001.0,2022-06-19 23:59:59.999000
1,0.01241,0.01431,0.0116,0.0121,1403399586.0,2022-06-26 23:59:59.999000
2,0.0121,0.01408,0.01102,0.01204,1569029680.0,2022-07-03 23:59:59.999000
3,0.01206,0.01395,0.01174,0.0125,714161473.0,2022-07-10 23:59:59.999000
4,0.01248,0.01338,0.01103,0.0124,829006905.0,2022-07-17 23:59:59.999000
