,Open,High,Low,Close,Volume,Close time
0,0.25551,0.307,0.23983,0.2816,362148317.11,2018-04-22 23:59:59.999
1,0.2816,0.3866,0.255,0.36254,719224876.24,2018-04-29 23:59:59.999
2,0.36251,0.3885,0.3187,0.34654,534254260.89,2018-05-06 23:59:59.999
3,0.34599,0.3474,0.23402,0.27718,575992908.65,2018-05-13 23:59:59.999
4,0.27718,0.27815,0.23037,0.25556,351300182.6,2018-05-20 23:59:59.999
5,0.25556,0.25999,0.18865,0.19186,495423322.31,2018-05-27 23:59:59.999
6,0.19198,0.23677,0.17055,0.22659,939992355.62,2018-06-03 23:59:59.999
7,0.2266,0.2303,0.16806,0.17346,735552057.5,2018-06-10 23:59:59.999
8,0.17346,0.1813,0.145,0.16044,783679652.73,2018-06-17 23:59:59.999
9,0.16047,0.17149,0.1191,0.13093,744086496.59,2018-06-24 23:59:59.999
10,0.13085,0.1459,0.11359,0.14211,816993325.7,2018-07-01 23:59:59.999
11,0.14196,0.16209,0.13698,0.14481,880032853.3,2018-07-08 23:59:59.999
12,0.14482,0.14594,0.122,0.14227,750137027.8,2018-07-15 23:59:59.999
13,0.14231,0.19701,0.14037,0.16916,1679298348.39,2018-07-22 23:59:59.999
14,0.16937,0.18057,0.1551,0.16268,1105992813.6,2018-07-29 23:59:59.999
15,0.16274,0.163,0.1229,0.13024,851519392.9,2018-08-05 23:59:59.999
16,0.1305,0.13618,0.10713,0.11153,944960119.05,2018-08-12 23:59:59.999
17,0.11152,0.11415,0.084,0.10143,1177401582.64,2018-08-19 23:59:59.999
18,0.10131,0.10299,0.08682,0.09306,936005246.6,2018-08-26 23:59:59.999
19,0.09306,0.11032,0.09206,0.10499,1308868332.4,2018-09-02 23:59:59.999
20,0.10471,0.10709,0.07353,0.07601,1098760009.7,2018-09-09 23:59:59.999
21,0.07592,0.07867,0.06089,0.06988,1486880051.8,2018-09-16 23:59:59.999
22,0.06988,0.0939,0.06193,0.08986,2340380742.6,2018-09-23 23:59:59.999
23,0.08985,0.09197,0.07425,0.08511,1967340582.3,2018-09-30 23:59:59.999
24,0.08511,0.087,0.0782,0.08464,895800319.9,2018-10-07 23:59:59.999
25,0.08465,0.0889,0.0692,0.0717,1113247643.8,2018-10-14 23:59:59.999
26,0.07164,0.08497,0.07,0.07721,951188057.2,2018-10-21 23:59:59.999
27,0.07722,0.07785,0.07255,0.07364,275082796.4,2018-10-28 23:59:59.999
28,0.07358,0.07857,0.06773,0.0773,349111415.3,2018-11-04 23:59:59.999
29,0.0773,0.0826,0.07401,0.077,506316083.4,2018-11-11 23:59:59.999
30,0.07698,0.078,0.05811,0.06234,651057578.2,2018-11-18 23:59:59.999
31,0.06235,0.06246,0.03315,0.03832,1477623615.3,2018-11-25 23:59:59.999
32,0.03832,0.04487,0.03401,0.04187,1449985291.8,2018-12-02 23:59:59.999
33,0.04184,0.04214,0.02708,0.0311,1348151255.26,2018-12-09 23:59:59.999
34,0.03106,0.03199,0.02761,0.029,621674003.1,2018-12-16 23:59:59.999
35,0.029,0.04479,0.0289,0.04369,1944872170.8,2018-12-23 23:59:59.999
36,0.04369,0.04899,0.03539,0.04263,1561710724.2,2018-12-30 23:59:59.999
37,0.04262,0.0488,0.03964,0.04822,1124272940.6,2019-01-06 23:59:59.999
38,0.04822,0.05412,0.0388,0.03944,1703224715.6,2019-01-13 23:59:59.999
39,0.03944,0.04597,0.03939,0.04287,1096844030.1,2019-01-20 23:59:59.999
40,0.0429,0.04401,0.04014,0.04087,542351906.6,2019-01-27 23:59:59.999
41,0.04088,0.04121,0.0366,0.03824,717502517.2,2019-02-03 23:59:59.999
42,0.03824,0.04309,0.03588,0.0429,665297721.8,2019-02-10 23:59:59.999
43,0.04292,0.04299,0.0399,0.04157,438455221.3,2019-02-17 23:59:59.999
44,0.0416,0.05053,0.04097,0.04156,1404387718.7,2019-02-24 23:59:59.999
45,0.04162,0.04433,0.04145,0.04206,585170595.2,2019-03-03 23:59:59.999
46,0.04211,0.0472,0.03908,0.04557,866855839.1,2019-03-10 23:59:59.999
47,0.04559,0.05195,0.04465,0.04983,1179976390.6,2019-03-17 23:59:59.999
48,0.04985,0.06464,0.04899,0.06151,2102835553.4,2019-03-24 23:59:59.999
49,0.06149,0.07338,0.0562,0.06989,1827768161.9,2019-03-31 23:59:59.999
50,0.06984,0.09976,0.06888,0.0898,2482358670.8,2019-04-07 23:59:59.999
51,0.08983,0.09175,0.07575,0.08416,1395349834.2,2019-04-14 23:59:59.999
52,0.08415,0.08531,0.07066,0.0733,829907323.8,2019-04-21 23:59:59.999
53,0.07331,0.07979,0.06672,0.06878,1097756945.9,2019-04-28 23:59:59.999
54,0.06874,0.07225,0.06401,0.06603,624459399.4,2019-05-05 23:59:59.999
55,0.06603,0.07854,0.0591,0.07022,1135403092.6,2019-05-12 23:59:59.999
56,0.07021,0.1008,0.06947,0.08613,2036803931.9,2019-05-19 23:59:59.999
57,0.08607,0.0869,0.07381,0.08514,968592845.5,2019-05-26 23:59:59.999
58,0.08516,0.09755,0.08002,0.0963,1550366188.3,2019-06-02 23:59:59.999
59,0.09636,0.09833,0.07695,0.07887,1065818670.5,2019-06-09 23:59:59.999
60,0.07892,0.0966,0.07773,0.09189,1302194687.3,2019-06-16 23:59:59.999
61,0.09189,0.10379,0.08507,0.097,1192881832.7,2019-06-23 23:59:59.999
62,0.09689,0.10687,0.0813,0.08226,1590075512.7,2019-06-30 23:59:59.999
63,0.08227,0.08599,0.07568,0.0797,734630917.8,2019-07-07 23:59:59.999
64,0.07976,0.08193,0.05877,0.05923,734939667.1,2019-07-14 23:59:59.999
65,0.05907,0.06509,0.04985,0.06107,850829055.7,2019-07-21 23:59:59.999
66,0.06117,0.06354,0.05385,0.05936,576518812.9,2019-07-28 23:59:59.999
67,0.05939,0.06258,0.05576,0.05605,452662490.0,2019-08-04 23:59:59.999
68,0.0561,0.0582,0.04735,0.05472,759946940.7,2019-08-11 23:59:59.999
69,0.05479,0.05491,0.04454,0.05061,560533993.1,2019-08-18 23:59:59.999
70,0.05065,0.05265,0.04595,0.04949,591771434.8,2019-08-25 23:59:59.999
71,0.04949,0.05082,0.04312,0.04425,437985052.1,2019-09-01 23:59:59.999
72,0.04422,0.0475,0.04323,0.04657,578809275.7,2019-09-08 23:59:59.999
73,0.04657,0.04814,0.04423,0.04664,511651020.8,2019-09-15 23:59:59.999
74,0.04665,0.05557,0.04562,0.04892,1522673423.0,2019-09-22 23:59:59.999
75,0.04892,0.04945,0.03498,0.03715,1579748164.4,2019-09-29 23:59:59.999
76,0.03716,0.04023,0.0357,0.03881,926496836.4,2019-10-06 23:59:59.999
