,Open,High,Low,Close,Volume,Close time
0,11.32,12.62,9.87,10.49,73849.02,2020-07-19 23:59:59.999
1,10.47,12.5,5.83,6.42,787180.97,2020-07-26 23:59:59.999
2,6.38,9.08,5.53,6.91,2308592.72,2020-08-02 23:59:59.999
3,6.97,7.16,5.03,5.66,461040.41,2020-08-09 23:59:59.999
4,5.55,7.92,5.52,6.058,219148.57,2020-08-16 23:59:59.999
5,6.04,8.68,5.436,8.296,289113.11,2020-08-23 23:59:59.999
6,8.433,11.43,7.273,8.1,192875.49,2020-08-30 23:59:59.999
7,8.253,15.15,5.5,11.993,337230.6,2020-09-06 23:59:59.999
8,11.995,14.149,9.61,10.872,122436.34,2020-09-13 23:59:59.999
9,10.97,13.1,10.0,12.561,54842.3,2020-09-20 23:59:59.999
10,12.558,16.891,8.235,8.557,190438.72,2020-09-27 23:59:59.999
11,8.526,11.0,7.402,8.935,326578.8,2020-10-04 23:59:59.999
12,9.126,11.104,6.4,7.412,695775.67,2020-10-11 23:59:59.999
13,7.412,8.1,5.86,6.721,639508.05,2020-10-18 23:59:59.999
14,6.766,7.89,5.5,6.287,253519.63,2020-10-25 23:59:59.999
15,6.4,8.611,6.258,7.165,189722.83,2020-11-01 23:59:59.999
16,7.217,9.19,4.812,6.127,345363.7,2020-11-08 23:59:59.999
17,6.201,7.221,5.7,6.934,141284.14,2020-11-15 23:59:59.999
18,6.909,7.054,2.009,2.21,1024566.33,2020-11-22 23:59:59.999
19,2.18,2.707,0.5,1.134,9128258.63,2020-11-29 23:59:59.999
20,1.137,1.58,1.003,1.185,5241165.68,2020-12-06 23:59:59.999
21,1.181,1.77,1.026,1.064,3728357.61,2020-12-13 23:59:59.999
22,1.07,1.125,0.748,0.901,4485490.23,2020-12-20 23:59:59.999
23,0.908,1.389,0.665,0.788,6555837.04,2020-12-27 23:59:59.999
24,0.783,0.804,0.323,0.34,54871445.87,2021-01-03 23:59:59.999
25,0.34,0.376,0.073,0.089,263804142.76,2021-01-10 23:59:59.999
26,0.089,0.161,0.038,0.04058,309743520.33,2021-01-17 23:59:59.999
27,0.0407,0.07668,0.038,0.04299,205643859.31,2021-01-24 23:59:59.999
28,0.04257,0.05725,0.03263,0.03994,156436480.38,2021-01-31 23:59:59.999
29,0.04027,0.04377,0.00625,0.00715,3335672651.93,2021-02-07 23:59:59.999
30,0.00715,0.00791,0.00248,0.00331,10070312473.46,2021-02-14 23:59:59.999
31,0.00332,0.00515,0.00118,0.00143,14607442022.98,2021-02-21 23:59:59.999
32,0.00143,0.00265,0.0004,0.00048,129237067049.41,2021-02-28 23:59:59.999
33,0.00047,0.00075,0.000424,0.000558,122044993900.69,2021-03-07 23:59:59.999
34,0.000558,0.000752,0.00045,0.000639,61859394310.96,2021-03-14 23:59:59.999
35,0.00064,0.000716,0.000252,0.000382,263021550284.61,2021-03-21 23:59:59.999
36,0.000383,0.000529,0.000297,0.000357,124988919072.78,2021-03-28 23:59:59.999
37,0.000357,0.000406,0.000321,0.000381,29131958660.75,2021-04-04 23:59:59.999
38,0.000381,5.5,0.000277,3.133454,11043098752.31,2021-04-11 23:59:59.999
39,3.123657,3.968979,1.84,2.346216,6204639.31,2021-04-18 23:59:59.999
40,2.316371,4.0809,1.0,2.72,8472783.41,2021-04-25 23:59:59.999
41,2.6951,2.7734,1.3473,1.5336,9397426.88,2021-05-02 23:59:59.999
42,1.5341,1.747,0.6304,0.6854,38223002.32,2021-05-09 23:59:59.999
43,0.6889,1.0,0.278,0.2926,140742646.12,2021-05-16 23:59:59.999
44,0.2928,6.6,0.0465,0.085,1267188054.39,2021-05-23 23:59:59.999
45,0.0846,0.0956,0.0361,0.0424,2312184885.14,2021-05-30 23:59:59.999
46,0.0424,0.0454,0.0256,0.0326,2254907546.6,2021-06-06 23:59:59.999
47,0.0326,0.0483,0.0299,0.0347,1592538124.49,2021-06-13 23:59:59.999
48,0.0347,0.0507,0.0312,0.0409,1045990717.64,2021-06-20 23:59:59.999
49,0.0407,0.0859,0.0353,0.0375,2802591671.4,2021-06-27 23:59:59.999
50,0.0373,0.0405,0.0282,0.0297,1352874928.48,2021-07-04 23:59:59.999
51,0.0298,0.0403,0.0295,0.0355,1035494743.15,2021-07-11 23:59:59.999
52,0.0355,0.0517,0.0341,0.0468,821622090.65,2021-07-18 23:59:59.999
53,0.047,0.0631,0.04071,0.04259,1000199377.35,2021-07-25 23:59:59.999
54,0.0425,0.0429,0.02946,0.0345,1049951982.05,2021-08-01 23:59:59.999
55,0.03449,0.0383,0.02394,0.02695,472482821.22,2021-08-08 23:59:59.999
56,0.02706,0.02841,0.0077,0.00858,3690174769.03,2021-08-15 23:59:59.999
57,0.00858,0.012299,0.004162,0.004252,4758115469.31,2021-08-22 23:59:59.999
58,0.004275,0.004839,0.00292,0.003151,8599782944.71,2021-08-29 23:59:59.999
59,0.003156,0.003589,0.002413,0.00278,4050042367.17,2021-09-05 23:59:59.999
60,0.00278,0.0062,0.002271,0.002775,7228637123.17,2021-09-12 23:59:59.999
61,0.00278,0.003576,0.002586,0.0035,3303656349.41,2021-09-19 23:59:59.999
62,0.0035,0.005178,0.002674,0.003366,8479758193.32,2021-09-26 23:59:59.999
63,0.00338,0.003999,0.002632,0.002843,4433459412.1,2021-10-03 23:59:59.999
64,0.00285,0.003299,0.002425,0.003037,2675534109.19,2021-10-10 23:59:59.999
65,0.003045,0.003464,0.002803,0.003186,1904444963.1,2021-10-17 23:59:59.999
66,0.00318,0.00348,0.002675,0.003375,1784555473.28,2021-10-24 23:59:59.999
67,0.00337,0.0049,0.003049,0.004148,1650528144.85,2021-10-31 23:59:59.999
68,0.004143,0.00442,0.003294,0.003896,1568923490.96,2021-11-07 23:59:59.999
69,0.003891,0.003959,0.002468,0.003358,3754593221.24,2021-11-14 23:59:59.999
70,0.003349,0.005226,0.003111,0.004449,1598366447.83,2021-11-21 23:59:59.999
71,0.004428,0.007824,0.004419,0.005878,1993095633.94,2021-11-28 23:59:59.999
72,0.005872,0.009738,0.00437,0.006889,3231265956.63,2021-12-05 23:59:59.999
73,0.006882,0.008846,0.005468,0.006657,2253871058.12,2021-12-12 23:59:59.999
74,0.006675,0.008363,0.00658,0.007598,1867827290.6,2021-12-19 23:59:59.999
75,0.007599,0.008084,0.005155,0.005356,2598956524.63,2021-12-26 23:59:59.999
76,0.005347,0.006611,0.004302,0.00563,3353496160.69,2022-01-02 23:59:59.999
77,0.00563,0.0083,0.00562,0.007752,1655914952.83,2022-01-09 23:59:59.999
78,0.007752,0.00907,0.0043,0.004402,3486446729.99,2022-01-16 23:59:59.999
79,0.0044,0.01025,0.002879,0.005493,17828209952.46,2022-01-23 23:59:59.999
80,0.005506,0.00791,0.00512,0.006479,12492453921.88,2022-01-30 23:59:59.999
81,0.006477,0.006862,0.004628,0.005002,6427576992.06,2022-02-06 23:59:59.999
82,0.005003,0.006324,0.003746,0.006177,9307731260.12,2022-02-13 23:59:59.999
83,0.00617,0.008164,0.005165,0.007947,4112808311.08,2022-02-20 23:59:59.999
84,0.007922,0.010732,0.005916,0.007751,9247230130.43,2022-02-27 23:59:59.999
85,0.007749,0.008838,0.005021,0.008767,11118028804.99,2022-03-06 23:59:59.999
86,0.008769,0.010022,0.00745,0.009429,4588153471.93,2022-03-13 23:59:59.999
87,0.009449,0.00976,0.005866,0.00653,4910272685.85,2022-03-20 23:59:59.999
88,0.006532,0.006833,0.002786,0.00281,18339669199.78,2022-03-27 23:59:59.999
