,Open,High,Low,Close,Volume,Close time
0,8.64,9.12,7.27,8.08,62452.47,2020-07-19 23:59:59.999
1,8.06,14.61,6.49,13.35,530230.82,2020-07-26 23:59:59.999
2,13.36,13.61,8.57,9.91,1228237.77,2020-08-02 23:59:59.999
3,9.91,13.0,9.41,11.61,306048.88,2020-08-09 23:59:59.999
4,11.61,11.8,8.0,10.066,296065.05,2020-08-16 23:59:59.999
5,10.088,11.0,6.892,7.277,249508.74,2020-08-23 23:59:59.999
6,7.248,7.85,4.442,6.305,868334.64,2020-08-30 23:59:59.999
7,6.388,7.916,3.1,3.547,1351840.64,2020-09-06 23:59:59.999
8,3.557,4.31,2.934,3.793,1241252.32,2020-09-13 23:59:59.999
9,3.759,4.11,2.95,3.15,431509.5,2020-09-20 23:59:59.999
10,3.124,3.979,1.961,3.777,1295642.12,2020-09-27 23:59:59.999
11,3.885,4.28,2.732,3.32,998796.22,2020-10-04 23:59:59.999
12,3.321,4.75,0.82,3.947,1380826.6,2020-10-11 23:59:59.999
13,3.922,4.715,3.506,4.004,740133.35,2020-10-18 23:59:59.999
14,4.0,4.44,3.334,3.776,980208.82,2020-10-25 23:59:59.999
15,3.773,3.927,2.35,3.031,1411912.67,2020-11-01 23:59:59.999
16,3.034,4.006,2.216,3.338,1526589.19,2020-11-08 23:59:59.999
17,3.33,3.493,2.768,2.878,762500.32,2020-11-15 23:59:59.999
18,2.87,6.872,2.802,6.2,1967589.98,2020-11-22 23:59:59.999
19,6.237,9.57,3.6,7.546,2705337.07,2020-11-29 23:59:59.999
20,7.547,8.45,4.57,5.959,2512250.26,2020-12-06 23:59:59.999
21,5.96,6.008,3.785,5.535,1598207.0,2020-12-13 23:59:59.999
22,5.483,7.343,5.133,6.082,1146450.22,2020-12-20 23:59:59.999
23,6.045,6.396,3.116,5.042,1820793.66,2020-12-27 23:59:59.999
24,5.059,8.762,4.908,8.45,4034468.82,2021-01-03 23:59:59.999
25,8.45,21.249,7.136,14.576,3774705.92,2021-01-10 23:59:59.999
26,14.573,23.499,6.465,21.341,4228832.74,2021-01-17 23:59:59.999
27,21.34,23.38,8.331,13.976,2558067.12,2021-01-24 23:59:59.999
28,14.09,15.38,8.924,12.066,2711205.89,2021-01-31 23:59:59.999
29,12.07,56.25,10.843,49.44,5273966.76,2021-02-07 23:59:59.999
30,49.322,102.637,45.8,68.643,1935670.43,2021-02-14 23:59:59.999
31,68.401,111.0,46.778,95.477,1257660.52,2021-02-21 23:59:59.999
32,95.576,149.738,56.0,124.512,1954545.05,2021-02-28 23:59:59.999
33,124.236,130.229,82.0,96.427,954074.55,2021-03-07 23:59:59.999
34,96.363,109.0,72.539,82.1,806297.98,2021-03-14 23:59:59.999
35,82.074,164.5,73.197,88.764,1958682.69,2021-03-21 23:59:59.999
36,88.764,103.082,58.0,84.019,1783922.59,2021-03-28 23:59:59.999
37,84.309,92.717,71.5,76.483,1240758.82,2021-04-04 23:59:59.999
38,76.232,98.838,70.0,83.001,2074149.06,2021-04-11 23:59:59.999
39,83.001,128.0,51.5,78.122,2338660.36,2021-04-18 23:59:59.999
40,78.157,84.595,32.242,53.344,1420473.21,2021-04-25 23:59:59.999
41,53.441,93.0,52.01,80.96,1282213.54,2021-05-02 23:59:59.999
42,80.785,145.885,71.333,135.238,2287618.72,2021-05-09 23:59:59.999
43,135.111,227.999,97.361,203.307,2201610.43,2021-05-16 23:59:59.999
44,203.307,208.946,46.578,74.743,2573161.03,2021-05-23 23:59:59.999
45,75.339,137.0,68.9,105.082,1848859.17,2021-05-30 23:59:59.999
46,104.69,146.293,98.804,116.0,991548.16,2021-06-06 23:59:59.999
47,116.121,124.93,71.634,99.449,887081.82,2021-06-13 23:59:59.999
48,99.759,107.5,68.115,82.494,515306.69,2021-06-20 23:59:59.999
49,82.323,83.488,36.0,68.593,2068269.16,2021-06-27 23:59:59.999
50,68.594,86.227,62.499,82.299,967631.83,2021-07-04 23:59:59.999
51,82.202,82.202,62.456,68.711,522650.07,2021-07-11 23:59:59.999
52,69.011,71.794,48.472,51.652,542861.53,2021-07-18 23:59:59.999
53,51.467,56.702,36.4,54.593,831439.36,2021-07-25 23:59:59.999
54,54.576,71.999,52.734,62.7,731316.71,2021-08-01 23:59:59.999
55,62.62,83.036,56.84,75.156,272336.86,2021-08-08 23:59:59.999
56,74.965,189.979,70.913,173.131,400731.11,2021-08-15 23:59:59.999
57,173.131,280.995,117.281,278.471,336876.63,2021-08-22 23:59:59.999
58,277.293,330.0,212.039,286.435,213846.29,2021-08-29 23:59:59.999
59,286.06,337.967,256.476,291.263,113078.95,2021-09-05 23:59:59.999
60,291.569,294.0,98.529,206.372,220355.67,2021-09-12 23:59:59.999
61,206.188,208.307,145.153,148.74,129777.97,2021-09-19 23:59:59.999
62,148.999,167.99,92.537,132.901,250345.11,2021-09-26 23:59:59.999
63,132.703,148.488,106.7,138.809,141522.88,2021-10-03 23:59:59.999
64,138.802,155.532,118.821,127.833,115431.87,2021-10-10 23:59:59.999
65,127.588,136.39,111.0,121.421,104373.38,2021-10-17 23:59:59.999
66,121.099,139.25,109.33,113.384,125497.47,2021-10-24 23:59:59.999
67,113.278,123.998,67.383,87.509,182390.6,2021-10-31 23:59:59.999
68,87.816,104.22,82.3,90.583,157611.76,2021-11-07 23:59:59.999
69,90.628,130.23,77.865,90.781,239051.61,2021-11-14 23:59:59.999
70,90.781,96.318,58.684,69.2,172696.64,2021-11-21 23:59:59.999
71,69.269,69.488,38.83,48.676,308692.48,2021-11-28 23:59:59.999
72,48.594,58.219,24.041,35.293,401566.17,2021-12-05 23:59:59.999
73,35.315,40.798,26.0,33.311,406703.17,2021-12-12 23:59:59.999
