,Open,High,Low,Close,Volume,Close time
0,0.5348,1.9266,0.5348,0.9142,688946681.0,2021-10-31 23:59:59.999
1,0.9142,1.0962,0.723,0.8196,136713493.0,2021-11-07 23:59:59.999
2,0.8177,0.9689,0.721,0.7728,57945377.0,2021-11-14 23:59:59.999
3,0.7728,0.8667,0.6819,0.7782,52393346.0,2021-11-21 23:59:59.999
4,0.779,0.819,0.6662,0.724,32814031.0,2021-11-28 23:59:59.999
5,0.724,0.919,0.53,0.5876,59406000.0,2021-12-05 23:59:59.999
6,0.5872,0.669,0.5401,0.6008,31100419.0,2021-12-12 23:59:59.999
7,0.6008,0.6025,0.5111,0.55,41113178.0,2021-12-19 23:59:59.999
8,0.549,0.6492,0.539,0.6219,33869225.0,2021-12-26 23:59:59.999
9,0.6216,0.6896,0.5479,0.5799,36046141.0,2022-01-02 23:59:59.999
10,0.5796,0.6132,0.469,0.4814,35995262.0,2022-01-09 23:59:59.999
11,0.4814,0.519,0.4442,0.4936,30078859.0,2022-01-16 23:59:59.999
12,0.4941,0.4954,0.39,0.4133,42966517.0,2022-01-23 23:59:59.999
13,0.4129,0.4418,0.3704,0.4095,50457848.0,2022-01-30 23:59:59.999
14,0.4095,0.52,0.4016,0.4693,72868450.0,2022-02-06 23:59:59.999
15,0.469,0.4949,0.4255,0.4333,68949364.0,2022-02-13 23:59:59.999
16,0.4336,0.4773,0.3908,0.3949,60536550.0,2022-02-20 23:59:59.999
17,0.395,0.4468,0.3787,0.3928,73675931.0,2022-02-27 23:59:59.999
18,0.3925,0.4404,0.3829,0.3978,70090101.0,2022-03-06 23:59:59.999
19,0.3973,0.4113,0.3745,0.3745,57706506.0,2022-03-13 23:59:59.999
20,0.3745,0.6384,0.3636,0.3992,194058972.0,2022-03-20 23:59:59.999
21,0.3991,0.4391,0.3961,0.4372,53051020.0,2022-03-27 23:59:59.999
22,0.4372,0.4799,0.4036,0.4651,48395871.0,2022-04-03 23:59:59.999
23,0.4655,0.5342,0.4004,0.412,104912018.0,2022-04-10 23:59:59.999
24,0.4128,0.43,0.3657,0.3821,49990530.0,2022-04-17 23:59:59.999
25,0.3821,0.509,0.3586,0.3609,72462881.0,2022-04-24 23:59:59.999
26,0.3609,0.3789,0.3212,0.3283,53427299.0,2022-05-01 23:59:59.999
27,0.3284,0.3549,0.2896,0.2926,44477141.0,2022-05-08 23:59:59.999
28,0.2925,0.3322,0.1834,0.2378,99835301.0,2022-05-15 23:59:59.999
29,0.2377,0.29,0.2177,0.235,64905589.0,2022-05-22 23:59:59.999
30,0.2348,0.241,0.2023,0.2142,47215336.0,2022-05-29 23:59:59.999
31,0.2142,0.232,0.2065,0.2138,34511687.0,2022-06-05 23:59:59.999
