,Open,High,Low,Close,Volume,Close time
0,2.951,5.437,2.951,3.451,93111572.7,2021-10-10 23:59:59.999
1,3.45,4.23,3.265,3.847,34011369.1,2021-10-17 23:59:59.999
2,3.843,4.06,2.95,2.975,15053468.4,2021-10-24 23:59:59.999
3,2.975,3.78,2.488,3.068,35916116.1,2021-10-31 23:59:59.999
4,3.074,3.182,2.7,2.87,22753458.7,2021-11-07 23:59:59.999
5,2.872,3.05,2.512,2.736,15344154.0,2021-11-14 23:59:59.999
6,2.74,3.25,2.065,2.603,42405732.0,2021-11-21 23:59:59.999
7,2.604,3.15,2.08,2.34,31267530.7,2021-11-28 23:59:59.999
8,2.34,2.588,1.333,1.637,32488203.0,2021-12-05 23:59:59.999
9,1.635,1.922,1.4,1.644,26903995.2,2021-12-12 23:59:59.999
10,1.644,1.775,1.364,1.55,13812966.9,2021-12-19 23:59:59.999
11,1.55,2.314,1.413,2.225,22392389.3,2021-12-26 23:59:59.999
12,2.221,2.4,1.591,1.828,17348302.8,2022-01-02 23:59:59.999
13,1.829,1.851,1.404,1.455,9589203.5,2022-01-09 23:59:59.999
14,1.452,1.508,1.295,1.384,10118138.5,2022-01-16 23:59:59.999
15,1.389,1.485,0.797,0.845,20513616.8,2022-01-23 23:59:59.999
16,0.845,0.896,0.697,0.805,11180603.8,2022-01-30 23:59:59.999
17,0.806,1.86,0.761,1.222,140813090.3,2022-02-06 23:59:59.999
18,1.22,1.55,1.04,1.051,41512067.6,2022-02-13 23:59:59.999
19,1.053,1.232,0.855,0.891,19624642.4,2022-02-20 23:59:59.999
20,0.891,1.375,0.82,1.177,79561781.7,2022-02-27 23:59:59.999
21,1.177,1.291,0.977,0.98,20007450.8,2022-03-06 23:59:59.999
22,0.98,1.084,0.917,0.927,14561863.1,2022-03-13 23:59:59.999
23,0.927,1.757,0.896,1.438,83624049.6,2022-03-20 23:59:59.999
24,1.439,1.81,1.436,1.769,27529689.4,2022-03-27 23:59:59.999
25,1.768,2.333,1.647,1.71,45050262.1,2022-04-03 23:59:59.999
26,1.713,1.731,1.209,1.302,25439914.3,2022-04-10 23:59:59.999
27,1.302,1.349,1.094,1.194,22467767.9,2022-04-17 23:59:59.999
28,1.192,1.843,1.065,1.082,55419323.6,2022-04-24 23:59:59.999
29,1.083,1.09,0.842,0.944,24053786.8,2022-05-01 23:59:59.999
30,0.945,1.018,0.843,0.856,14014519.0,2022-05-08 23:59:59.999
31,0.856,0.867,0.362,0.529,64562540.9,2022-05-15 23:59:59.999
32,0.529,0.745,0.464,0.598,50681729.2,2022-05-22 23:59:59.999
33,0.598,0.658,0.475,0.521,21788335.1,2022-05-29 23:59:59.999
34,0.522,0.595,0.482,0.506,12666472.1,2022-06-05 23:59:59.999
0,0.507,0.528,0.339,0.341,15213331.9,2022-06-12 23:59:59.999000
