,Open,High,Low,Close,Volume,Close time
0,0.1211,0.24,0.111,0.1621,27112324.43,2020-02-23 23:59:59.999
1,0.1621,0.1901,0.122,0.1334,85650801.54,2020-03-01 23:59:59.999
2,0.1338,0.169,0.116,0.1173,68470165.96,2020-03-08 23:59:59.999
3,0.1165,0.127,0.0373,0.0578,90125084.69,2020-03-15 23:59:59.999
4,0.0578,0.0716,0.0436,0.0561,78075084.94,2020-03-22 23:59:59.999
5,0.0555,0.0662,0.0526,0.0537,56578286.88,2020-03-29 23:59:59.999
6,0.0538,0.0698,0.0533,0.0627,61574149.37,2020-04-05 23:59:59.999
7,0.0628,0.0803,0.06,0.064,55712008.55,2020-04-12 23:59:59.999
8,0.0641,0.0704,0.0586,0.0642,43409240.35,2020-04-19 23:59:59.999
9,0.0641,0.109,0.0588,0.0818,110757368.39,2020-04-26 23:59:59.999
10,0.0819,0.0999,0.0768,0.0867,97874708.08,2020-05-03 23:59:59.999
11,0.0868,0.097,0.0736,0.0778,85631134.06,2020-05-10 23:59:59.999
12,0.0778,0.087,0.0711,0.0833,62294813.03,2020-05-17 23:59:59.999
13,0.0833,0.108,0.0788,0.09,110708293.59,2020-05-24 23:59:59.999
14,0.09,0.107,0.0879,0.0979,65898929.74,2020-05-31 23:59:59.999
15,0.0978,0.129,0.09,0.1249,87181903.19,2020-06-07 23:59:59.999
16,0.1249,0.1339,0.1062,0.1145,40458707.66,2020-06-14 23:59:59.999
17,0.1144,0.1234,0.0972,0.1078,40065837.88,2020-06-21 23:59:59.999
18,0.1079,0.1121,0.0885,0.0927,41927581.26,2020-06-28 23:59:59.999
19,0.0926,0.1043,0.0895,0.0981,34451554.17,2020-07-05 23:59:59.999
20,0.0981,0.1221,0.0981,0.1146,56724301.3,2020-07-12 23:59:59.999
21,0.1146,0.1223,0.103,0.1192,67536648.52,2020-07-19 23:59:59.999
22,0.1188,0.1288,0.1034,0.1088,64339170.93,2020-07-26 23:59:59.999
23,0.1085,0.1096,0.0938,0.1025,48430649.24,2020-08-02 23:59:59.999
24,0.1026,0.123,0.1011,0.1225,52782006.15,2020-08-09 23:59:59.999
25,0.1225,0.1347,0.1113,0.1242,65187513.78,2020-08-16 23:59:59.999
26,0.1245,0.1615,0.12,0.1411,93762984.7,2020-08-23 23:59:59.999
27,0.1411,0.16,0.119,0.1378,58101568.7,2020-08-30 23:59:59.999
28,0.1377,0.1495,0.0863,0.0954,42803872.89,2020-09-06 23:59:59.999
29,0.0956,0.1159,0.0871,0.1034,31523292.26,2020-09-13 23:59:59.999
30,0.1034,0.1183,0.0887,0.0912,21330199.92,2020-09-20 23:59:59.999
31,0.091,0.1045,0.0741,0.098,39524862.61,2020-09-27 23:59:59.999
32,0.098,0.1001,0.0766,0.0793,24474391.7,2020-10-04 23:59:59.999
33,0.0792,0.0828,0.069,0.0799,16993137.68,2020-10-11 23:59:59.999
34,0.0799,0.0898,0.0758,0.0786,18424747.89,2020-10-18 23:59:59.999
35,0.0785,0.0802,0.071,0.0723,14320163.54,2020-10-25 23:59:59.999
36,0.0723,0.0753,0.0577,0.0639,16071728.96,2020-11-01 23:59:59.999
37,0.0636,0.0734,0.0567,0.0675,16504055.5,2020-11-08 23:59:59.999
38,0.067,0.0837,0.0619,0.0661,33200749.65,2020-11-15 23:59:59.999
39,0.0655,0.0759,0.0643,0.069,34276359.11,2020-11-22 23:59:59.999
40,0.0693,0.1001,0.0656,0.0741,71849837.51,2020-11-29 23:59:59.999
41,0.0744,0.0833,0.0701,0.0791,31267875.86,2020-12-06 23:59:59.999
42,0.079,0.0897,0.0708,0.0836,57912798.2,2020-12-13 23:59:59.999
43,0.0833,0.0984,0.0761,0.0785,76579027.74,2020-12-20 23:59:59.999
44,0.0782,0.0792,0.0609,0.0671,32119997.24,2020-12-27 23:59:59.999
45,0.0674,0.0699,0.0594,0.0668,45933171.51,2021-01-03 23:59:59.999
46,0.0669,0.0963,0.0633,0.0855,98012205.51,2021-01-10 23:59:59.999
47,0.0855,0.0942,0.0645,0.0864,74951652.16,2021-01-17 23:59:59.999
48,0.0864,0.1045,0.0749,0.0791,162688885.0,2021-01-24 23:59:59.999
49,0.0792,0.0822,0.0643,0.0723,153906370.44,2021-01-31 23:59:59.999
50,0.0721,0.09,0.0702,0.0813,174578767.28,2021-02-07 23:59:59.999
51,0.0816,0.1494,0.0801,0.1353,342898274.72,2021-02-14 23:59:59.999
52,0.1358,0.239,0.1152,0.22,462370350.27,2021-02-21 23:59:59.999
53,0.2199,0.268,0.134,0.1687,735961296.59,2021-02-28 23:59:59.999
54,0.1692,0.2,0.1579,0.1658,226212847.6,2021-03-07 23:59:59.999
55,0.1657,0.32,0.1633,0.2838,444385076.49,2021-03-14 23:59:59.999
56,0.2838,0.319,0.2379,0.2507,300151496.62,2021-03-21 23:59:59.999
57,0.2502,0.3134,0.2277,0.2949,373392049.25,2021-03-28 23:59:59.999
58,0.2949,0.4143,0.287,0.3801,329680858.99,2021-04-04 23:59:59.999
59,0.3804,0.5555,0.3641,0.489,364366719.68,2021-04-11 23:59:59.999
60,0.4877,0.4989,0.3167,0.3521,171778184.36,2021-04-18 23:59:59.999
61,0.3528,0.3969,0.213,0.2391,247602762.53,2021-04-25 23:59:59.999
62,0.2392,0.3873,0.235,0.35,182015802.22,2021-05-02 23:59:59.999
63,0.3495,0.6952,0.3024,0.5036,1011166450.26,2021-05-09 23:59:59.999
64,0.5025,0.5656,0.3521,0.3875,295790520.05,2021-05-16 23:59:59.999
65,0.3879,0.3896,0.1246,0.1641,290808065.08,2021-05-23 23:59:59.999
66,0.1649,0.2433,0.1619,0.1873,215717946.85,2021-05-30 23:59:59.999
67,0.1873,0.2241,0.1761,0.2029,143207670.02,2021-06-06 23:59:59.999
68,0.2025,0.2059,0.1572,0.1808,112877986.1,2021-06-13 23:59:59.999
69,0.1812,0.1899,0.1421,0.1524,66714986.91,2021-06-20 23:59:59.999
70,0.1527,0.1656,0.0941,0.1233,183067253.84,2021-06-27 23:59:59.999
71,0.1231,0.1479,0.1175,0.1332,126501449.28,2021-07-04 23:59:59.999
72,0.1332,0.1447,0.1207,0.1285,91960573.12,2021-07-11 23:59:59.999
73,0.1285,0.1326,0.1136,0.1153,68752549.85,2021-07-18 23:59:59.999
74,0.1153,0.12,0.0932,0.1159,82772803.71,2021-07-25 23:59:59.999
75,0.1159,0.1416,0.1125,0.1228,174676153.37,2021-08-01 23:59:59.999
76,0.1226,0.17,0.117,0.1474,179134982.79,2021-08-08 23:59:59.999
77,0.1475,0.2164,0.14,0.1925,327999552.52,2021-08-15 23:59:59.999
78,0.1925,0.22,0.165,0.2073,221164095.83,2021-08-22 23:59:59.999
79,0.207,0.2165,0.1768,0.1877,164474856.47,2021-08-29 23:59:59.999
80,0.188,0.238,0.1758,0.2237,223675276.62,2021-09-05 23:59:59.999
81,0.2239,0.2444,0.1505,0.1793,216895616.2,2021-09-12 23:59:59.999
82,0.1796,0.206,0.1515,0.181,202540771.0,2021-09-19 23:59:59.999
83,0.181,0.1817,0.132,0.1521,162003463.44,2021-09-26 23:59:59.999
84,0.1518,0.1725,0.1343,0.164,214982520.0,2021-10-03 23:59:59.999
85,0.164,0.189,0.1476,0.1682,185883475.0,2021-10-10 23:59:59.999
86,0.1682,0.1953,0.1542,0.1797,143264970.0,2021-10-17 23:59:59.999
87,0.1797,0.1899,0.1706,0.1849,122001086.0,2021-10-24 23:59:59.999
