,Open,High,Low,Close,Volume,Close time
0,382.5,458.0,270.0,288.6,77388.5577,2021-12-05 23:59:59.999
1,290.3,299.9,210.8,226.3,66041.4392,2021-12-12 23:59:59.999
2,226.6,227.1,185.0,187.9,25907.2351,2021-12-19 23:59:59.999
3,187.9,214.9,176.3,202.2,24580.4878,2021-12-26 23:59:59.999
4,202.5,331.0,201.0,318.8,220362.718,2022-01-02 23:59:59.999
5,318.4,419.9,271.1,284.9,244004.7724,2022-01-09 23:59:59.999
6,285.0,339.3,253.6,296.2,86888.5292,2022-01-16 23:59:59.999
7,296.3,298.2,149.5,168.1,61502.5031,2022-01-23 23:59:59.999
8,168.1,183.5,135.2,167.4,62418.147,2022-01-30 23:59:59.999
9,167.1,193.5,150.8,177.4,38656.8862,2022-02-06 23:59:59.999
10,177.4,191.0,152.8,156.4,36655.7478,2022-02-13 23:59:59.999
11,156.1,174.4,135.2,136.5,21070.7631,2022-02-20 23:59:59.999
12,136.4,145.9,106.6,120.3,32973.2106,2022-02-27 23:59:59.999
13,120.1,147.2,106.6,110.9,92825.0088,2022-03-06 23:59:59.999
14,110.8,116.9,90.6,95.0,60383.4945,2022-03-13 23:59:59.999
15,94.8,116.7,91.1,105.2,168736.3947,2022-03-20 23:59:59.999
16,105.2,127.3,98.0,123.4,149367.8979,2022-03-27 23:59:59.999
17,123.4,139.6,112.8,131.0,142772.6097,2022-04-03 23:59:59.999
18,131.0,131.0,92.2,92.6,87156.8723,2022-04-10 23:59:59.999
19,92.8,96.3,74.2,78.2,399137.7071,2022-04-17 23:59:59.999
20,78.2,81.5,72.1,73.4,173231.4059,2022-04-24 23:59:59.999
21,73.5,75.9,61.6,64.4,164143.4294,2022-05-01 23:59:59.999
22,64.5,67.7,51.3,52.1,104616.2768,2022-05-08 23:59:59.999
23,52.3,53.3,28.2,36.1,158613.2087,2022-05-15 23:59:59.999
24,36.2,36.4,30.1,32.8,82979.5335,2022-05-22 23:59:59.999
25,32.9,35.4,28.1,31.9,217132.1652,2022-05-29 23:59:59.999
26,31.9,35.1,27.8,30.1,89068.0895,2022-06-05 23:59:59.999
0,30.1,34.0,24.0,24.0,138173.677,2022-06-12 23:59:59.999000
0,24.0,25.8,16.8,19.9,515723.6128,2022-06-19 23:59:59.999000
1,19.9,48.9,18.7,24.8,878477.7932,2022-06-26 23:59:59.999000
2,24.8,29.7,21.3,23.3,456167.9541,2022-07-03 23:59:59.999000
3,23.3,26.7,22.6,24.1,204268.0195,2022-07-10 23:59:59.999000
4,24.0,36.4,20.1,26.3,818453.6718,2022-07-17 23:59:59.999000
