,Open,High,Low,Close,Volume,Close time
0,0.9611,1.65,0.9611,1.1157,83258501.0,2021-08-15 23:59:59.999
1,1.115,1.7885,1.0888,1.3525,195141704.1,2021-08-22 23:59:59.999
2,1.3522,1.4437,1.16,1.364,49991918.5,2021-08-29 23:59:59.999
3,1.3619,1.3646,1.131,1.1874,36288116.2,2021-09-05 23:59:59.999
4,1.1872,1.35,0.7889,1.1251,72350801.5,2021-09-12 23:59:59.999
5,1.1251,1.31,0.9822,1.0604,38497327.2,2021-09-19 23:59:59.999
6,1.0607,1.1858,0.799,0.8654,62511951.2,2021-09-26 23:59:59.999
7,0.8649,0.95,0.8237,0.8869,41690071.1,2021-10-03 23:59:59.999
8,0.8882,0.9381,0.8247,0.8319,31479397.5,2021-10-10 23:59:59.999
9,0.8319,1.0722,0.813,0.9457,88539573.9,2021-10-17 23:59:59.999
10,0.9457,1.0399,0.8758,0.8805,37216946.4,2021-10-24 23:59:59.999
11,0.8805,0.9449,0.8258,0.8943,35497352.4,2021-10-31 23:59:59.999
12,0.8943,0.95,0.84,0.8881,30699117.2,2021-11-07 23:59:59.999
13,0.8881,0.9455,0.7733,0.8787,41667519.3,2021-11-14 23:59:59.999
14,0.8782,0.8842,0.7282,0.7867,36057921.5,2021-11-21 23:59:59.999
15,0.7867,0.79,0.6731,0.7065,25835549.3,2021-11-28 23:59:59.999
16,0.707,0.875,0.5455,0.5645,74168891.0,2021-12-05 23:59:59.999
17,0.5645,0.819,0.5166,0.5798,57903415.6,2021-12-12 23:59:59.999
18,0.5798,0.5818,0.4789,0.5278,23334878.2,2021-12-19 23:59:59.999
19,0.5265,0.5977,0.5094,0.5838,18675557.1,2021-12-26 23:59:59.999
20,0.584,0.8189,0.5608,0.6085,141555052.5,2022-01-02 23:59:59.999
21,0.6085,0.6722,0.4807,0.4975,53368634.0,2022-01-09 23:59:59.999
22,0.4974,0.5216,0.4467,0.5053,22208408.4,2022-01-16 23:59:59.999
23,0.5053,0.5099,0.2506,0.3117,48317835.0,2022-01-23 23:59:59.999
24,0.3114,0.3946,0.2786,0.3602,54622636.4,2022-01-30 23:59:59.999
25,0.3597,0.424,0.3424,0.3905,24208485.6,2022-02-06 23:59:59.999
26,0.3901,0.4565,0.3688,0.3741,29068896.0,2022-02-13 23:59:59.999
27,0.374,0.5093,0.3493,0.3602,99953863.4,2022-02-20 23:59:59.999
28,0.3602,0.49,0.3129,0.3912,48340830.2,2022-02-27 23:59:59.999
29,0.3913,0.46,0.3627,0.3756,80642875.0,2022-03-06 23:59:59.999
30,0.376,0.4488,0.3567,0.4119,53449827.8,2022-03-13 23:59:59.999
31,0.4117,0.6532,0.3946,0.5104,130107079.5,2022-03-20 23:59:59.999
32,0.5108,0.54,0.4489,0.4844,74492939.3,2022-03-27 23:59:59.999
33,0.4844,0.5833,0.4575,0.5281,44940030.1,2022-04-03 23:59:59.999
34,0.5272,0.62,0.4894,0.5642,83782596.4,2022-04-10 23:59:59.999
35,0.5638,0.7486,0.5176,0.6389,199882819.3,2022-04-17 23:59:59.999
36,0.6378,0.6869,0.585,0.5953,54690699.5,2022-04-24 23:59:59.999
37,0.5956,0.5956,0.3673,0.4121,36701642.8,2022-05-01 23:59:59.999
38,0.4124,0.4729,0.4027,0.4271,27939755.4,2022-05-08 23:59:59.999
39,0.4273,0.4334,0.26,0.3242,42498118.5,2022-05-15 23:59:59.999
40,0.3239,0.3473,0.2944,0.3213,17600986.7,2022-05-22 23:59:59.999
41,0.3217,0.3661,0.295,0.3101,22693978.6,2022-05-29 23:59:59.999
42,0.3102,0.352,0.3055,0.3092,18027438.9,2022-06-05 23:59:59.999
0,0.3093,0.39,0.283,0.2892,30512086.3,2022-06-12 23:59:59.999000
