,Open,High,Low,Close,Volume,Close time
0,1.0,18.9995,1.0,3.2124,112473255.23,2022-02-27 23:59:59.999
1,3.2124,3.969,2.4178,2.4383,15502472.95,2022-03-06 23:59:59.999
2,2.4378,11.5655,2.2588,7.7392,233410065.2,2022-03-13 23:59:59.999
3,7.7369,10.6494,7.4285,9.2007,54984785.27,2022-03-20 23:59:59.999
4,9.2022,9.4653,7.6912,7.954,14482169.44,2022-03-27 23:59:59.999
5,7.954,8.2369,6.649,6.9113,12298957.88,2022-04-03 23:59:59.999
6,6.9113,8.2686,6.1098,6.1538,23097830.4,2022-04-10 23:59:59.999
7,6.1652,6.5281,5.05,5.3777,11036310.34,2022-04-17 23:59:59.999
8,5.3767,8.1495,4.9955,6.1093,31792973.88,2022-04-24 23:59:59.999
9,6.1083,6.3296,4.8017,4.9155,14602894.38,2022-05-01 23:59:59.999
10,4.9155,5.46,4.4646,4.4856,10198823.79,2022-05-08 23:59:59.999
11,4.4937,4.5294,1.2511,2.8557,41776061.03,2022-05-15 23:59:59.999
12,2.8581,4.7351,2.5222,3.427,34432253.13,2022-05-22 23:59:59.999
13,3.4233,4.0351,2.9174,3.251,9071630.97,2022-05-29 23:59:59.999
14,3.249,3.4426,3.0874,3.1878,5533624.92,2022-06-05 23:59:59.999
