,Open,High,Low,Close,Volume,Close time
0,0.04975,0.08,0.04975,0.06358,4284315380.0,2021-11-28 23:59:59.999
1,0.06358,0.06711,0.04815,0.05053,1002936791.0,2021-12-05 23:59:59.999
2,0.05053,0.063,0.04799,0.05228,1001511912.0,2021-12-12 23:59:59.999
3,0.05228,0.05261,0.04708,0.04803,278538859.0,2021-12-19 23:59:59.999
4,0.04797,0.05201,0.04596,0.05093,398742084.0,2021-12-26 23:59:59.999
5,0.05089,0.05975,0.04773,0.04897,701940560.0,2022-01-02 23:59:59.999
6,0.04902,0.05615,0.04122,0.04278,675816071.0,2022-01-09 23:59:59.999
7,0.04282,0.04355,0.04016,0.0412,343761928.0,2022-01-16 23:59:59.999
8,0.04121,0.04532,0.024,0.02906,493351504.0,2022-01-23 23:59:59.999
9,0.02908,0.035,0.0255,0.02961,474067279.0,2022-01-30 23:59:59.999
10,0.02961,0.03347,0.02801,0.03207,300434640.0,2022-02-06 23:59:59.999
11,0.03213,0.03812,0.02995,0.03006,1287265190.0,2022-02-13 23:59:59.999
12,0.03004,0.03392,0.02693,0.02712,409327523.0,2022-02-20 23:59:59.999
13,0.02713,0.03035,0.02144,0.02684,605155472.0,2022-02-27 23:59:59.999
14,0.02687,0.03008,0.026,0.0261,491104903.0,2022-03-06 23:59:59.999
15,0.0261,0.0275,0.02387,0.02434,576265698.0,2022-03-13 23:59:59.999
16,0.02435,0.02762,0.02406,0.02547,483683551.0,2022-03-20 23:59:59.999
17,0.02547,0.02889,0.02518,0.02784,999460798.0,2022-03-27 23:59:59.999
18,0.02782,0.02928,0.026,0.02781,1171678748.0,2022-04-03 23:59:59.999
19,0.02781,0.03,0.02415,0.02453,951825034.0,2022-04-10 23:59:59.999
20,0.02454,0.02496,0.02215,0.02223,496856417.0,2022-04-17 23:59:59.999
21,0.02223,0.02497,0.02094,0.0217,1279506069.0,2022-04-24 23:59:59.999
22,0.02169,0.02335,0.01884,0.01921,978113053.0,2022-05-01 23:59:59.999
23,0.01918,0.01988,0.01756,0.0178,526414057.0,2022-05-08 23:59:59.999
24,0.01783,0.01789,0.00976,0.01427,1563813573.0,2022-05-15 23:59:59.999
25,0.01426,0.01449,0.01283,0.0133,856927527.0,2022-05-22 23:59:59.999
26,0.01331,0.01423,0.01136,0.01182,500227608.0,2022-05-29 23:59:59.999
27,0.01182,0.01274,0.01121,0.01144,233107633.0,2022-06-05 23:59:59.999
0,0.01148,0.01191,0.00996,0.01007,232105330.0,2022-06-12 23:59:59.999000
