,Open,High,Low,Close,Volume,Close time
0,1.55,1.98,1.253,1.534,23897942.43,2022-01-30 23:59:59.999
1,1.534,1.582,1.304,1.42,8052381.83,2022-02-06 23:59:59.999
2,1.419,2.09,1.402,1.932,27150686.65,2022-02-13 23:59:59.999
3,1.931,2.75,1.856,2.197,37231708.32,2022-02-20 23:59:59.999
4,2.2,3.995,2.171,3.67,59573199.44,2022-02-27 23:59:59.999
5,3.669,6.19,3.427,4.062,113242278.68,2022-03-06 23:59:59.999
6,4.06,4.479,2.997,2.997,84727444.92,2022-03-13 23:59:59.999
7,2.997,3.5,2.56,2.581,58927874.14,2022-03-20 23:59:59.999
8,2.58,2.745,2.404,2.482,26120515.93,2022-03-27 23:59:59.999
9,2.484,3.07,2.433,2.894,89104247.64,2022-04-03 23:59:59.999
10,2.897,3.48,2.576,2.719,127750759.36,2022-04-10 23:59:59.999
11,2.718,2.741,2.022,2.028,47868996.46,2022-04-17 23:59:59.999
12,2.028,2.277,1.876,1.903,32805194.28,2022-04-24 23:59:59.999
13,1.903,1.992,1.58,1.683,27248440.46,2022-05-01 23:59:59.999
14,1.683,2.334,1.527,1.59,73587780.59,2022-05-08 23:59:59.999
15,1.588,1.616,0.01774,0.18621,2499647999.83,2022-05-15 23:59:59.999
16,0.18621,0.2088,0.07561,0.15952,1505527137.87,2022-05-22 23:59:59.999
17,0.15947,0.64,0.15569,0.28617,4275430636.36,2022-05-29 23:59:59.999
18,0.28651,0.29785,0.1773,0.18787,1059154916.47,2022-06-05 23:59:59.999
0,0.18796,0.203,0.101,0.12445,1645545735.85,2022-06-12 23:59:59.999000
0,0.12465,0.153,0.08075,0.13335,1116427651.87,2022-06-19 23:59:59.999000
1,0.13336,0.1548,0.1153,0.14384,1344523713.96,2022-06-26 23:59:59.999000
2,0.14365,0.19708,0.13441,0.14497,1586358619.61,2022-07-03 23:59:59.999000
3,0.14497,0.14999,0.1141,0.12474,483214367.28,2022-07-10 23:59:59.999000
4,0.12469,0.13027,0.10734,0.11205,538135257.03,2022-07-17 23:59:59.999000
