,Open,High,Low,Close,Volume,Close time
0,4.8,43.0,4.8,6.1129,6650942.85,2020-08-16 23:59:59.999
1,6.1129,6.664,4.58,6.1525,4649010.07,2020-08-23 23:59:59.999
2,6.1525,10.8888,6.1525,8.9414,11935555.93,2020-08-30 23:59:59.999
3,8.934,8.957,3.7682,4.7415,5776860.25,2020-09-06 23:59:59.999
4,4.7296,5.2719,3.9006,4.9513,4256459.17,2020-09-13 23:59:59.999
5,4.9497,5.9946,3.7001,3.7598,5558010.87,2020-09-20 23:59:59.999
6,3.7582,3.8987,2.9364,3.3498,6346216.47,2020-09-27 23:59:59.999
7,3.3537,3.8715,3.3,3.5322,2964482.5,2020-10-04 23:59:59.999
8,3.527,3.8891,3.1609,3.8502,911418.1,2020-10-11 23:59:59.999
9,3.847,3.8603,3.1512,3.3078,703384.33,2020-10-18 23:59:59.999
10,3.3205,3.4202,2.8304,3.1454,753751.12,2020-10-25 23:59:59.999
11,3.1532,3.796,2.9,3.0613,1457136.35,2020-11-01 23:59:59.999
12,3.0674,3.33,2.6639,3.1086,1426081.26,2020-11-08 23:59:59.999
13,3.1087,3.62,2.9927,3.2341,1498320.34,2020-11-15 23:59:59.999
14,3.2241,4.2856,2.9913,3.909,3190031.58,2020-11-22 23:59:59.999
15,3.909,4.58,2.9736,3.284,3111356.87,2020-11-29 23:59:59.999
16,3.2882,3.6588,3.0962,3.4583,2039707.59,2020-12-06 23:59:59.999
17,3.4611,3.4977,2.82,3.0039,1347530.3,2020-12-13 23:59:59.999
18,3.0038,3.2729,2.895,3.1075,1657916.16,2020-12-20 23:59:59.999
19,3.1009,3.1042,2.6083,2.8976,1246564.22,2020-12-27 23:59:59.999
20,2.892,3.2503,2.8841,3.0597,1726073.21,2021-01-03 23:59:59.999
21,3.0597,3.9434,3.0575,3.8196,3861889.8,2021-01-10 23:59:59.999
22,3.826,5.2894,3.0251,4.8616,6952692.76,2021-01-17 23:59:59.999
23,4.8569,5.0309,3.0205,4.2194,6635944.06,2021-01-24 23:59:59.999
24,4.2272,4.3933,3.4245,4.166,3950770.58,2021-01-31 23:59:59.999
