,Open,High,Low,Close,Volume,Close time
0,1.0,28.0,1.0,9.6302,344836633.44,2022-03-20 23:59:59.999
1,9.6291,14.5,9.5684,14.27,251618984.53,2022-03-27 23:59:59.999
2,14.2702,15.5571,11.8621,12.3824,124154882.27,2022-04-03 23:59:59.999
3,12.3874,12.7953,10.515,12.0711,73882826.23,2022-04-10 23:59:59.999
4,12.0738,13.5721,10.6612,11.6991,104901527.94,2022-04-17 23:59:59.999
5,11.6948,18.4497,10.9,16.8171,236836843.0,2022-04-24 23:59:59.999
6,16.8184,27.6015,15.5314,15.871,386306921.1,2022-05-01 23:59:59.999
7,15.8703,17.6537,11.0704,11.2365,246751799.46,2022-05-08 23:59:59.999
8,11.2335,11.6454,5.1701,9.1318,397467183.32,2022-05-15 23:59:59.999
9,9.1282,9.2742,7.4275,8.0284,132300386.87,2022-05-22 23:59:59.999
10,8.0261,8.4999,5.796,6.2365,104552817.1,2022-05-29 23:59:59.999
11,6.2375,7.48,5.9386,6.0991,73056913.22,2022-06-05 23:59:59.999
0,6.097,6.4437,3.8753,3.8887,65278398.2,2022-06-12 23:59:59.999000
