,Open,High,Low,Close,Volume,Close time
0,4.19,7.22,4.052,4.378,25914649.96,2022-01-23 23:59:59.999
1,4.378,4.543,3.47,3.644,5701337.23,2022-01-30 23:59:59.999
2,3.636,3.88,3.23,3.648,4189358.56,2022-02-06 23:59:59.999
3,3.645,5.39,3.597,4.582,10706739.8,2022-02-13 23:59:59.999
4,4.587,9.762,4.152,6.979,44459198.46,2022-02-20 23:59:59.999
5,6.968,7.99,5.165,6.595,41472655.01,2022-02-27 23:59:59.999
6,6.593,8.572,5.507,5.563,20164955.24,2022-03-06 23:59:59.999
7,5.556,5.936,4.705,4.828,13838054.11,2022-03-13 23:59:59.999
8,4.828,5.518,4.424,4.782,10854158.29,2022-03-20 23:59:59.999
9,4.782,6.475,4.621,5.857,20434884.1,2022-03-27 23:59:59.999
10,5.86,6.167,4.893,5.414,11554453.68,2022-04-03 23:59:59.999
11,5.419,6.15,4.504,4.536,24289270.12,2022-04-10 23:59:59.999
12,4.536,4.822,3.884,4.217,12101094.39,2022-04-17 23:59:59.999
13,4.217,6.3,3.97,4.234,25552829.91,2022-04-24 23:59:59.999
14,4.234,4.302,2.992,3.292,9398049.87,2022-05-01 23:59:59.999
15,3.292,3.7,3.022,3.189,9425567.56,2022-05-08 23:59:59.999
16,3.19,3.274,1.226,1.92,19133169.66,2022-05-15 23:59:59.999
17,1.919,2.202,1.595,1.919,11642108.25,2022-05-22 23:59:59.999
18,1.92,2.071,1.419,1.63,11156199.0,2022-05-29 23:59:59.999
19,1.631,1.909,1.456,1.509,9547513.45,2022-06-05 23:59:59.999
0,1.509,1.956,1.153,1.19,26225710.27,2022-06-12 23:59:59.999000
