,Open,High,Low,Close,Volume,Close time
0,27.18,77.8,22.694,23.895,3292448.72,2021-05-16 23:59:59.999
1,23.879,25.938,9.9,13.28,2586509.52,2021-05-23 23:59:59.999
2,13.336,18.89,11.813,14.225,1925655.07,2021-05-30 23:59:59.999
3,14.111,20.0,12.481,15.656,1498805.46,2021-06-06 23:59:59.999
4,15.661,22.375,13.547,15.802,4754818.79,2021-06-13 23:59:59.999
5,15.871,19.31,14.62,18.429,1925702.55,2021-06-20 23:59:59.999
6,18.427,18.436,8.27,10.212,3596943.11,2021-06-27 23:59:59.999
7,10.248,12.76,9.357,10.929,2586798.42,2021-07-04 23:59:59.999
8,10.929,12.979,10.202,11.379,2531964.59,2021-07-11 23:59:59.999
9,11.37,11.452,8.15,9.007,1080967.11,2021-07-18 23:59:59.999
10,8.982,11.073,7.101,10.027,1929323.06,2021-07-25 23:59:59.999
11,10.031,14.0,8.88,11.494,2818273.28,2021-08-01 23:59:59.999
12,11.505,16.5,10.622,14.917,3649741.67,2021-08-08 23:59:59.999
13,14.919,16.87,13.761,16.828,2568495.39,2021-08-15 23:59:59.999
14,16.827,36.165,16.666,28.796,13034981.8,2021-08-22 23:59:59.999
15,28.834,50.0,23.5,42.59,9248572.17,2021-08-29 23:59:59.999
16,42.61,70.0,38.9,49.95,12553679.54,2021-09-05 23:59:59.999
17,49.9,74.4,42.0,59.84,10236797.34,2021-09-12 23:59:59.999
18,59.8,59.86,47.81,49.7,3055147.71,2021-09-19 23:59:59.999
19,49.72,54.8,34.15,43.23,4692636.68,2021-09-26 23:59:59.999
20,43.19,58.96,38.04,57.49,3359773.27,2021-10-03 23:59:59.999
21,57.5,69.8,48.0,57.89,4983887.26,2021-10-10 23:59:59.999
22,57.85,64.22,49.17,51.55,2385671.28,2021-10-17 23:59:59.999
23,51.55,58.03,48.43,51.33,1879004.0,2021-10-24 23:59:59.999
24,51.24,60.5,44.51,54.85,3168035.48,2021-10-31 23:59:59.999
25,54.88,91.08,50.5,76.3,11189771.87,2021-11-07 23:59:59.999
26,76.3,80.0,63.5,70.14,4479826.6,2021-11-14 23:59:59.999
27,70.14,73.2,51.0,64.33,6621274.38,2021-11-21 23:59:59.999
28,64.33,66.43,51.6,57.95,5865733.81,2021-11-28 23:59:59.999
29,57.92,63.1,38.0,44.98,4049382.63,2021-12-05 23:59:59.999
30,44.99,49.96,39.15,41.76,2317123.16,2021-12-12 23:59:59.999
31,41.72,60.0,35.19,59.15,4690478.52,2021-12-19 23:59:59.999
32,59.2,68.7,50.4,61.69,4324193.81,2021-12-26 23:59:59.999
33,61.69,67.0,52.83,60.16,2775766.91,2022-01-02 23:59:59.999
34,60.09,69.0,45.07,50.38,4776709.9,2022-01-09 23:59:59.999
35,50.37,54.42,43.64,49.35,3123417.96,2022-01-16 23:59:59.999
36,49.36,49.63,27.27,34.28,4497940.36,2022-01-23 23:59:59.999
37,34.26,38.0,27.38,35.92,4643650.69,2022-01-30 23:59:59.999
38,35.93,41.82,33.37,38.08,3505826.64,2022-02-06 23:59:59.999
39,38.06,42.56,31.32,32.12,4572808.96,2022-02-13 23:59:59.999
40,32.16,35.7,25.54,26.1,3310570.51,2022-02-20 23:59:59.999
41,26.09,31.0,22.19,28.88,4412544.43,2022-02-27 23:59:59.999
42,28.86,34.7,27.98,28.22,3486476.92,2022-03-06 23:59:59.999
43,28.21,38.79,27.23,30.45,4610471.41,2022-03-13 23:59:59.999
44,30.45,36.61,29.59,32.41,3483925.83,2022-03-20 23:59:59.999
45,32.41,37.7,31.31,37.62,3923642.43,2022-03-27 23:59:59.999
46,37.6,41.75,34.6,40.88,4834911.52,2022-04-03 23:59:59.999
47,40.86,40.92,32.0,33.94,2334031.26,2022-04-10 23:59:59.999
48,33.96,34.99,28.52,28.72,1906586.18,2022-04-17 23:59:59.999
49,28.71,32.0,26.72,26.76,1608555.63,2022-04-24 23:59:59.999
50,26.77,28.44,22.01,25.11,3162283.85,2022-05-01 23:59:59.999
51,25.09,26.99,19.36,19.77,3860575.35,2022-05-08 23:59:59.999
52,19.76,20.48,9.88,18.84,13262196.3,2022-05-15 23:59:59.999
53,18.84,18.91,13.61,15.7,5474713.74,2022-05-22 23:59:59.999
54,15.7,16.43,12.31,13.35,3977477.38,2022-05-29 23:59:59.999
55,13.35,16.44,12.0,12.71,2650915.0,2022-06-05 23:59:59.999
