,Open,High,Low,Close,Volume,Close time
0,0.03888,0.04399,0.03798,0.04019,2720044.2,2020-05-17 23:59:59.999
1,0.04031,0.08864,0.03713,0.046,123352216.1,2020-05-24 23:59:59.999
2,0.04586,0.05388,0.04505,0.04648,26470564.5,2020-05-31 23:59:59.999
3,0.04646,0.05299,0.04457,0.04939,16595106.4,2020-06-07 23:59:59.999
4,0.04946,0.05836,0.04769,0.05233,16846916.5,2020-06-14 23:59:59.999
5,0.05261,0.05649,0.04777,0.05488,12413206.6,2020-06-21 23:59:59.999
6,0.05452,0.05612,0.04638,0.04858,11857821.4,2020-06-28 23:59:59.999
7,0.0482,0.055,0.04642,0.05107,8628131.3,2020-07-05 23:59:59.999
8,0.05112,0.05491,0.04985,0.0525,9799296.2,2020-07-12 23:59:59.999
9,0.05252,0.06589,0.05023,0.05624,59245725.2,2020-07-19 23:59:59.999
10,0.05626,0.06316,0.05417,0.0561,35455271.4,2020-07-26 23:59:59.999
11,0.05615,0.06355,0.04143,0.05547,30971828.8,2020-08-02 23:59:59.999
12,0.05547,0.07101,0.05467,0.06869,38940003.2,2020-08-09 23:59:59.999
13,0.06885,0.078,0.06234,0.06801,90946518.4,2020-08-16 23:59:59.999
14,0.06809,0.08149,0.0633,0.07685,97116539.5,2020-08-23 23:59:59.999
15,0.07705,0.0904,0.07281,0.08562,73102587.3,2020-08-30 23:59:59.999
16,0.08568,0.09111,0.0504,0.05586,34533373.2,2020-09-06 23:59:59.999
17,0.05585,0.07,0.02119,0.06291,44734828.2,2020-09-13 23:59:59.999
18,0.06297,0.07,0.05872,0.06545,26130883.5,2020-09-20 23:59:59.999
19,0.06558,0.06617,0.049,0.05226,18592077.2,2020-09-27 23:59:59.999
20,0.05245,0.0605,0.04522,0.04696,12747816.6,2020-10-04 23:59:59.999
21,0.04695,0.06553,0.04367,0.05376,17045240.3,2020-10-11 23:59:59.999
22,0.05376,0.05453,0.04611,0.04851,9428656.0,2020-10-18 23:59:59.999
23,0.04855,0.058,0.04691,0.05198,10343985.4,2020-10-25 23:59:59.999
24,0.05212,0.05761,0.04614,0.04759,8178128.4,2020-11-01 23:59:59.999
25,0.04772,0.084,0.04452,0.0518,49223803.2,2020-11-08 23:59:59.999
26,0.05197,0.05997,0.0511,0.05459,26268133.6,2020-11-15 23:59:59.999
27,0.05475,0.06251,0.05076,0.05855,18753780.0,2020-11-22 23:59:59.999
28,0.0587,0.09314,0.05595,0.06773,73757002.3,2020-11-29 23:59:59.999
29,0.06773,0.08398,0.06452,0.07028,28891340.9,2020-12-06 23:59:59.999
30,0.06972,0.07199,0.05877,0.06525,26585442.3,2020-12-13 23:59:59.999
31,0.06519,0.08869,0.06391,0.07364,44336034.9,2020-12-20 23:59:59.999
32,0.07321,0.07631,0.059,0.06623,16748980.8,2020-12-27 23:59:59.999
33,0.06623,0.09409,0.062,0.07697,43662483.9,2021-01-03 23:59:59.999
34,0.07697,0.09618,0.06587,0.0839,39811232.9,2021-01-10 23:59:59.999
35,0.08421,0.092,0.06208,0.08448,31603132.6,2021-01-17 23:59:59.999
36,0.08437,0.0918,0.07245,0.08338,35492051.2,2021-01-24 23:59:59.999
37,0.08338,0.096,0.07056,0.079,38823008.9,2021-01-31 23:59:59.999
38,0.07919,0.1152,0.07625,0.0965,71974254.2,2021-02-07 23:59:59.999
39,0.0965,0.1499,0.09316,0.13424,100212679.8,2021-02-14 23:59:59.999
40,0.13423,0.23699,0.133,0.20722,297369576.2,2021-02-21 23:59:59.999
41,0.20556,0.21,0.12131,0.15629,68296846.9,2021-02-28 23:59:59.999
42,0.15675,0.21631,0.15658,0.20595,72135151.4,2021-03-07 23:59:59.999
43,0.20666,0.2841,0.19196,0.25249,66243891.3,2021-03-14 23:59:59.999
44,0.25177,0.315,0.22591,0.27789,92930323.5,2021-03-21 23:59:59.999
45,0.27756,0.32554,0.23241,0.30953,63719740.2,2021-03-28 23:59:59.999
46,0.30963,0.43838,0.29601,0.4175,136779931.4,2021-04-04 23:59:59.999
47,0.41596,0.79,0.26185,0.51795,704716619.3,2021-04-11 23:59:59.999
48,0.51576,0.5575,0.33835,0.38242,129151173.6,2021-04-18 23:59:59.999
49,0.3825,0.50956,0.244,0.30793,196084713.7,2021-04-25 23:59:59.999
50,0.30787,0.4418,0.29458,0.39475,72178927.1,2021-05-02 23:59:59.999
51,0.39475,0.6345,0.337,0.42473,254260210.8,2021-05-09 23:59:59.999
52,0.42473,0.42545,0.292,0.31507,67683341.0,2021-05-16 23:59:59.999
53,0.31579,0.37001,0.15188,0.21796,206725666.3,2021-05-23 23:59:59.999
54,0.21948,0.26573,0.1911,0.21467,71822118.2,2021-05-30 23:59:59.999
55,0.21385,0.24298,0.20198,0.22045,33374714.0,2021-06-06 23:59:59.999
56,0.22039,0.23856,0.1571,0.176,82339589.0,2021-06-13 23:59:59.999
57,0.17631,0.18679,0.13419,0.15042,50415734.3,2021-06-20 23:59:59.999
58,0.15042,0.16318,0.08713,0.10989,68973131.2,2021-06-27 23:59:59.999
59,0.10989,0.23779,0.10593,0.18443,285037625.6,2021-07-04 23:59:59.999
60,0.18405,0.1919,0.15223,0.1655,67192756.4,2021-07-11 23:59:59.999
61,0.1655,0.17897,0.14196,0.148,37146125.1,2021-07-18 23:59:59.999
