,Open,High,Low,Close,Volume,Close time
0,0.02109,0.038,0.01933,0.02051,743382758.8,2019-11-10 23:59:59.999
1,0.0205,0.02069,0.01625,0.01734,257657123.7,2019-11-17 23:59:59.999
2,0.01734,0.01744,0.01012,0.01016,234882769.2,2019-11-24 23:59:59.999
3,0.01012,0.01322,0.00897,0.01111,199594972.9,2019-12-01 23:59:59.999
4,0.01111,0.01184,0.01029,0.01151,167461212.9,2019-12-08 23:59:59.999
5,0.01151,0.01178,0.00878,0.00968,129508318.5,2019-12-15 23:59:59.999
6,0.00971,0.0119,0.00795,0.01058,224884930.0,2019-12-22 23:59:59.999
7,0.01058,0.0125,0.00974,0.00989,362285937.8,2019-12-29 23:59:59.999
8,0.0099,0.01097,0.00926,0.01008,2261120491.8,2020-01-05 23:59:59.999
9,0.01008,0.01035,0.009,0.00923,411746047.2,2020-01-12 23:59:59.999
10,0.00923,0.0095,0.00795,0.0081,176017047.6,2020-01-19 23:59:59.999
11,0.00811,0.00981,0.008,0.00887,157225464.4,2020-01-26 23:59:59.999
12,0.00888,0.01204,0.00865,0.01135,205256402.9,2020-02-02 23:59:59.999
13,0.01133,0.01879,0.01124,0.01638,184238672.3,2020-02-09 23:59:59.999
14,0.0165,0.02058,0.01507,0.01772,249157184.0,2020-02-16 23:59:59.999
15,0.01771,0.023,0.01075,0.01255,730549289.7,2020-02-23 23:59:59.999
16,0.01257,0.01339,0.009,0.00963,291170649.2,2020-03-01 23:59:59.999
17,0.00964,0.0128,0.00888,0.00909,346596278.9,2020-03-08 23:59:59.999
18,0.00906,0.01049,0.00326,0.00535,269946852.3,2020-03-15 23:59:59.999
19,0.00535,0.00713,0.00399,0.00591,248939411.5,2020-03-22 23:59:59.999
20,0.00589,0.00726,0.00561,0.00595,180656849.8,2020-03-29 23:59:59.999
21,0.00594,0.00808,0.00591,0.00764,192627204.8,2020-04-05 23:59:59.999
22,0.00764,0.00805,0.00694,0.00711,110803157.2,2020-04-12 23:59:59.999
23,0.00707,0.00857,0.00672,0.00791,162953902.9,2020-04-19 23:59:59.999
24,0.00792,0.01082,0.00752,0.00988,349035405.3,2020-04-26 23:59:59.999
25,0.00986,0.01145,0.00945,0.01055,203104232.6,2020-05-03 23:59:59.999
26,0.01051,0.01293,0.00919,0.01197,273097050.5,2020-05-10 23:59:59.999
27,0.01199,0.0135,0.01005,0.01085,903209452.5,2020-05-17 23:59:59.999
28,0.01084,0.01114,0.00992,0.01049,216537464.7,2020-05-24 23:59:59.999
29,0.01046,0.0121,0.01041,0.01089,252777778.8,2020-05-31 23:59:59.999
30,0.0109,0.01228,0.01033,0.01219,207471517.9,2020-06-07 23:59:59.999
31,0.01221,0.01458,0.01178,0.01226,385503750.2,2020-06-14 23:59:59.999
32,0.01228,0.01525,0.01106,0.01379,345049472.8,2020-06-21 23:59:59.999
33,0.01379,0.01407,0.01134,0.01213,125331793.4,2020-06-28 23:59:59.999
34,0.01212,0.0142,0.01204,0.01346,126727163.5,2020-07-05 23:59:59.999
35,0.01345,0.03982,0.01325,0.02414,2212069477.7,2020-07-12 23:59:59.999
36,0.02415,0.02665,0.01989,0.02223,951670637.1,2020-07-19 23:59:59.999
37,0.02229,0.028,0.0215,0.0242,602237045.9,2020-07-26 23:59:59.999
38,0.0242,0.02432,0.02028,0.02149,458585447.0,2020-08-02 23:59:59.999
39,0.02147,0.0297,0.02138,0.02915,459512890.5,2020-08-09 23:59:59.999
40,0.02907,0.05795,0.02773,0.0505,1463046106.7,2020-08-16 23:59:59.999
41,0.05052,0.053,0.022,0.03654,750286043.6,2020-08-23 23:59:59.999
42,0.0365,0.04658,0.03494,0.04213,426548313.0,2020-08-30 23:59:59.999
43,0.04215,0.047,0.03015,0.04142,695749385.7,2020-09-06 23:59:59.999
44,0.04139,0.04404,0.0353,0.03896,368708259.0,2020-09-13 23:59:59.999
45,0.03906,0.04145,0.0286,0.02937,486085038.6,2020-09-20 23:59:59.999
46,0.02937,0.03145,0.02013,0.0234,376111309.7,2020-09-27 23:59:59.999
47,0.02335,0.02848,0.0201,0.02183,294232292.1,2020-10-04 23:59:59.999
48,0.02175,0.02207,0.01733,0.02011,114658389.4,2020-10-11 23:59:59.999
49,0.02013,0.0232,0.01791,0.01856,292822198.9,2020-10-18 23:59:59.999
50,0.01861,0.01879,0.01669,0.01713,93972815.1,2020-10-25 23:59:59.999
51,0.01712,0.01755,0.0125,0.0147,260386239.1,2020-11-01 23:59:59.999
52,0.01469,0.0188,0.01293,0.01827,274063691.1,2020-11-08 23:59:59.999
53,0.01835,0.01997,0.0163,0.01776,507314142.4,2020-11-15 23:59:59.999
54,0.01774,0.02473,0.01738,0.02246,1358513259.9,2020-11-22 23:59:59.999
55,0.02249,0.02708,0.01846,0.02485,1016191738.0,2020-11-29 23:59:59.999
56,0.02484,0.02575,0.02203,0.02288,495063599.7,2020-12-06 23:59:59.999
57,0.02288,0.02386,0.01847,0.02091,529453900.3,2020-12-13 23:59:59.999
58,0.02091,0.02658,0.0208,0.02421,573375664.3,2020-12-20 23:59:59.999
59,0.02421,0.02473,0.01572,0.02066,724974912.8,2020-12-27 23:59:59.999
60,0.02065,0.032,0.02065,0.02197,1789310962.9,2021-01-03 23:59:59.999
61,0.02197,0.026,0.01913,0.02398,1344903064.5,2021-01-10 23:59:59.999
62,0.02401,0.02499,0.019,0.02383,612524818.6,2021-01-17 23:59:59.999
63,0.02383,0.02866,0.0222,0.02651,737945627.8,2021-01-24 23:59:59.999
64,0.02651,0.03148,0.02235,0.02543,621182522.0,2021-01-31 23:59:59.999
65,0.02541,0.03215,0.02492,0.0289,858643507.2,2021-02-07 23:59:59.999
66,0.02895,0.04578,0.02861,0.0408,1082720804.7,2021-02-14 23:59:59.999
67,0.04088,0.0495,0.03471,0.0436,673131006.3,2021-02-21 23:59:59.999
68,0.04359,0.0444,0.02572,0.03345,637277250.0,2021-02-28 23:59:59.999
69,0.03356,0.05324,0.03323,0.04525,1138097379.6,2021-03-07 23:59:59.999
70,0.0453,0.09767,0.04519,0.08102,3034459410.4,2021-03-14 23:59:59.999
71,0.08104,0.09071,0.073,0.07862,1010166073.9,2021-03-21 23:59:59.999
72,0.0786,0.11637,0.07557,0.09757,1781466752.3,2021-03-28 23:59:59.999
73,0.09771,0.132,0.09518,0.1207,1366892442.3,2021-04-04 23:59:59.999
74,0.12085,0.14484,0.09735,0.12514,1345518089.0,2021-04-11 23:59:59.999
75,0.12514,0.13495,0.094,0.10275,943204788.1,2021-04-18 23:59:59.999
76,0.1028,0.12299,0.06922,0.075,765770107.9,2021-04-25 23:59:59.999
77,0.07499,0.12259,0.0749,0.10979,1018288583.2,2021-05-02 23:59:59.999
78,0.1098,0.12867,0.09876,0.10615,784369739.0,2021-05-09 23:59:59.999
79,0.10604,0.1095,0.07282,0.07968,536918714.2,2021-05-16 23:59:59.999
80,0.07948,0.07974,0.02651,0.0332,667011790.2,2021-05-23 23:59:59.999
81,0.03327,0.05192,0.03291,0.04143,511610852.6,2021-05-30 23:59:59.999
82,0.04132,0.05298,0.03881,0.04778,472768768.9,2021-06-06 23:59:59.999
83,0.04778,0.0549,0.03698,0.04351,930645535.9,2021-06-13 23:59:59.999
84,0.04351,0.04826,0.0341,0.03793,480674461.2,2021-06-20 23:59:59.999
85,0.03793,0.03821,0.02277,0.03038,424507399.5,2021-06-27 23:59:59.999
86,0.0303,0.03483,0.0283,0.03228,500780464.0,2021-07-04 23:59:59.999
87,0.03228,0.0368,0.02942,0.03499,484990084.4,2021-07-11 23:59:59.999
88,0.03503,0.03685,0.02937,0.03209,469693151.7,2021-07-18 23:59:59.999
89,0.03209,0.03294,0.02618,0.03294,273743238.3,2021-07-25 23:59:59.999
90,0.03294,0.04382,0.03236,0.04126,629150619.6,2021-08-01 23:59:59.999
91,0.04103,0.04658,0.03893,0.04187,531367938.3,2021-08-08 23:59:59.999
92,0.04189,0.067,0.04116,0.06109,1199950671.7,2021-08-15 23:59:59.999
93,0.06116,0.08619,0.05611,0.07868,1847168777.1,2021-08-22 23:59:59.999
