,Open,High,Low,Close,Volume,Close time
0,20.18,29.88,5.015,5.091,1956924.3,2021-01-03 23:59:59.999
1,5.088,5.204,3.215,3.518,787813.521,2021-01-10 23:59:59.999
2,3.486,5.962,2.776,4.271,2276275.861,2021-01-17 23:59:59.999
3,4.289,4.6,3.574,3.786,1543650.966,2021-01-24 23:59:59.999
4,3.787,6.6,3.478,3.627,2401282.122,2021-01-31 23:59:59.999
5,3.632,4.555,3.415,4.21,1184106.652,2021-02-07 23:59:59.999
6,4.214,8.113,4.213,6.337,2341613.593,2021-02-14 23:59:59.999
7,6.337,10.668,5.29,7.987,2562787.362,2021-02-21 23:59:59.999
8,7.951,9.192,5.339,6.447,2777087.715,2021-02-28 23:59:59.999
9,6.447,7.9,6.033,6.871,1509398.729,2021-03-07 23:59:59.999
10,6.871,17.8,6.683,11.119,7454767.627,2021-03-14 23:59:59.999
11,11.121,12.208,9.569,9.59,1985918.661,2021-03-21 23:59:59.999
12,9.591,10.998,7.545,9.6,2510896.526,2021-03-28 23:59:59.999
13,9.619,11.467,9.076,9.729,984636.484,2021-04-04 23:59:59.999
14,9.729,13.4,9.377,10.275,3445072.9,2021-04-11 23:59:59.999
15,10.267,12.299,9.09,9.252,2383678.984,2021-04-18 23:59:59.999
16,9.272,10.0,7.534,8.005,1559517.936,2021-04-25 23:59:59.999
17,8.005,10.424,7.992,9.872,1692917.529,2021-05-02 23:59:59.999
18,9.862,10.488,8.408,8.78,1094557.09,2021-05-09 23:59:59.999
19,8.803,16.773,7.671,11.167,10352896.694,2021-05-16 23:59:59.999
20,11.167,14.25,4.857,5.794,5976395.0,2021-05-23 23:59:59.999
21,5.852,7.95,5.278,5.919,2934462.076,2021-05-30 23:59:59.999
22,5.888,6.628,5.5,5.733,1390024.621,2021-06-06 23:59:59.999
23,5.739,9.903,4.582,6.02,8675646.229,2021-06-13 23:59:59.999
24,6.02,6.95,5.749,6.119,2625571.163,2021-06-20 23:59:59.999
25,6.119,6.138,4.626,5.02,2063521.332,2021-06-27 23:59:59.999
26,5.035,5.443,4.833,5.032,1624297.052,2021-07-04 23:59:59.999
27,5.032,5.49,4.704,5.094,1455949.629,2021-07-11 23:59:59.999
28,5.095,6.413,5.016,5.4,1622461.773,2021-07-18 23:59:59.999
29,5.385,7.27,5.173,6.627,1982910.29,2021-07-25 23:59:59.999
30,6.623,7.2,6.223,6.795,1192854.508,2021-08-01 23:59:59.999
31,6.781,7.951,6.75,7.249,1527308.412,2021-08-08 23:59:59.999
32,7.272,10.218,7.201,8.801,3548882.895,2021-08-15 23:59:59.999
33,8.822,9.181,7.918,8.019,1384894.494,2021-08-22 23:59:59.999
34,8.019,8.43,7.367,7.426,1017720.397,2021-08-29 23:59:59.999
35,7.449,8.888,7.147,8.193,1381654.876,2021-09-05 23:59:59.999
36,8.197,8.737,6.776,7.432,1984835.091,2021-09-12 23:59:59.999
37,7.432,11.653,6.979,7.821,5189259.584,2021-09-19 23:59:59.999
38,7.821,8.74,6.65,7.271,2741856.374,2021-09-26 23:59:59.999
39,7.221,7.753,6.952,7.399,1121857.0,2021-10-03 23:59:59.999
40,7.399,7.959,7.006,7.331,1226549.9,2021-10-10 23:59:59.999
41,7.32,8.5,7.11,7.358,1623951.5,2021-10-17 23:59:59.999
42,7.337,7.778,6.93,6.948,1111230.3,2021-10-24 23:59:59.999
43,6.937,7.55,6.17,6.406,1595132.617,2021-10-31 23:59:59.999
44,6.405,6.99,6.117,6.379,1147456.7,2021-11-07 23:59:59.999
45,6.389,6.5,6.0,6.133,759949.36,2021-11-14 23:59:59.999
46,6.135,6.45,5.15,5.422,987815.5,2021-11-21 23:59:59.999
47,5.421,5.681,4.645,4.925,779972.296,2021-11-28 23:59:59.999
48,4.924,5.492,3.785,4.412,2329145.391,2021-12-05 23:59:59.999
49,4.405,4.66,3.984,4.188,1286205.7,2021-12-12 23:59:59.999
50,4.183,4.216,3.532,3.55,646506.179,2021-12-19 23:59:59.999
51,3.552,4.951,3.315,4.113,2501858.2,2021-12-26 23:59:59.999
52,4.106,6.44,3.903,4.172,5709512.8,2022-01-02 23:59:59.999
53,4.172,4.275,3.555,3.77,1043974.7,2022-01-09 23:59:59.999
54,3.773,4.035,3.458,3.89,709496.4,2022-01-16 23:59:59.999
55,3.885,4.5,2.55,2.945,1270046.0,2022-01-23 23:59:59.999
56,2.942,3.223,2.625,3.067,514974.2,2022-01-30 23:59:59.999
57,3.059,3.3,2.951,3.261,366538.0,2022-02-06 23:59:59.999
