,Open,High,Low,Close,Volume,Close time
0,0.1392,0.178,0.0998,0.0999,494698955.0,2022-03-06 23:59:59.999
1,0.0998,0.125,0.0969,0.1055,396907369.9,2022-03-13 23:59:59.999
2,0.1057,0.115,0.0985,0.1049,167010085.4,2022-03-20 23:59:59.999
3,0.1051,0.1208,0.1017,0.113,221675695.7,2022-03-27 23:59:59.999
4,0.113,0.29,0.1129,0.2164,1838873461.9,2022-04-03 23:59:59.999
5,0.2163,0.3382,0.1976,0.3086,1702150351.3,2022-04-10 23:59:59.999
6,0.3086,0.3109,0.2158,0.2212,837244075.3,2022-04-17 23:59:59.999
7,0.2212,0.2419,0.1776,0.1853,771415109.5,2022-04-24 23:59:59.999
8,0.1853,0.1884,0.1302,0.1381,851160486.2,2022-05-01 23:59:59.999
9,0.1381,0.1798,0.119,0.1256,803510347.2,2022-05-08 23:59:59.999
10,0.1257,0.1283,0.042,0.0751,999693132.9,2022-05-15 23:59:59.999
11,0.0748,0.075,0.0545,0.0586,553155395.7,2022-05-22 23:59:59.999
12,0.0585,0.0888,0.0517,0.0578,1741402290.6,2022-05-29 23:59:59.999
13,0.0578,0.0783,0.0567,0.0605,685370487.1,2022-06-05 23:59:59.999
