,Open,High,Low,Close,Volume,Close time
0,20.88,36.0,6.678,7.982,2076691.802,2021-01-03 23:59:59.999
1,7.974,9.013,5.0,5.424,527255.236,2021-01-10 23:59:59.999
2,5.424,7.26,4.241,5.186,1398827.574,2021-01-17 23:59:59.999
3,5.186,5.555,4.491,4.797,505846.964,2021-01-24 23:59:59.999
4,4.798,5.126,4.099,4.219,592299.057,2021-01-31 23:59:59.999
5,4.216,5.965,4.099,5.184,817465.53,2021-02-07 23:59:59.999
6,5.15,10.85,5.101,8.532,2864432.515,2021-02-14 23:59:59.999
7,8.531,11.6,7.1,9.014,1557075.986,2021-02-21 23:59:59.999
8,9.014,9.015,5.816,6.538,1056979.853,2021-02-28 23:59:59.999
9,6.538,7.8,6.201,7.114,921038.949,2021-03-07 23:59:59.999
10,7.12,14.0,6.805,12.001,5334157.635,2021-03-14 23:59:59.999
11,12.001,14.14,10.017,10.641,2547762.234,2021-03-21 23:59:59.999
12,10.641,12.902,8.283,10.391,1925485.067,2021-03-28 23:59:59.999
13,10.423,11.284,9.518,9.805,735462.076,2021-04-04 23:59:59.999
14,9.803,13.5,9.51,10.191,3438206.9,2021-04-11 23:59:59.999
15,10.195,11.88,9.401,9.634,2431945.091,2021-04-18 23:59:59.999
16,9.609,11.602,7.714,9.212,3670945.357,2021-04-25 23:59:59.999
17,9.222,10.68,9.082,9.909,1633505.748,2021-05-02 23:59:59.999
18,9.896,11.476,9.2,9.883,2432391.843,2021-05-09 23:59:59.999
19,9.881,61.427,9.167,40.861,39631466.808,2021-05-16 23:59:59.999
20,40.845,58.7,13.504,17.698,19070063.529,2021-05-23 23:59:59.999
21,17.698,21.77,12.813,13.559,9393390.712,2021-05-30 23:59:59.999
22,13.554,14.5,11.6,12.117,3055295.981,2021-06-06 23:59:59.999
23,12.119,15.85,9.7,11.239,6916628.056,2021-06-13 23:59:59.999
24,11.204,13.3,10.124,10.759,2986324.976,2021-06-20 23:59:59.999
25,10.758,10.81,7.524,8.508,2122465.786,2021-06-27 23:59:59.999
26,8.508,9.9,8.092,8.576,1745538.96,2021-07-04 23:59:59.999
27,8.566,11.03,8.072,9.598,2703958.451,2021-07-11 23:59:59.999
28,9.597,10.5,8.8,9.469,1803547.844,2021-07-18 23:59:59.999
29,9.443,15.85,9.396,14.099,7541027.864,2021-07-25 23:59:59.999
30,14.136,14.57,13.144,13.505,1774441.293,2021-08-01 23:59:59.999
31,13.478,15.888,13.284,14.54,2056774.577,2021-08-08 23:59:59.999
32,14.521,24.787,14.398,19.16,8780423.544,2021-08-15 23:59:59.999
33,19.175,20.57,17.413,17.587,2215850.841,2021-08-22 23:59:59.999
