,Open,High,Low,Close,Volume,Close time
0,4.755,5.66,3.661,4.837,12872550.249,2019-05-05 23:59:59.999
1,4.838,5.071,3.415,3.75,9027929.951,2019-05-12 23:59:59.999
2,3.75,5.171,3.734,4.852,11937339.051,2019-05-19 23:59:59.999
3,4.852,4.864,4.115,4.481,7890333.619,2019-05-26 23:59:59.999
4,4.478,6.603,4.47,6.388,15397302.68,2019-06-02 23:59:59.999
5,6.393,7.249,5.62,5.826,15221959.962,2019-06-09 23:59:59.999
6,5.825,6.737,5.733,6.692,4548987.585,2019-06-16 23:59:59.999
7,6.689,7.193,6.285,6.838,3936808.523,2019-06-23 23:59:59.999
8,6.83,6.849,5.36,5.443,4040747.679,2019-06-30 23:59:59.999
9,5.443,5.766,5.123,5.398,2197480.484,2019-07-07 23:59:59.999
10,5.399,5.435,3.8,3.805,3438737.377,2019-07-14 23:59:59.999
11,3.82,4.471,3.475,4.218,3712398.543,2019-07-21 23:59:59.999
12,4.22,4.345,3.489,3.612,1900399.194,2019-07-28 23:59:59.999
13,3.613,3.909,3.424,3.592,1938410.2,2019-08-04 23:59:59.999
14,3.592,3.868,2.989,3.552,3205824.806,2019-08-11 23:59:59.999
15,3.554,3.656,2.804,2.971,2457189.498,2019-08-18 23:59:59.999
16,2.972,2.972,2.569,2.617,2135886.425,2019-08-25 23:59:59.999
17,2.62,2.701,1.978,2.129,3235445.805,2019-09-01 23:59:59.999
18,2.123,2.943,1.83,2.727,5168648.838,2019-09-08 23:59:59.999
19,2.722,3.565,2.396,3.433,10123665.776,2019-09-15 23:59:59.999
20,3.43,3.564,2.75,2.911,6463033.139,2019-09-22 23:59:59.999
21,2.901,2.91,1.93,2.195,5684496.061,2019-09-29 23:59:59.999
22,2.195,2.81,2.164,2.642,5968840.593,2019-10-06 23:59:59.999
23,2.636,3.071,2.533,2.865,7868178.27,2019-10-13 23:59:59.999
24,2.87,3.159,2.678,2.902,4229684.333,2019-10-20 23:59:59.999
25,2.902,3.3,2.547,3.196,5339816.598,2019-10-27 23:59:59.999
26,3.196,3.462,2.95,3.383,4207359.999,2019-11-03 23:59:59.999
27,3.378,4.279,3.328,4.192,7706649.627,2019-11-10 23:59:59.999
28,4.189,4.381,3.777,3.895,6572428.706,2019-11-17 23:59:59.999
