,Open,High,Low,Close,Volume,Close time
0,0.02,0.58499,0.02,0.18508,143953924.6,2020-10-25 23:59:59.999
1,0.18509,0.2055,0.0925,0.10093,106697607.2,2020-11-01 23:59:59.999
2,0.10092,0.12822,0.077,0.12553,67478984.2,2020-11-08 23:59:59.999
3,0.12553,0.1737,0.11632,0.147,79885893.6,2020-11-15 23:59:59.999
4,0.14729,0.194,0.12642,0.12741,82898805.3,2020-11-22 23:59:59.999
5,0.12773,0.15849,0.09,0.13012,92434253.3,2020-11-29 23:59:59.999
6,0.13001,0.17322,0.11673,0.15661,65553850.7,2020-12-06 23:59:59.999
7,0.15662,0.228,0.1478,0.17493,130812018.4,2020-12-13 23:59:59.999
8,0.17464,0.276,0.15908,0.18776,97483592.2,2020-12-20 23:59:59.999
9,0.18655,0.20696,0.13851,0.18435,41943698.6,2020-12-27 23:59:59.999
10,0.18529,0.21535,0.14412,0.16089,47088317.8,2021-01-03 23:59:59.999
11,0.1608,0.20948,0.14001,0.19312,47470584.4,2021-01-10 23:59:59.999
12,0.19314,0.2,0.16105,0.18293,31568480.6,2021-01-17 23:59:59.999
13,0.18275,0.24,0.17459,0.20637,79381630.1,2021-01-24 23:59:59.999
14,0.20636,0.28583,0.189,0.21354,99523266.5,2021-01-31 23:59:59.999
15,0.21253,0.33285,0.20489,0.29554,82914783.5,2021-02-07 23:59:59.999
16,0.29499,0.42534,0.287,0.35897,97436927.3,2021-02-14 23:59:59.999
17,0.35786,0.5,0.3186,0.42271,50661773.1,2021-02-21 23:59:59.999
18,0.423,0.54,0.33951,0.37965,54905904.2,2021-02-28 23:59:59.999
19,0.37965,1.259,0.37499,0.88122,262320306.8,2021-03-07 23:59:59.999
20,0.88122,1.5979,0.86666,1.40622,170097856.8,2021-03-14 23:59:59.999
21,1.40622,2.05672,1.18,1.55491,130104937.6,2021-03-21 23:59:59.999
22,1.55864,4.99,1.53967,3.67509,278645466.5,2021-03-28 23:59:59.999
23,3.67775,3.77,2.99241,3.049,104090955.9,2021-04-04 23:59:59.999
24,3.04999,3.075,2.11901,2.26401,81105196.5,2021-04-11 23:59:59.999
25,2.26497,3.186,1.99625,2.16135,105727851.9,2021-04-18 23:59:59.999
26,2.162,2.28867,1.42,1.9395,101905137.83,2021-04-25 23:59:59.999
27,1.9395,3.0927,1.918,2.6836,107276208.53,2021-05-02 23:59:59.999
28,2.6836,2.8698,2.0517,2.1517,53652745.7,2021-05-09 23:59:59.999
29,2.1521,2.5631,1.6189,1.8462,44721255.81,2021-05-16 23:59:59.999
30,1.8461,2.3675,0.732,0.9156,88096695.45,2021-05-23 23:59:59.999
31,0.9154,1.359,0.8854,1.0033,50208177.67,2021-05-30 23:59:59.999
32,1.0033,1.27,0.943,1.09,47585775.88,2021-06-06 23:59:59.999
33,1.0921,1.2367,0.9078,1.0296,45462168.64,2021-06-13 23:59:59.999
34,1.0296,1.217,0.8149,0.8929,36634542.05,2021-06-20 23:59:59.999
35,0.892,0.9025,0.59,0.7456,37080715.26,2021-06-27 23:59:59.999
36,0.7467,0.8988,0.732,0.8489,46114120.16,2021-07-04 23:59:59.999
37,0.8484,1.0834,0.7815,1.004,98940547.21,2021-07-11 23:59:59.999
38,1.0054,1.4122,0.9,1.0449,164856154.99,2021-07-18 23:59:59.999
39,1.0447,1.2999,0.79,1.2523,126152511.95,2021-07-25 23:59:59.999
40,1.2524,1.3341,1.0468,1.1217,63922170.19,2021-08-01 23:59:59.999
41,1.1227,1.4494,1.0503,1.2644,57759474.31,2021-08-08 23:59:59.999
42,1.2659,1.7623,1.2242,1.6022,53421519.68,2021-08-15 23:59:59.999
43,1.6006,4.07,1.5795,2.8246,487633607.01,2021-08-22 23:59:59.999
44,2.8246,3.25,2.239,2.829,164692970.3,2021-08-29 23:59:59.999
45,2.83,3.086,2.35,2.868,129772928.5,2021-09-05 23:59:59.999
46,2.868,3.019,1.805,2.292,122962689.39,2021-09-12 23:59:59.999
47,2.293,3.216,2.003,3.053,133301027.82,2021-09-19 23:59:59.999
48,3.053,3.15,1.915,2.06,111668601.3,2021-09-26 23:59:59.999
49,2.061,2.57,1.905,2.376,48698528.2,2021-10-03 23:59:59.999
50,2.376,2.379,1.963,1.973,50573642.6,2021-10-10 23:59:59.999
51,1.972,2.174,1.83,1.969,47464200.4,2021-10-17 23:59:59.999
52,1.97,2.378,1.907,2.214,55793083.3,2021-10-24 23:59:59.999
53,2.214,2.7,1.8,2.223,77870649.3,2021-10-31 23:59:59.999
54,2.221,2.933,2.118,2.586,101311701.1,2021-11-07 23:59:59.999
55,2.586,2.827,2.17,2.534,58844795.4,2021-11-14 23:59:59.999
56,2.533,4.148,2.0,2.232,165139142.61,2021-11-21 23:59:59.999
57,2.231,3.08,2.034,2.422,161016805.8,2021-11-28 23:59:59.999
58,2.42,2.58,1.4219,1.731,70164120.68,2021-12-05 23:59:59.999
59,1.73,2.024,1.531,1.631,58528312.1,2021-12-12 23:59:59.999
60,1.631,1.742,1.338,1.518,44040099.42,2021-12-19 23:59:59.999
61,1.518,2.038,1.371,1.899,54849461.5,2021-12-26 23:59:59.999
62,1.901,2.131,1.562,1.647,46813629.0,2022-01-02 23:59:59.999
63,1.647,1.693,1.277,1.34,31637621.52,2022-01-09 23:59:59.999
64,1.338,1.532,1.212,1.454,21967756.1,2022-01-16 23:59:59.999
65,1.454,1.457,0.812,0.938,35999733.78,2022-01-23 23:59:59.999
66,0.938,0.978,0.763,0.903,31326564.9,2022-01-30 23:59:59.999
67,0.903,1.127,0.845,1.112,38929384.9,2022-02-06 23:59:59.999
68,1.113,1.283,1.027,1.034,40981757.3,2022-02-13 23:59:59.999
69,1.034,1.18,0.861,0.887,40702860.7,2022-02-20 23:59:59.999
70,0.888,0.947,0.653,0.733,43569217.48,2022-02-27 23:59:59.999
71,0.733,0.877,0.7,0.703,33313468.5,2022-03-06 23:59:59.999
72,0.703,0.797,0.673,0.681,29111406.2,2022-03-13 23:59:59.999
73,0.68,1.275,0.672,1.05,172499883.2,2022-03-20 23:59:59.999
74,1.051,1.18,0.966,1.059,94632477.4,2022-03-27 23:59:59.999
75,1.059,1.572,1.006,1.451,195004735.7,2022-04-03 23:59:59.999
76,1.452,1.822,1.124,1.128,214517767.9,2022-04-10 23:59:59.999
77,1.128,1.45,0.993,1.376,138911322.5,2022-04-17 23:59:59.999
78,1.375,1.434,1.139,1.189,111886408.0,2022-04-24 23:59:59.999
79,1.188,1.216,0.781,0.884,95181420.0,2022-05-01 23:59:59.999
80,0.883,0.943,0.73,0.751,81725016.9,2022-05-08 23:59:59.999
81,0.751,0.771,0.297,0.507,143511780.34,2022-05-15 23:59:59.999
82,0.507,0.507,0.39,0.465,125842073.3,2022-05-22 23:59:59.999
83,0.465,0.513,0.353,0.397,153899015.4,2022-05-29 23:59:59.999
84,0.397,0.496,0.369,0.398,140405247.2,2022-06-05 23:59:59.999
