,Open,High,Low,Close,Volume,Close time
0,0.805,1.05,0.717,0.8714,2034090.55,2020-11-29 23:59:59.999
1,0.8735,0.8955,0.75,0.7729,1562061.19,2020-12-06 23:59:59.999
2,0.7729,0.82,0.6936,0.7693,2089035.21,2020-12-13 23:59:59.999
3,0.7692,0.8628,0.7583,0.7847,1675617.52,2020-12-20 23:59:59.999
4,0.7789,0.8046,0.65,0.7602,1347034.91,2020-12-27 23:59:59.999
5,0.7662,0.8096,0.6889,0.754,1520785.52,2021-01-03 23:59:59.999
6,0.7596,1.0735,0.754,0.9636,4509020.0,2021-01-10 23:59:59.999
7,0.9636,1.61,0.7685,1.51,12339022.23,2021-01-17 23:59:59.999
8,1.51,1.9,1.169,1.8834,9429611.48,2021-01-24 23:59:59.999
9,1.8937,1.935,1.52,1.658,4984871.28,2021-01-31 23:59:59.999
10,1.658,2.0114,1.6001,1.7233,5281467.47,2021-02-07 23:59:59.999
11,1.7233,2.62,1.6707,2.2434,8775699.04,2021-02-14 23:59:59.999
12,2.2436,2.8715,1.9101,2.7398,6458540.4,2021-02-21 23:59:59.999
13,2.7541,3.5486,1.9326,2.49,10904286.41,2021-02-28 23:59:59.999
14,2.49,2.7884,2.4102,2.6226,3454002.85,2021-03-07 23:59:59.999
15,2.6199,4.2599,2.5495,3.8378,9705787.55,2021-03-14 23:59:59.999
16,3.832,5.156,3.53,4.663,10168150.28,2021-03-21 23:59:59.999
17,4.6865,4.9583,3.8689,4.552,4524476.8,2021-03-28 23:59:59.999
18,4.5511,6.1923,4.51,5.298,10958681.05,2021-04-04 23:59:59.999
19,5.2937,5.89,4.757,5.8383,6303573.88,2021-04-11 23:59:59.999
20,5.8376,6.4676,4.4258,5.2999,8430398.34,2021-04-18 23:59:59.999
21,5.2999,5.6824,3.3,3.9383,9184311.39,2021-04-25 23:59:59.999
22,3.945,5.645,3.9304,4.9518,9374639.46,2021-05-02 23:59:59.999
23,4.9549,5.8267,4.9,5.074,9219469.18,2021-05-09 23:59:59.999
24,5.0877,5.6999,4.23,4.6326,10077459.45,2021-05-16 23:59:59.999
25,4.6313,4.8035,2.123,2.4957,9294807.02,2021-05-23 23:59:59.999
26,2.4958,3.4448,2.36,2.731,18176183.42,2021-05-30 23:59:59.999
27,2.7164,3.3529,2.601,2.8685,4721099.92,2021-06-06 23:59:59.999
28,2.8685,3.065,2.3088,2.8166,5317398.34,2021-06-13 23:59:59.999
29,2.8158,3.9079,2.4399,2.6765,22101693.96,2021-06-20 23:59:59.999
30,2.6657,2.6811,1.8,2.1787,5841199.12,2021-06-27 23:59:59.999
31,2.1789,2.4741,2.1413,2.3507,6355402.32,2021-07-04 23:59:59.999
32,2.3507,2.3617,2.0133,2.1244,6145968.21,2021-07-11 23:59:59.999
33,2.1301,2.4,1.8758,1.9666,6021863.15,2021-07-18 23:59:59.999
34,1.9525,1.97,1.5768,1.8691,6225567.84,2021-07-25 23:59:59.999
35,1.872,2.3785,1.8543,2.1491,21784621.17,2021-08-01 23:59:59.999
36,2.147,2.4544,2.0237,2.2591,6132478.98,2021-08-08 23:59:59.999
37,2.2615,2.8506,2.2,2.7218,7281274.29,2021-08-15 23:59:59.999
38,2.7222,3.2969,2.7025,3.0451,12215281.58,2021-08-22 23:59:59.999
39,3.0451,3.982,2.8516,3.509,20798924.81,2021-08-29 23:59:59.999
40,3.51,3.85,3.282,3.685,10578110.5,2021-09-05 23:59:59.999
41,3.685,5.4,3.199,3.843,35125606.05,2021-09-12 23:59:59.999
42,3.843,3.98,3.372,3.424,7386511.3,2021-09-19 23:59:59.999
43,3.424,3.428,2.615,2.972,17106304.08,2021-09-26 23:59:59.999
44,2.968,3.214,2.605,3.137,7064168.63,2021-10-03 23:59:59.999
45,3.137,3.46,2.829,2.998,8116008.0,2021-10-10 23:59:59.999
46,2.994,3.668,2.691,3.027,17247610.6,2021-10-17 23:59:59.999
47,3.028,3.4,2.906,2.961,11121838.5,2021-10-24 23:59:59.999
48,2.958,3.148,2.617,2.805,8253099.5,2021-10-31 23:59:59.999
49,2.805,3.15,2.615,2.884,8558220.9,2021-11-07 23:59:59.999
50,2.886,3.18,2.704,3.066,11491106.4,2021-11-14 23:59:59.999
51,3.07,3.1,2.339,2.822,9768465.07,2021-11-21 23:59:59.999
52,2.824,3.0,2.411,2.572,7967624.1,2021-11-28 23:59:59.999
53,2.571,2.7,1.796,1.937,11754446.25,2021-12-05 23:59:59.999
54,1.937,2.227,1.679,1.862,11254704.7,2021-12-12 23:59:59.999
55,1.861,2.25,1.644,1.791,13772860.6,2021-12-19 23:59:59.999
56,1.791,2.07,1.671,2.016,6208924.3,2021-12-26 23:59:59.999
57,2.016,2.25,1.818,1.85,5200706.8,2022-01-02 23:59:59.999
58,1.852,1.884,1.43,1.492,4555453.48,2022-01-09 23:59:59.999
59,1.491,1.705,1.416,1.592,4414707.1,2022-01-16 23:59:59.999
60,1.592,1.613,1.007,1.116,5333839.26,2022-01-23 23:59:59.999
61,1.115,1.25,0.977,1.143,6980820.0,2022-01-30 23:59:59.999
62,1.145,1.308,1.087,1.284,3637108.2,2022-02-06 23:59:59.999
63,1.285,1.94,1.248,1.534,46168662.2,2022-02-13 23:59:59.999
64,1.534,1.73,1.253,1.269,8599540.4,2022-02-20 23:59:59.999
65,1.269,1.324,0.967,1.141,7925496.4,2022-02-27 23:59:59.999
66,1.141,1.693,1.137,1.239,18681392.6,2022-03-06 23:59:59.999
67,1.238,1.56,1.195,1.358,14941347.5,2022-03-13 23:59:59.999
68,1.357,1.617,1.244,1.377,9144212.7,2022-03-20 23:59:59.999
69,1.377,1.75,1.364,1.726,7120079.6,2022-03-27 23:59:59.999
70,1.724,1.847,1.633,1.799,4713077.0,2022-04-03 23:59:59.999
71,1.799,1.994,1.538,1.54,5625811.2,2022-04-10 23:59:59.999
72,1.539,1.545,1.367,1.387,2576456.4,2022-04-17 23:59:59.999
73,1.387,1.459,1.245,1.25,1935600.8,2022-04-24 23:59:59.999
74,1.249,1.463,1.124,1.172,11447093.2,2022-05-01 23:59:59.999
75,1.172,1.5,1.128,1.138,13178183.5,2022-05-08 23:59:59.999
76,1.138,1.145,0.571,0.739,12629475.88,2022-05-15 23:59:59.999
77,0.738,0.811,0.69,0.749,6000805.4,2022-05-22 23:59:59.999
78,0.746,0.815,0.628,0.672,5259738.6,2022-05-29 23:59:59.999
79,0.672,0.787,0.655,0.69,3712100.1,2022-06-05 23:59:59.999
