,Open,High,Low,Close,Volume,Close time
0,0.85,7.0,0.85,4.6484,58371499.27,2020-09-27 23:59:59.999
1,4.6485,4.705,3.6332,3.964,7819394.42,2020-10-04 23:59:59.999
2,3.9582,4.3252,3.207,4.096,5273523.99,2020-10-11 23:59:59.999
3,4.0841,4.71,3.8755,4.1195,3382640.13,2020-10-18 23:59:59.999
4,4.1371,4.4904,3.6925,4.1479,2678477.67,2020-10-25 23:59:59.999
5,4.1409,4.4897,3.5521,3.6814,3227322.57,2020-11-01 23:59:59.999
6,3.6851,3.9193,3.0,3.4754,4384096.45,2020-11-08 23:59:59.999
7,3.4674,3.82,3.2619,3.5453,3188143.31,2020-11-15 23:59:59.999
8,3.5348,4.0983,3.455,3.8892,3843752.25,2020-11-22 23:59:59.999
9,3.9066,4.3989,3.28,3.7013,4104069.28,2020-11-29 23:59:59.999
10,3.7124,3.8966,3.4501,3.6055,1874903.84,2020-12-06 23:59:59.999
11,3.6036,3.6096,2.8001,3.3405,5915167.71,2020-12-13 23:59:59.999
12,3.3401,3.6076,3.06,3.304,4800979.6,2020-12-20 23:59:59.999
13,3.3041,3.6937,2.7501,2.9026,7014390.78,2020-12-27 23:59:59.999
14,2.9168,3.939,2.78,3.4691,9642998.09,2021-01-03 23:59:59.999
15,3.477,7.4969,3.2283,6.5416,17006266.14,2021-01-10 23:59:59.999
16,6.541,14.69,5.72,13.1746,18924390.58,2021-01-17 23:59:59.999
17,13.1748,14.0,10.673,12.4801,10772636.78,2021-01-24 23:59:59.999
18,12.4801,15.3728,10.77,13.4704,10930555.36,2021-01-31 23:59:59.999
19,13.4704,24.4268,12.5741,23.705,13573217.32,2021-02-07 23:59:59.999
20,23.7374,60.3035,23.55,39.1711,30396330.19,2021-02-14 23:59:59.999
21,39.17,44.98,31.9376,36.1855,19629075.32,2021-02-21 23:59:59.999
22,36.1932,36.2941,22.1237,23.9566,17605227.46,2021-02-28 23:59:59.999
23,23.9698,31.99,23.5269,26.6863,20265528.54,2021-03-07 23:59:59.999
24,26.6884,35.8,23.4102,28.8423,37978290.32,2021-03-14 23:59:59.999
25,28.8383,39.3,27.0,32.8117,24562621.59,2021-03-21 23:59:59.999
26,32.8109,33.5892,24.3291,28.7167,16501857.3,2021-03-28 23:59:59.999
27,28.7392,32.8727,25.9,29.1573,14560119.67,2021-04-04 23:59:59.999
28,29.174,34.5578,28.5455,31.5976,19927925.44,2021-04-11 23:59:59.999
29,31.5853,40.759,22.5473,29.3348,31472040.61,2021-04-18 23:59:59.999
