,Open,High,Low,Close,Volume,Close time
0,4.5581,8.487,4.2,8.1396,147630194.6,2021-05-02 23:59:59.999
1,8.1314,8.2522,5.0,6.1247,174482257.3,2021-05-09 23:59:59.999
2,6.1155,7.97,4.5,7.2357,157274794.5,2021-05-16 23:59:59.999
3,7.2383,7.5,1.86,2.355,248086534.1,2021-05-23 23:59:59.999
4,2.3588,5.15,2.3168,4.0718,299430467.9,2021-05-30 23:59:59.999
5,4.0693,4.61,3.5565,3.7657,125418904.7,2021-06-06 23:59:59.999
6,3.7615,4.0,2.6888,3.1914,184240250.8,2021-06-13 23:59:59.999
7,3.1909,3.4847,2.5803,2.8403,90751524.5,2021-06-20 23:59:59.999
8,2.8447,2.8667,1.5639,1.9372,236654900.1,2021-06-27 23:59:59.999
9,1.9395,2.195,1.6672,2.0143,125795577.3,2021-07-04 23:59:59.999
10,2.0168,2.4485,1.8032,2.0136,218026391.7,2021-07-11 23:59:59.999
11,2.014,2.3904,1.7508,1.8592,215719229.7,2021-07-18 23:59:59.999
12,1.8585,2.0737,1.443,1.9779,153165458.6,2021-07-25 23:59:59.999
13,1.9779,2.2194,1.7982,2.0035,159040959.9,2021-08-01 23:59:59.999
14,2.0047,2.4342,1.8763,2.1593,149663596.5,2021-08-08 23:59:59.999
15,2.1609,2.7982,2.0893,2.6719,172734048.7,2021-08-15 23:59:59.999
16,2.672,3.294,2.2838,3.1582,174015730.1,2021-08-22 23:59:59.999
17,3.1583,3.2939,2.616,2.799,147119415.2,2021-08-29 23:59:59.999
18,2.799,3.018,2.554,2.957,112845564.8,2021-09-05 23:59:59.999
19,2.955,3.09,1.876,2.043,139637963.4,2021-09-12 23:59:59.999
20,2.043,2.198,1.802,1.946,63506534.3,2021-09-19 23:59:59.999
21,1.947,1.953,1.4,1.539,74325203.5,2021-09-26 23:59:59.999
22,1.539,1.909,1.515,1.808,85289802.9,2021-10-03 23:59:59.999
23,1.808,2.189,1.673,1.816,107824408.7,2021-10-10 23:59:59.999
24,1.815,2.455,1.673,1.992,151425538.2,2021-10-17 23:59:59.999
25,1.991,2.193,1.93,1.986,57590554.4,2021-10-24 23:59:59.999
26,1.985,2.149,1.702,2.002,84891777.9,2021-10-31 23:59:59.999
27,2.004,2.297,1.92,2.1,97565035.5,2021-11-07 23:59:59.999
28,2.102,2.356,1.899,2.19,99664981.9,2021-11-14 23:59:59.999
29,2.191,2.22,1.706,1.995,108974812.3,2021-11-21 23:59:59.999
30,1.995,2.006,1.601,1.746,67632051.5,2021-11-28 23:59:59.999
31,1.747,1.827,1.021,1.247,81093875.5,2021-12-05 23:59:59.999
32,1.247,1.377,1.116,1.214,66099409.5,2021-12-12 23:59:59.999
33,1.214,1.226,1.033,1.078,34792793.2,2021-12-19 23:59:59.999
34,1.076,1.3,0.998,1.233,43692425.5,2021-12-26 23:59:59.999
35,1.235,1.32,1.034,1.136,43001983.1,2022-01-02 23:59:59.999
36,1.135,1.228,0.889,0.926,63014769.5,2022-01-09 23:59:59.999
37,0.925,1.005,0.832,0.973,35812348.3,2022-01-16 23:59:59.999
38,0.973,0.976,0.561,0.617,55554327.8,2022-01-23 23:59:59.999
39,0.616,0.661,0.521,0.62,55127995.3,2022-01-30 23:59:59.999
40,0.62,0.737,0.587,0.737,51682710.5,2022-02-06 23:59:59.999
41,0.737,0.79,0.649,0.659,56639552.4,2022-02-13 23:59:59.999
42,0.66,0.764,0.572,0.583,47965256.5,2022-02-20 23:59:59.999
43,0.583,0.605,0.458,0.523,66968201.5,2022-02-27 23:59:59.999
44,0.524,0.646,0.515,0.522,53082102.9,2022-03-06 23:59:59.999
45,0.522,0.576,0.494,0.498,41451308.6,2022-03-13 23:59:59.999
46,0.497,0.603,0.494,0.57,53010895.7,2022-03-20 23:59:59.999
47,0.571,0.699,0.555,0.688,59047834.7,2022-03-27 23:59:59.999
48,0.689,1.675,0.669,1.193,761755161.8,2022-04-03 23:59:59.999
49,1.192,1.222,0.861,0.894,175708563.5,2022-04-10 23:59:59.999
50,0.894,0.899,0.76,0.767,83685594.2,2022-04-17 23:59:59.999
51,0.766,1.03,0.719,0.779,228426020.2,2022-04-24 23:59:59.999
52,0.779,0.78,0.507,0.568,124864519.7,2022-05-01 23:59:59.999
53,0.569,0.637,0.487,0.502,104234391.7,2022-05-08 23:59:59.999
54,0.502,0.515,0.181,0.3,343152343.1,2022-05-15 23:59:59.999
55,0.3,0.309,0.246,0.298,199050192.5,2022-05-22 23:59:59.999
56,0.298,0.385,0.262,0.347,447250900.2,2022-05-29 23:59:59.999
57,0.346,0.417,0.311,0.321,348209317.5,2022-06-05 23:59:59.999
0,0.321,0.4,0.256,0.259,286937446.4,2022-06-12 23:59:59.999000
