,Open,High,Low,Close,Volume,Close time
0,21.59,26.0,18.0,19.62,352778.43,2020-08-16 23:59:59.999
1,19.629,26.569,17.0,24.559,743702.434,2020-08-23 23:59:59.999
2,24.334,37.628,22.0,33.352,682524.064,2020-08-30 23:59:59.999
3,33.304,38.132,16.693,21.35,1331703.162,2020-09-06 23:59:59.999
4,21.257,25.592,18.77,22.548,995688.265,2020-09-13 23:59:59.999
5,22.504,24.771,16.759,17.174,1045179.052,2020-09-20 23:59:59.999
6,17.178,17.374,12.91,15.019,920806.887,2020-09-27 23:59:59.999
7,15.049,19.173,14.664,16.298,1469680.061,2020-10-04 23:59:59.999
8,16.284,16.807,13.159,15.158,1047388.584,2020-10-11 23:59:59.999
9,15.14,15.958,13.157,13.748,513312.818,2020-10-18 23:59:59.999
10,13.758,13.832,11.877,12.749,612227.977,2020-10-25 23:59:59.999
11,12.742,12.964,9.51,9.871,645879.929,2020-11-01 23:59:59.999
12,9.869,11.159,8.375,10.217,697459.504,2020-11-08 23:59:59.999
13,10.208,13.764,9.65,12.6,1560868.86,2020-11-15 23:59:59.999
14,12.556,18.27,12.335,16.901,1957021.738,2020-11-22 23:59:59.999
15,16.898,17.889,12.042,14.441,1235850.573,2020-11-29 23:59:59.999
16,14.465,15.209,12.952,13.717,767083.19,2020-12-06 23:59:59.999
17,13.726,14.16,10.891,12.543,771917.501,2020-12-13 23:59:59.999
18,12.515,15.0,11.715,13.245,1326352.788,2020-12-20 23:59:59.999
19,13.231,13.937,10.814,13.5,925633.271,2020-12-27 23:59:59.999
20,13.573,16.49,13.118,15.88,1124907.774,2021-01-03 23:59:59.999
21,15.888,21.559,13.851,19.199,2440580.786,2021-01-10 23:59:59.999
22,19.166,21.635,13.555,20.799,1826912.523,2021-01-17 23:59:59.999
23,20.824,24.988,16.843,23.034,1663300.286,2021-01-24 23:59:59.999
24,23.018,29.5,18.675,26.482,1788249.505,2021-01-31 23:59:59.999
25,26.531,41.8,25.073,36.202,2890080.776,2021-02-07 23:59:59.999
26,36.24,53.888,32.52,44.293,2966741.706,2021-02-14 23:59:59.999
27,44.332,50.414,37.666,45.697,2064034.079,2021-02-21 23:59:59.999
28,45.664,45.811,28.975,34.473,1603482.867,2021-02-28 23:59:59.999
29,34.52,44.62,34.178,44.405,1031108.804,2021-03-07 23:59:59.999
30,44.431,55.0,42.663,52.834,1409618.793,2021-03-14 23:59:59.999
31,52.834,65.701,50.807,58.114,2594378.517,2021-03-21 23:59:59.999
32,58.101,58.891,45.065,50.957,1044268.427,2021-03-28 23:59:59.999
33,51.0,62.5,50.4,59.06,877896.53,2021-04-04 23:59:59.999
34,59.12,61.05,48.45,51.83,889156.882,2021-04-11 23:59:59.999
35,51.824,72.636,46.24,57.883,1958545.962,2021-04-18 23:59:59.999
36,57.849,63.0,44.734,48.069,1655741.144,2021-04-25 23:59:59.999
