,Open,High,Low,Close,Volume,Close time
0,2.365,2.365,0.5576,0.7177,34233233.76,2019-09-22 23:59:59.999
1,0.7175,0.755,0.4359,0.5,14229518.17,2019-09-29 23:59:59.999
2,0.5009,0.5616,0.4237,0.4316,5499232.13,2019-10-06 23:59:59.999
3,0.4316,0.487,0.4074,0.4261,4950828.24,2019-10-13 23:59:59.999
4,0.4261,0.4572,0.323,0.3333,3725603.02,2019-10-20 23:59:59.999
5,0.3355,0.3866,0.276,0.3094,8379604.36,2019-10-27 23:59:59.999
6,0.3112,0.3676,0.2908,0.3323,7838150.49,2019-11-03 23:59:59.999
7,0.334,0.3955,0.3134,0.3505,7414923.34,2019-11-10 23:59:59.999
8,0.349,0.3642,0.303,0.3224,2635413.56,2019-11-17 23:59:59.999
9,0.3223,0.33,0.2167,0.2167,3030074.89,2019-11-24 23:59:59.999
10,0.2164,0.3351,0.1965,0.279,10332502.05,2019-12-01 23:59:59.999
11,0.279,0.3612,0.2504,0.3009,10873895.15,2019-12-08 23:59:59.999
12,0.3009,0.35,0.251,0.2632,6082296.29,2019-12-15 23:59:59.999
13,0.2631,0.27,0.2227,0.2524,3207570.5,2019-12-22 23:59:59.999
14,0.2516,0.2609,0.2369,0.2437,2413071.08,2019-12-29 23:59:59.999
15,0.2435,0.2549,0.2107,0.2321,2436877.83,2020-01-05 23:59:59.999
16,0.2322,0.2463,0.2195,0.2432,2768623.23,2020-01-12 23:59:59.999
17,0.2432,0.3169,0.229,0.2379,10371949.76,2020-01-19 23:59:59.999
18,0.2379,0.2671,0.2232,0.25,5146273.0,2020-01-26 23:59:59.999
19,0.2512,0.2649,0.227,0.2525,5650656.59,2020-02-02 23:59:59.999
20,0.2514,0.3944,0.2462,0.3583,10088177.44,2020-02-09 23:59:59.999
21,0.3584,0.44,0.2772,0.31,7424370.48,2020-02-16 23:59:59.999
22,0.31,0.4298,0.2754,0.3854,5663222.96,2020-02-23 23:59:59.999
23,0.3854,0.4093,0.25,0.378,8384659.45,2020-03-01 23:59:59.999
24,0.3773,0.5591,0.3575,0.3865,11110245.23,2020-03-08 23:59:59.999
25,0.3865,0.7632,0.1923,0.3062,36427944.51,2020-03-15 23:59:59.999
26,0.3035,0.3732,0.2001,0.3029,15576960.74,2020-03-22 23:59:59.999
27,0.3007,0.3598,0.26,0.2643,10768504.03,2020-03-29 23:59:59.999
28,0.2662,0.3499,0.2615,0.3031,10198151.3,2020-04-05 23:59:59.999
29,0.3033,0.5222,0.3033,0.485,25865754.35,2020-04-12 23:59:59.999
30,0.4823,0.5754,0.43,0.4999,20698009.22,2020-04-19 23:59:59.999
31,0.4964,0.9597,0.4938,0.8527,23536608.23,2020-04-26 23:59:59.999
32,0.8567,1.2968,0.771,1.0921,30707678.86,2020-05-03 23:59:59.999
33,1.0964,1.1941,0.8298,0.8896,18193933.89,2020-05-10 23:59:59.999
34,0.8936,1.1143,0.755,1.0112,13568299.61,2020-05-17 23:59:59.999
35,1.0116,1.35,1.0049,1.0783,12041618.77,2020-05-24 23:59:59.999
36,1.0827,1.896,1.0802,1.5111,18302697.3,2020-05-31 23:59:59.999
37,1.5045,1.965,1.5043,1.5797,10474855.18,2020-06-07 23:59:59.999
38,1.5797,1.7199,1.1444,1.343,13544564.52,2020-06-14 23:59:59.999
39,1.3441,1.3833,1.16,1.2439,8113062.85,2020-06-21 23:59:59.999
40,1.2384,1.3769,0.9801,1.1071,5493935.04,2020-06-28 23:59:59.999
41,1.1058,1.2296,1.0586,1.0932,4339356.35,2020-07-05 23:59:59.999
42,1.0935,2.075,1.0683,2.0237,12842495.28,2020-07-12 23:59:59.999
43,2.0238,4.269,1.9794,4.1801,18172683.1,2020-07-19 23:59:59.999
44,4.19,5.2525,3.6042,3.8199,20012234.86,2020-07-26 23:59:59.999
45,3.8199,4.368,2.9368,4.0536,12622131.27,2020-08-02 23:59:59.999
46,4.0411,15.366,3.9715,14.9019,33311937.78,2020-08-09 23:59:59.999
47,14.9006,17.78,11.4069,14.4978,41589298.28,2020-08-16 23:59:59.999
48,14.4652,15.45,9.6585,11.7272,19027189.41,2020-08-23 23:59:59.999
49,11.7289,14.205,10.2453,13.7355,15692431.86,2020-08-30 23:59:59.999
50,13.7427,17.0,6.5114,9.6426,29479589.97,2020-09-06 23:59:59.999
51,9.6365,9.8764,7.8787,8.6079,13135855.38,2020-09-13 23:59:59.999
52,8.6095,8.68,5.78,6.5869,15487976.52,2020-09-20 23:59:59.999
53,6.598,7.3505,5.5443,6.4901,12041897.12,2020-09-27 23:59:59.999
54,6.49,7.0996,5.69,5.9966,9846691.14,2020-10-04 23:59:59.999
55,5.9962,6.9956,5.0201,6.9373,12190553.97,2020-10-11 23:59:59.999
56,6.9373,7.5224,5.8,6.4961,9532694.9,2020-10-18 23:59:59.999
57,6.4939,6.5366,3.2822,5.73,7287583.03,2020-10-25 23:59:59.999
58,5.7433,5.8873,4.1212,4.503,8802014.65,2020-11-01 23:59:59.999
59,4.5047,6.19,3.8186,5.6598,14270853.71,2020-11-08 23:59:59.999
60,5.6562,6.42,5.3003,5.5184,10498179.01,2020-11-15 23:59:59.999
61,5.526,7.5491,5.3705,6.7978,18132900.16,2020-11-22 23:59:59.999
62,6.7957,7.937,5.28,6.1091,13545926.68,2020-11-29 23:59:59.999
63,6.1176,7.2942,5.699,6.685,9102258.36,2020-12-06 23:59:59.999
64,6.6923,7.8046,5.8,6.4598,12711546.87,2020-12-13 23:59:59.999
65,6.4591,7.3111,6.2339,6.5067,12360054.47,2020-12-20 23:59:59.999
66,6.5045,6.6528,4.5,5.4094,8307279.46,2020-12-27 23:59:59.999
67,5.4121,6.89,5.2535,6.7703,9807067.45,2021-01-03 23:59:59.999
68,6.7657,11.45,6.076,9.1387,24637421.56,2021-01-10 23:59:59.999
69,9.118,11.4824,6.98,10.3257,25635853.81,2021-01-17 23:59:59.999
70,10.3019,10.9001,7.1532,9.394,18743718.14,2021-01-24 23:59:59.999
71,9.3807,10.38,7.9741,9.0077,17312360.11,2021-01-31 23:59:59.999
72,9.0163,13.18,8.58,11.2248,22979435.04,2021-02-07 23:59:59.999
73,11.2109,20.621,10.8609,16.8552,29205290.51,2021-02-14 23:59:59.999
74,16.8981,20.0,13.8589,17.0111,21935340.17,2021-02-21 23:59:59.999
75,16.9962,17.81,10.8175,11.8328,25528020.26,2021-02-28 23:59:59.999
76,11.8281,14.32,11.7315,13.4581,11323825.49,2021-03-07 23:59:59.999
77,13.4553,15.3,12.7119,13.3475,11880775.89,2021-03-14 23:59:59.999
78,13.3238,15.3898,12.0159,13.8785,10175509.46,2021-03-21 23:59:59.999
79,13.898,14.95,11.2002,14.0436,11017425.18,2021-03-28 23:59:59.999
80,14.0619,17.79,13.2569,17.2209,17333005.1,2021-04-04 23:59:59.999
81,17.2236,18.95,15.03,17.9456,15976075.4,2021-04-11 23:59:59.999
82,17.9305,23.3046,11.0091,17.134,27056985.48,2021-04-18 23:59:59.999
83,17.1188,19.3344,12.58,13.466,19671229.15,2021-04-25 23:59:59.999
84,13.47,18.771,13.351,17.614,15540492.355,2021-05-02 23:59:59.999
85,17.629,20.673,15.784,17.713,20105824.048,2021-05-09 23:59:59.999
86,17.715,18.435,13.042,14.065,13941260.682,2021-05-16 23:59:59.999
87,14.037,14.31,5.24,6.826,22085491.716,2021-05-23 23:59:59.999
88,6.826,9.558,6.33,7.391,12146794.758,2021-05-30 23:59:59.999
89,7.386,9.988,6.971,8.092,21445396.009,2021-06-06 23:59:59.999
90,8.086,8.384,6.075,6.955,9324667.858,2021-06-13 23:59:59.999
91,6.961,7.989,5.719,6.177,8286496.872,2021-06-20 23:59:59.999
92,6.177,6.242,4.064,5.168,12552191.644,2021-06-27 23:59:59.999
93,5.17,6.48,5.019,6.238,8897394.532,2021-07-04 23:59:59.999
94,6.238,7.163,5.778,6.698,9234677.585,2021-07-11 23:59:59.999
95,6.7,6.914,4.939,4.965,7033495.479,2021-07-18 23:59:59.999
96,4.967,5.629,4.223,5.412,5804394.385,2021-07-25 23:59:59.999
97,5.408,6.776,5.259,6.175,8510658.866,2021-08-01 23:59:59.999
98,6.174,7.727,5.96,6.926,9336749.486,2021-08-08 23:59:59.999
99,6.929,8.796,6.74,8.224,10391316.175,2021-08-15 23:59:59.999
100,8.221,10.5,7.411,9.858,14977633.287,2021-08-22 23:59:59.999
101,9.843,10.295,8.11,9.161,9631550.987,2021-08-29 23:59:59.999
102,9.159,10.956,8.609,10.652,9942043.743,2021-09-05 23:59:59.999
103,10.652,11.437,7.0,9.305,13889666.595,2021-09-12 23:59:59.999
104,9.3,10.187,8.0,8.917,8108861.4,2021-09-19 23:59:59.999
105,8.913,8.929,6.765,7.401,6725801.914,2021-09-26 23:59:59.999
106,7.384,8.73,6.722,8.44,4746827.0,2021-10-03 23:59:59.999
107,8.433,9.062,7.701,7.752,6411390.1,2021-10-10 23:59:59.999
108,7.742,9.14,7.063,8.384,5538651.2,2021-10-17 23:59:59.999
109,8.384,9.269,8.189,8.681,5064004.8,2021-10-24 23:59:59.999
110,8.684,9.981,8.081,9.84,8416082.9,2021-10-31 23:59:59.999
111,9.833,10.552,8.985,9.282,7267446.1,2021-11-07 23:59:59.999
112,9.283,10.087,8.245,8.771,7062050.8,2021-11-14 23:59:59.999
113,8.777,9.235,6.911,7.605,7722137.7,2021-11-21 23:59:59.999
114,7.606,9.47,6.593,8.066,14769915.064,2021-11-28 23:59:59.999
115,8.067,8.707,4.645,5.657,14362824.558,2021-12-05 23:59:59.999
116,5.66,6.392,4.961,5.387,6497527.0,2021-12-12 23:59:59.999
117,5.378,5.429,4.622,5.128,5813826.2,2021-12-19 23:59:59.999
118,5.127,5.913,4.793,5.845,4740242.4,2021-12-26 23:59:59.999
119,5.853,6.193,4.864,5.28,4159782.5,2022-01-02 23:59:59.999
120,5.271,7.0,4.751,5.315,17964047.5,2022-01-09 23:59:59.999
121,5.312,6.108,4.793,5.68,7620003.9,2022-01-16 23:59:59.999
122,5.681,5.708,3.177,3.582,7461790.084,2022-01-23 23:59:59.999
123,3.58,3.965,2.973,3.443,11450379.925,2022-01-30 23:59:59.999
124,3.439,4.058,3.21,3.959,7546325.5,2022-02-06 23:59:59.999
125,3.959,5.485,3.802,4.046,24372927.6,2022-02-13 23:59:59.999
126,4.045,5.39,3.949,4.384,20534936.4,2022-02-20 23:59:59.999
127,4.385,4.612,3.076,3.445,10841052.1,2022-02-27 23:59:59.999
128,3.447,4.321,3.355,3.714,7750797.8,2022-03-06 23:59:59.999
129,3.713,3.82,3.271,3.3,5284444.2,2022-03-13 23:59:59.999
130,3.297,3.949,3.258,3.588,5251070.0,2022-03-20 23:59:59.999
131,3.591,4.586,3.507,4.561,5322198.4,2022-03-27 23:59:59.999
132,4.564,5.635,4.26,5.399,10358393.1,2022-04-03 23:59:59.999
133,5.403,5.587,3.938,3.951,6029548.4,2022-04-10 23:59:59.999
134,3.951,3.984,3.5,3.552,3311864.8,2022-04-17 23:59:59.999
135,3.552,4.144,3.419,3.603,4237449.0,2022-04-24 23:59:59.999
