,Open,High,Low,Close,Volume,Close time
0,38.19,73.8,29.617,40.097,6452095.388,2021-04-25 23:59:59.999
1,40.096,45.9,36.139,41.151,1643481.643,2021-05-02 23:59:59.999
2,41.142,41.142,31.817,33.605,1052577.759,2021-05-09 23:59:59.999
3,33.588,43.0,26.0,28.691,3041092.42,2021-05-16 23:59:59.999
4,28.688,33.9,11.7,14.882,1699745.671,2021-05-23 23:59:59.999
5,14.856,24.8,13.267,16.539,2953589.643,2021-05-30 23:59:59.999
6,16.542,22.0,15.56,17.084,1475282.313,2021-06-06 23:59:59.999
7,17.06,21.438,14.061,16.818,1765268.402,2021-06-13 23:59:59.999
8,16.818,18.88,15.212,16.347,1167413.781,2021-06-20 23:59:59.999
9,16.347,16.388,12.579,14.065,737547.133,2021-06-27 23:59:59.999
10,14.075,15.934,13.42,14.3,800444.326,2021-07-04 23:59:59.999
11,14.27,15.59,13.631,14.636,579044.622,2021-07-11 23:59:59.999
12,14.61,16.955,14.301,15.856,809060.228,2021-07-18 23:59:59.999
13,15.846,24.645,15.0,21.798,4775656.959,2021-07-25 23:59:59.999
14,21.798,22.925,20.531,21.4,1346037.111,2021-08-01 23:59:59.999
15,21.399,25.65,20.675,22.91,1673485.31,2021-08-08 23:59:59.999
16,22.925,29.39,22.6,23.414,2365685.245,2021-08-15 23:59:59.999
17,23.414,25.26,21.209,21.388,1093347.878,2021-08-22 23:59:59.999
18,21.388,23.08,20.179,20.59,637526.241,2021-08-29 23:59:59.999
19,20.58,21.55,18.79,20.76,674460.507,2021-09-05 23:59:59.999
20,20.8,21.23,16.18,19.38,1130388.923,2021-09-12 23:59:59.999
21,19.38,20.0,17.82,17.98,1195286.15,2021-09-19 23:59:59.999
22,17.95,24.6,15.01,16.74,3511314.03,2021-09-26 23:59:59.999
23,16.67,17.5,15.38,16.48,1236336.38,2021-10-03 23:59:59.999
24,16.49,19.87,15.5,17.07,2950346.15,2021-10-10 23:59:59.999
25,17.04,18.4,16.4,16.78,1026691.0,2021-10-17 23:59:59.999
26,16.81,17.77,15.75,15.9,725690.78,2021-10-24 23:59:59.999
27,15.92,16.3,14.4,14.67,794982.063,2021-10-31 23:59:59.999
28,14.68,17.26,14.13,15.04,1219213.48,2021-11-07 23:59:59.999
29,15.01,15.4,14.0,14.4,753589.59,2021-11-14 23:59:59.999
30,14.43,15.15,12.68,13.07,868108.04,2021-11-21 23:59:59.999
31,13.08,14.0,10.72,11.23,859284.149,2021-11-28 23:59:59.999
32,11.21,12.78,8.0,9.73,1705562.24,2021-12-05 23:59:59.999
33,9.71,10.69,8.74,9.41,2222965.09,2021-12-12 23:59:59.999
34,9.41,9.6,7.76,7.96,723292.8,2021-12-19 23:59:59.999
35,7.96,11.01,7.46,9.64,1184113.33,2021-12-26 23:59:59.999
36,9.63,10.76,8.65,8.85,764408.91,2022-01-02 23:59:59.999
37,8.85,9.1,7.72,7.84,560105.02,2022-01-09 23:59:59.999
38,7.84,8.8,7.3,7.97,564111.14,2022-01-16 23:59:59.999
39,7.97,8.16,5.46,5.92,612953.173,2022-01-23 23:59:59.999
40,5.92,6.39,5.1,6.16,420312.13,2022-01-30 23:59:59.999
41,6.16,6.95,5.89,6.5,456848.61,2022-02-06 23:59:59.999
42,6.51,7.48,6.15,6.49,787829.63,2022-02-13 23:59:59.999
43,6.5,6.74,5.52,5.7,521577.36,2022-02-20 23:59:59.999
44,5.67,9.5,4.64,6.32,1969840.62,2022-02-27 23:59:59.999
45,6.33,9.8,5.91,7.79,7181352.19,2022-03-06 23:59:59.999
46,7.78,9.64,7.26,8.22,6554624.39,2022-03-13 23:59:59.999
47,8.21,9.28,7.66,7.97,3413283.79,2022-03-20 23:59:59.999
48,7.97,9.5,7.81,8.4,1998713.11,2022-03-27 23:59:59.999
49,8.41,10.17,8.39,9.56,1823564.19,2022-04-03 23:59:59.999
50,9.57,9.89,8.25,8.72,1516547.05,2022-04-10 23:59:59.999
51,8.73,8.78,6.91,7.01,1264320.76,2022-04-17 23:59:59.999
52,7.0,7.05,5.77,5.8,1280430.64,2022-04-24 23:59:59.999
53,5.8,6.37,4.88,5.02,1444388.89,2022-05-01 23:59:59.999
54,5.04,5.9,4.67,4.75,1253689.12,2022-05-08 23:59:59.999
55,4.77,4.84,2.5,3.26,1535479.72,2022-05-15 23:59:59.999
56,3.26,5.86,2.98,4.0,5269461.08,2022-05-22 23:59:59.999
57,4.0,7.0,3.95,4.44,4670038.52,2022-05-29 23:59:59.999
58,4.44,4.83,4.2,4.51,1283691.69,2022-06-05 23:59:59.999
