,Open,High,Low,Close,Volume,Close time
0,5.631,7.999,5.1,5.273,12811988.96,2021-12-12 23:59:59.999
1,5.275,5.283,3.503,3.523,13887683.29,2021-12-19 23:59:59.999
2,3.523,6.35,3.056,5.743,33288374.08,2021-12-26 23:59:59.999
3,5.746,6.088,4.004,4.223,27921365.68,2022-01-02 23:59:59.999
4,4.213,4.236,3.166,3.66,28808118.69,2022-01-09 23:59:59.999
5,3.661,4.028,3.316,3.817,21864200.32,2022-01-16 23:59:59.999
6,3.82,3.929,1.867,2.231,28106946.86,2022-01-23 23:59:59.999
7,2.229,2.45,1.812,2.131,24576296.59,2022-01-30 23:59:59.999
8,2.129,2.39,1.858,2.175,27101465.37,2022-02-06 23:59:59.999
9,2.174,2.735,1.837,1.87,33332441.47,2022-02-13 23:59:59.999
10,1.871,1.968,1.351,1.415,20807563.73,2022-02-20 23:59:59.999
11,1.416,1.544,1.034,1.197,35311619.89,2022-02-27 23:59:59.999
12,1.197,1.71,1.171,1.212,81504068.27,2022-03-06 23:59:59.999
13,1.212,1.39,1.15,1.151,36312377.26,2022-03-13 23:59:59.999
14,1.15,1.636,1.15,1.469,54890342.07,2022-03-20 23:59:59.999
15,1.468,1.77,1.459,1.597,51303414.64,2022-03-27 23:59:59.999
16,1.596,2.368,1.51,1.894,80466083.32,2022-04-03 23:59:59.999
17,1.894,2.051,1.49,1.494,37834408.93,2022-04-10 23:59:59.999
18,1.495,1.504,1.3,1.324,19477595.06,2022-04-17 23:59:59.999
19,1.324,1.566,1.224,1.284,26002857.18,2022-04-24 23:59:59.999
20,1.283,1.298,0.998,1.073,25169336.58,2022-05-01 23:59:59.999
21,1.072,1.172,0.897,0.916,32971496.26,2022-05-08 23:59:59.999
22,0.915,0.932,0.355,0.704,88837152.75,2022-05-15 23:59:59.999
23,0.704,0.795,0.562,0.696,37665335.97,2022-05-22 23:59:59.999
24,0.696,0.726,0.585,0.648,26399481.34,2022-05-29 23:59:59.999
25,0.649,1.02,0.642,0.731,70313593.94,2022-06-05 23:59:59.999
0,0.73,0.807,0.482,0.49,40573842.51,2022-06-12 23:59:59.999000
