,Open,High,Low,Close,Volume,Close time
0,1700.0,2765.0,1481.5,1518.2,4874.54,2022-04-03 23:59:59.999
1,1510.5,1614.5,1358.2,1397.3,2201.296,2022-04-10 23:59:59.999
2,1397.4,1787.7,1369.0,1436.6,7151.997,2022-04-17 23:59:59.999
3,1434.1,1585.0,1380.0,1384.2,794.939,2022-04-24 23:59:59.999
4,1383.9,1474.0,1156.1,1321.2,1230.371,2022-05-01 23:59:59.999
5,1322.4,1359.0,959.8,1015.4,1432.662,2022-05-08 23:59:59.999
6,1019.1,1048.9,388.1,747.1,15868.708,2022-05-15 23:59:59.999
7,752.5,1039.9,596.0,691.6,25466.233,2022-05-22 23:59:59.999
8,691.7,739.8,562.3,612.3,3219.111,2022-05-29 23:59:59.999
9,610.4,873.1,527.2,709.8,35369.555,2022-06-05 23:59:59.999
0,709.9,750.0,545.6,546.3,13671.026,2022-06-12 23:59:59.999000
