,Open,High,Low,Close,Volume,Close time
0,10.0,11.89,9.63,10.24,12988.61,2020-08-09 23:59:59.999
1,10.24,12.6,8.463,8.989,71422.06,2020-08-16 23:59:59.999
2,8.898,11.333,8.378,10.864,42323.22,2020-08-23 23:59:59.999
3,10.7,11.62,8.95,9.185,30072.51,2020-08-30 23:59:59.999
4,9.03,14.5,7.15,7.348,402861.05,2020-09-06 23:59:59.999
5,7.304,9.828,2.75,2.788,5435702.12,2020-09-13 23:59:59.999
6,2.788,3.899,2.374,3.03,15274427.86,2020-09-20 23:59:59.999
7,3.02,4.176,2.418,2.53,9858435.34,2020-09-27 23:59:59.999
8,2.525,2.618,1.81,1.829,8138751.57,2020-10-04 23:59:59.999
9,1.834,2.086,1.682,1.785,3953173.59,2020-10-11 23:59:59.999
10,1.789,1.794,1.287,1.416,6923368.99,2020-10-18 23:59:59.999
11,1.416,1.674,1.293,1.413,2666247.7,2020-10-25 23:59:59.999
12,1.424,1.687,1.167,1.57,2797586.99,2020-11-01 23:59:59.999
13,1.568,1.886,1.335,1.548,1929966.86,2020-11-08 23:59:59.999
14,1.54,1.688,1.453,1.623,691682.47,2020-11-15 23:59:59.999
15,1.635,1.66,1.203,1.326,851021.59,2020-11-22 23:59:59.999
16,1.313,1.636,0.886,1.165,2629718.11,2020-11-29 23:59:59.999
17,1.165,1.305,0.99,1.243,871654.88,2020-12-06 23:59:59.999
18,1.238,1.492,1.227,1.255,437838.43,2020-12-13 23:59:59.999
19,1.26,1.294,0.791,0.851,5537675.47,2020-12-20 23:59:59.999
20,0.862,1.06,0.714,0.806,6416948.35,2020-12-27 23:59:59.999
21,0.806,0.823,0.453,0.469,14596453.25,2021-01-03 23:59:59.999
22,0.467,0.55,0.397,0.466,4548299.12,2021-01-10 23:59:59.999
23,0.465,0.652,0.3501,0.363,5012582.29,2021-01-17 23:59:59.999
24,0.3649,0.5528,0.3462,0.428,4061747.85,2021-01-24 23:59:59.999
25,0.4265,0.4874,0.3402,0.3592,4608922.15,2021-01-31 23:59:59.999
26,0.361,0.3737,0.098,0.1213,250476468.73,2021-02-07 23:59:59.999
27,0.122,0.1251,0.0182,0.02027,2749911790.04,2021-02-14 23:59:59.999
28,0.02023,0.02675,0.00203,0.00252,22691328504.67,2021-02-21 23:59:59.999
29,0.00251,0.0056,0.00177,0.00312,25654474650.61,2021-02-28 23:59:59.999
30,0.00313,0.00318,0.00166,0.00204,11384764923.09,2021-03-07 23:59:59.999
31,0.00203,0.00226,0.00107,0.00145,14496681208.09,2021-03-14 23:59:59.999
32,0.00145,0.00174,0.00123,0.00144,4314850344.54,2021-03-21 23:59:59.999
33,0.00143,0.0021,0.00118,0.00133,5579626146.11,2021-03-28 23:59:59.999
34,0.00134,0.00139,0.000632,0.00068,19712585255.41,2021-04-04 23:59:59.999
35,0.000681,0.000753,0.0002174,0.000221,3520896897206.61,2021-04-11 23:59:59.999
36,0.000221,29.8,0.0001316,23.3789847,28801780030.18,2021-04-18 23:59:59.999
37,23.3360759,24.8960348,11.32,16.2,6530367.64,2021-04-25 23:59:59.999
38,16.18,16.37,8.9,9.62,5090924.8,2021-05-02 23:59:59.999
39,9.62,9.94,7.44,7.9,4899974.37,2021-05-09 23:59:59.999
40,7.89,12.3,6.95,9.18,7089657.71,2021-05-16 23:59:59.999
41,9.16,60.0,4.525,8.3,19082353.47,2021-05-23 23:59:59.999
42,8.279,8.58,2.94,3.803,43206276.78,2021-05-30 23:59:59.999
43,3.806,4.253,1.771,2.052,79496695.3,2021-06-06 23:59:59.999
44,2.055,3.29,1.922,2.01,107639892.64,2021-06-13 23:59:59.999
45,2.003,3.05,1.78,2.42,59394783.1,2021-06-20 23:59:59.999
46,2.408,4.953,2.188,2.519,85921211.18,2021-06-27 23:59:59.999
47,2.518,2.708,1.784,1.897,59889883.59,2021-07-04 23:59:59.999
48,1.9,2.147,1.516,1.692,53801998.91,2021-07-11 23:59:59.999
49,1.692,2.168,1.533,1.794,70319072.62,2021-07-18 23:59:59.999
50,1.794,2.52,1.4932,1.562,66971355.09,2021-07-25 23:59:59.999
51,1.562,1.5698,0.9177,1.0295,57764970.9,2021-08-01 23:59:59.999
52,1.0341,1.152,0.8178,0.9369,18622699.76,2021-08-08 23:59:59.999
53,0.9403,0.997,0.528,0.548,32596463.41,2021-08-15 23:59:59.999
54,0.547,0.62,0.3951,0.4261,35026469.9,2021-08-22 23:59:59.999
55,0.4262,0.43,0.2723,0.327,66587235.27,2021-08-29 23:59:59.999
56,0.3274,0.3789,0.2776,0.2886,46677848.84,2021-09-05 23:59:59.999
57,0.2891,0.572,0.282,0.3704,64673758.82,2021-09-12 23:59:59.999
58,0.3707,0.4562,0.318,0.3671,35350414.79,2021-09-19 23:59:59.999
59,0.3679,0.6015,0.3654,0.5131,59188045.08,2021-09-26 23:59:59.999
60,0.5137,0.5651,0.2536,0.264,70015398.32,2021-10-03 23:59:59.999
61,0.2634,0.3044,0.2328,0.2997,57283796.35,2021-10-10 23:59:59.999
62,0.3,0.3219,0.185,0.1974,97747246.32,2021-10-17 23:59:59.999
63,0.1973,0.2014,0.1572,0.1881,75595983.54,2021-10-24 23:59:59.999
64,0.1879,0.2448,0.137,0.1447,73242467.23,2021-10-31 23:59:59.999
65,0.1446,0.1542,0.074,0.0784,151669552.83,2021-11-07 23:59:59.999
66,0.0785,0.0999,0.07331,0.07585,110935960.41,2021-11-14 23:59:59.999
67,0.07598,0.1214,0.0734,0.0915,103919620.89,2021-11-21 23:59:59.999
68,0.0916,0.10356,0.06352,0.07444,188728171.54,2021-11-28 23:59:59.999
69,0.07403,0.11179,0.06185,0.08546,224324730.4,2021-12-05 23:59:59.999
70,0.0852,0.09629,0.06215,0.07313,133042962.6,2021-12-12 23:59:59.999
71,0.07302,0.09486,0.07253,0.08509,92072827.87,2021-12-19 23:59:59.999
72,0.08503,0.093,0.07622,0.07908,69081260.63,2021-12-26 23:59:59.999
73,0.07914,0.0922,0.07041,0.08285,72476171.91,2022-01-02 23:59:59.999
