,Open,High,Low,Close,Volume,Close time
0,10.0,10.46,8.14,9.49,107457.72,2020-08-09 23:59:59.999
1,9.62,11.271,7.89,10.773,283616.01,2020-08-16 23:59:59.999
2,10.954,11.488,8.168,8.662,150554.47,2020-08-23 23:59:59.999
3,8.612,10.433,7.658,10.169,109135.14,2020-08-30 23:59:59.999
4,10.162,12.137,5.14,8.937,907666.56,2020-09-06 23:59:59.999
5,9.099,22.756,6.54,21.22,1011902.41,2020-09-13 23:59:59.999
6,21.302,24.498,13.788,15.424,769424.72,2020-09-20 23:59:59.999
7,15.424,15.899,10.5,14.778,607193.13,2020-09-27 23:59:59.999
8,14.77,19.314,14.127,18.5,451414.59,2020-10-04 23:59:59.999
9,18.534,19.706,15.4,18.494,251544.32,2020-10-11 23:59:59.999
10,18.509,24.17,18.415,22.448,333601.68,2020-10-18 23:59:59.999
11,22.391,23.568,18.194,21.35,177572.54,2020-10-25 23:59:59.999
12,21.45,25.633,16.5,18.341,256151.54,2020-11-01 23:59:59.999
13,18.391,19.546,14.005,17.569,298556.39,2020-11-08 23:59:59.999
14,17.647,18.2,15.535,16.367,84933.9,2020-11-15 23:59:59.999
15,16.403,20.392,15.901,18.696,217627.71,2020-11-22 23:59:59.999
16,18.933,24.98,13.832,18.69,369654.41,2020-11-29 23:59:59.999
17,18.659,21.2,15.48,16.901,156458.45,2020-12-06 23:59:59.999
18,16.9,17.121,12.726,16.38,175193.22,2020-12-13 23:59:59.999
19,16.271,26.44,15.653,24.031,393586.73,2020-12-20 23:59:59.999
20,23.882,26.2,17.001,22.741,268534.57,2020-12-27 23:59:59.999
21,22.896,36.0,22.391,35.048,493581.95,2021-01-03 23:59:59.999
22,35.107,40.231,29.7,35.039,281652.54,2021-01-10 23:59:59.999
23,34.925,40.845,22.6,39.317,262204.88,2021-01-17 23:59:59.999
24,39.248,41.219,24.343,32.099,241185.68,2021-01-24 23:59:59.999
25,32.138,39.103,27.627,36.435,167591.91,2021-01-31 23:59:59.999
26,36.195,100.466,34.454,84.772,522686.31,2021-02-07 23:59:59.999
27,84.442,324.0,82.795,248.712,631212.32,2021-02-14 23:59:59.999
28,249.007,999.0,193.066,745.704,570030.9,2021-02-21 23:59:59.999
29,746.826,750.372,317.237,421.321,483483.66,2021-02-28 23:59:59.999
30,421.981,608.999,408.162,502.67,242590.06,2021-03-07 23:59:59.999
31,505.028,799.9,458.349,577.143,253225.8,2021-03-14 23:59:59.999
32,574.694,634.821,473.112,567.101,90177.05,2021-03-21 23:59:59.999
33,568.384,629.99,371.887,572.78,142267.64,2021-03-28 23:59:59.999
34,570.002,936.675,550.73,900.217,178373.71,2021-04-04 23:59:59.999
35,899.988,1658.22,844.096,1638.548,145478.49,2021-04-11 23:59:59.999
36,1643.144,2220.0,1031.18,1318.767,175473.16,2021-04-18 23:59:59.999
37,1318.766,2100.0,975.0,1278.0,239149.67,2021-04-25 23:59:59.999
38,1276.412,2148.077,1259.916,1991.7,198006.12,2021-05-02 23:59:59.999
39,1990.344,2350.0,1850.464,2213.932,96279.81,2021-05-09 23:59:59.999
40,2213.946,2441.197,1384.695,1573.856,107299.01,2021-05-16 23:59:59.999
41,1573.859,1574.575,120.0,213.5,1772808.64,2021-05-23 23:59:59.999
42,213.5,430.0,209.996,292.538,872923.55,2021-05-30 23:59:59.999
43,292.629,511.578,261.542,424.761,883170.25,2021-06-06 23:59:59.999
44,425.122,455.597,273.062,357.718,866552.48,2021-06-13 23:59:59.999
45,357.109,384.244,247.573,299.945,405648.76,2021-06-20 23:59:59.999
46,299.999,305.0,119.089,200.08,1337545.46,2021-06-27 23:59:59.999
47,200.333,234.887,180.43,224.9,561189.28,2021-07-04 23:59:59.999
48,224.556,273.416,202.55,247.182,464207.78,2021-07-11 23:59:59.999
49,247.11,266.698,197.211,217.611,519128.74,2021-07-18 23:59:59.999
50,217.501,224.0,146.459,214.937,555310.83,2021-07-25 23:59:59.999
51,214.751,299.51,206.405,269.84,261194.5,2021-08-01 23:59:59.999
52,269.59,327.26,238.0,288.07,98179.82,2021-08-08 23:59:59.999
53,287.99,460.99,269.19,449.17,120076.54,2021-08-15 23:59:59.999
54,448.05,557.6,372.55,525.54,95185.69,2021-08-22 23:59:59.999
55,526.97,701.0,521.58,593.84,98624.75,2021-08-29 23:59:59.999
56,592.0,668.82,517.1,650.09,59648.63,2021-09-05 23:59:59.999
57,649.81,660.76,230.14,371.65,119177.75,2021-09-12 23:59:59.999
58,372.01,416.81,300.0,355.68,48654.32,2021-09-19 23:59:59.999
59,355.75,358.31,187.1,226.39,113706.87,2021-09-26 23:59:59.999
60,226.24,388.26,203.42,375.16,85355.43,2021-10-03 23:59:59.999
61,374.57,417.61,319.0,323.92,50227.29,2021-10-10 23:59:59.999
62,323.0,490.19,299.8,461.49,85067.9,2021-10-17 23:59:59.999
63,462.0,547.4,440.34,463.19,48908.37,2021-10-24 23:59:59.999
64,464.41,596.55,338.31,554.49,51939.45,2021-10-31 23:59:59.999
65,556.44,986.86,525.65,925.24,45751.58,2021-11-07 23:59:59.999
66,925.24,963.3,690.0,902.91,32715.37,2021-11-14 23:59:59.999
67,905.1,926.49,550.0,729.34,31133.77,2021-11-21 23:59:59.999
68,729.34,926.42,650.0,793.87,30362.67,2021-11-28 23:59:59.999
69,794.8,901.46,450.0,630.66,44060.35,2021-12-05 23:59:59.999
70,631.96,804.99,566.6,678.55,25420.65,2021-12-12 23:59:59.999
71,679.74,685.24,491.62,570.51,25213.42,2021-12-19 23:59:59.999
72,568.63,640.41,502.08,619.61,15475.79,2021-12-26 23:59:59.999
73,617.91,694.47,500.0,552.62,14444.38,2022-01-02 23:59:59.999
74,551.81,556.68,277.74,312.32,37305.73,2022-01-09 23:59:59.999
75,312.32,433.08,262.43,417.56,31591.67,2022-01-16 23:59:59.999
76,418.44,420.46,156.33,214.98,60718.89,2022-01-23 23:59:59.999
77,214.01,244.43,154.2,200.38,88945.38,2022-01-30 23:59:59.999
78,199.97,280.47,176.13,264.66,65042.42,2022-02-06 23:59:59.999
79,264.23,297.79,232.3,239.59,48902.7,2022-02-13 23:59:59.999
80,240.05,295.49,196.44,202.55,45945.89,2022-02-20 23:59:59.999
81,202.67,217.5,127.9,147.99,97985.06,2022-02-27 23:59:59.999
82,147.88,212.8,143.09,151.84,75558.94,2022-03-06 23:59:59.999
83,152.22,181.54,134.38,136.68,77775.58,2022-03-13 23:59:59.999
84,136.68,174.6,135.33,160.99,54944.97,2022-03-20 23:59:59.999
85,160.9,205.05,156.2,203.93,45909.29,2022-03-27 23:59:59.999
86,203.54,230.0,188.78,224.54,42383.79,2022-04-03 23:59:59.999
87,224.53,233.67,188.32,194.49,30920.88,2022-04-10 23:59:59.999
88,193.79,205.0,168.82,179.35,33182.45,2022-04-17 23:59:59.999
89,179.17,209.72,165.85,170.15,40860.5,2022-04-24 23:59:59.999
90,170.51,184.4,147.59,158.96,48367.68,2022-05-01 23:59:59.999
91,159.1,181.4,108.41,114.26,64928.73,2022-05-08 23:59:59.999
92,114.91,117.66,25.35,63.25,356050.31,2022-05-15 23:59:59.999
93,63.38,63.49,51.13,62.18,95965.36,2022-05-22 23:59:59.999
94,61.97,68.9,50.45,56.6,124732.99,2022-05-29 23:59:59.999
95,56.6,65.42,52.65,55.61,67465.31,2022-06-05 23:59:59.999
0,55.78,62.69,32.62,33.61,310240.28,2022-06-12 23:59:59.999000
0,33.61,34.4,18.41,24.19,652168.19,2022-06-19 23:59:59.999000
1,24.18,29.89,22.24,27.74,249122.3,2022-06-26 23:59:59.999000
2,27.73,29.47,19.11,22.05,292682.4,2022-07-03 23:59:59.999000
3,22.05,27.29,21.3,24.72,162391.46,2022-07-10 23:59:59.999000
4,24.72,28.86,21.4,27.3,115913.61,2022-07-17 23:59:59.999000
