,Open,High,Low,Close,Volume,Close time
0,0.2836,1.0,0.2836,0.316,840759.78,2020-02-09 23:59:59.999
1,0.3196,0.37,0.2872,0.3162,1094621.63,2020-02-16 23:59:59.999
2,0.3174,0.373,0.2893,0.3449,684487.28,2020-02-23 23:59:59.999
3,0.3435,0.3475,0.2568,0.2691,447694.57,2020-03-01 23:59:59.999
4,0.266,0.3049,0.2418,0.2478,810074.52,2020-03-08 23:59:59.999
5,0.2472,0.2532,0.113,0.1544,998351.34,2020-03-15 23:59:59.999
6,0.1535,0.207,0.1268,0.1567,1506643.79,2020-03-22 23:59:59.999
7,0.1567,0.1889,0.155,0.1608,897358.11,2020-03-29 23:59:59.999
8,0.1632,0.2,0.1616,0.1833,738101.83,2020-04-05 23:59:59.999
9,0.1853,0.2152,0.1756,0.1798,906357.91,2020-04-12 23:59:59.999
10,0.1793,0.1985,0.17,0.1921,581052.22,2020-04-19 23:59:59.999
11,0.1904,0.2412,0.1795,0.2036,2137581.76,2020-04-26 23:59:59.999
12,0.2036,0.2265,0.1968,0.2032,2861316.05,2020-05-03 23:59:59.999
13,0.2032,0.2115,0.1783,0.1882,763202.04,2020-05-10 23:59:59.999
14,0.1896,0.299,0.1745,0.2815,4496698.79,2020-05-17 23:59:59.999
15,0.2838,0.4667,0.2461,0.3915,26577880.6,2020-05-24 23:59:59.999
16,0.39,0.8308,0.3865,0.6136,28347717.6,2020-05-31 23:59:59.999
17,0.6103,0.8165,0.4611,0.7482,11787089.47,2020-06-07 23:59:59.999
18,0.7499,0.9192,0.6858,0.8344,16243294.93,2020-06-14 23:59:59.999
19,0.8338,0.8897,0.7323,0.8444,9595275.97,2020-06-21 23:59:59.999
20,0.8416,1.2999,0.8389,0.9969,13500773.72,2020-06-28 23:59:59.999
21,0.9972,1.5181,0.9963,1.3551,15251634.58,2020-07-05 23:59:59.999
22,1.3583,1.6633,1.355,1.5174,8465172.62,2020-07-12 23:59:59.999
23,1.5162,1.7368,1.4229,1.6584,7571405.87,2020-07-19 23:59:59.999
24,1.6585,1.7244,1.2101,1.4288,10253977.89,2020-07-26 23:59:59.999
25,1.4288,2.02,1.2815,1.8398,11083530.91,2020-08-02 23:59:59.999
26,1.8328,2.8,1.8251,2.4711,11556431.93,2020-08-09 23:59:59.999
27,2.4806,2.5677,2.0112,2.2215,10315981.89,2020-08-16 23:59:59.999
28,2.2195,2.412,1.7219,1.9202,10335421.88,2020-08-23 23:59:59.999
29,1.9202,2.0673,1.679,1.8769,12610666.25,2020-08-30 23:59:59.999
30,1.876,1.8893,0.9501,1.1768,9037471.12,2020-09-06 23:59:59.999
31,1.1791,1.2873,0.9819,1.1127,5748766.85,2020-09-13 23:59:59.999
32,1.1111,1.19,0.8415,0.8576,5362446.65,2020-09-20 23:59:59.999
33,0.8574,1.0064,0.7123,0.9459,5443867.27,2020-09-27 23:59:59.999
34,0.9485,1.213,0.8979,1.1808,7612130.74,2020-10-04 23:59:59.999
35,1.1808,1.2346,0.907,1.1099,7299241.82,2020-10-11 23:59:59.999
36,1.1098,1.435,1.0749,1.1281,6137313.52,2020-10-18 23:59:59.999
37,1.1291,1.1336,0.8874,0.9031,4522674.68,2020-10-25 23:59:59.999
38,0.9034,0.94,0.5424,0.6118,8160192.26,2020-11-01 23:59:59.999
39,0.6113,0.7659,0.5135,0.664,6580211.14,2020-11-08 23:59:59.999
40,0.6599,0.82,0.6302,0.7385,5579651.84,2020-11-15 23:59:59.999
41,0.7428,1.1988,0.7157,1.1014,19298346.55,2020-11-22 23:59:59.999
42,1.1079,1.1685,0.9058,0.9808,10048738.58,2020-11-29 23:59:59.999
43,0.98,1.085,0.95,1.03,6080595.29,2020-12-06 23:59:59.999
44,1.0301,1.08,0.9202,1.0468,4818311.12,2020-12-13 23:59:59.999
45,1.0473,1.9194,1.02,1.3057,71557536.39,2020-12-20 23:59:59.999
46,1.3029,1.472,1.0929,1.2822,19633949.15,2020-12-27 23:59:59.999
47,1.2796,1.4444,1.25,1.3987,9786590.96,2021-01-03 23:59:59.999
48,1.4046,1.7238,1.2433,1.5711,10604644.58,2021-01-10 23:59:59.999
