,Open,High,Low,Close,Volume,Close time
0,109.7,230.0,107.3,148.5,899254.751,2021-11-07 23:59:59.999
1,148.5,227.0,137.2,200.0,408045.734,2021-11-14 23:59:59.999
2,199.6,212.5,168.4,180.7,285494.989,2021-11-21 23:59:59.999
3,180.4,201.9,124.7,153.6,293003.693,2021-11-28 23:59:59.999
4,153.1,156.4,68.0,82.4,504805.701,2021-12-05 23:59:59.999
5,82.4,98.0,58.0,82.9,1345338.09,2021-12-12 23:59:59.999
6,83.0,109.7,67.9,74.4,1150977.73,2021-12-19 23:59:59.999
7,74.4,85.1,62.6,63.0,510672.894,2021-12-26 23:59:59.999
8,63.0,79.3,60.0,61.6,913040.189,2022-01-02 23:59:59.999
9,61.7,62.3,32.3,35.4,1199521.332,2022-01-09 23:59:59.999
10,35.4,39.7,29.3,32.6,1387929.193,2022-01-16 23:59:59.999
11,32.7,32.7,17.0,18.8,1009702.208,2022-01-23 23:59:59.999
12,18.8,26.6,15.8,19.9,1414730.665,2022-01-30 23:59:59.999
13,20.0,28.8,19.4,26.1,2032699.944,2022-02-06 23:59:59.999
14,26.1,43.9,24.9,30.2,3395429.07,2022-02-13 23:59:59.999
15,30.2,33.8,21.8,25.3,1430079.782,2022-02-20 23:59:59.999
16,25.3,27.8,19.9,22.5,1347234.343,2022-02-27 23:59:59.999
17,22.5,45.4,22.2,39.0,3063255.131,2022-03-06 23:59:59.999
18,39.0,44.7,36.8,39.1,1229316.321,2022-03-13 23:59:59.999
19,39.1,57.5,36.9,51.2,1038709.437,2022-03-20 23:59:59.999
20,51.2,59.9,48.6,53.2,805512.947,2022-03-27 23:59:59.999
21,53.2,99.0,51.7,93.5,4443226.997,2022-04-03 23:59:59.999
22,93.5,121.5,86.0,117.0,3726138.175,2022-04-10 23:59:59.999
23,116.9,125.2,100.3,100.8,994522.923,2022-04-17 23:59:59.999
24,100.8,113.1,98.6,104.5,533612.008,2022-04-24 23:59:59.999
25,104.4,130.8,100.6,115.8,1488238.014,2022-05-01 23:59:59.999
26,115.8,122.9,103.0,104.4,1079620.794,2022-05-08 23:59:59.999
27,104.5,144.6,90.0,136.2,2185290.359,2022-05-15 23:59:59.999
28,136.3,136.8,104.7,119.4,653726.863,2022-05-22 23:59:59.999
29,119.4,140.0,109.0,124.9,844433.387,2022-05-29 23:59:59.999
30,124.9,132.9,117.3,121.4,422915.503,2022-06-05 23:59:59.999
0,121.4,137.4,115.0,127.3,547371.637,2022-06-12 23:59:59.999000
0,127.0,152.9,117.8,139.3,847558.431,2022-06-19 23:59:59.999000
1,139.4,140.1,126.2,127.3,215507.26,2022-06-26 23:59:59.999000
2,127.3,128.8,110.2,117.1,205717.859,2022-07-03 23:59:59.999000
3,117.1,121.0,112.5,114.3,131240.771,2022-07-10 23:59:59.999000
4,114.2,118.8,111.0,116.8,102546.147,2022-07-17 23:59:59.999000
