,Open,High,Low,Close,Volume,Close time
0,0.3534,1.38,0.3534,0.6402,761215098.0,2022-03-27 23:59:59.999
1,0.6401,2.16,0.6107,1.3036,1375608010.1,2022-04-03 23:59:59.999
2,1.3035,1.5249,1.135,1.2385,603135472.9,2022-04-10 23:59:59.999
3,1.2381,1.2933,0.9821,1.1271,190788038.1,2022-04-17 23:59:59.999
4,1.1266,1.2965,1.04,1.1332,152378563.0,2022-04-24 23:59:59.999
5,1.1343,1.45,1.0189,1.1271,335830716.5,2022-05-01 23:59:59.999
6,1.1272,1.2843,0.9428,0.9713,136915206.5,2022-05-08 23:59:59.999
7,0.9713,1.0278,0.4215,0.5907,191524804.3,2022-05-15 23:59:59.999
8,0.591,0.6499,0.5372,0.6137,76783639.1,2022-05-22 23:59:59.999
9,0.6135,0.658,0.5368,0.567,56074477.9,2022-05-29 23:59:59.999
10,0.567,0.6338,0.5477,0.5524,48935398.9,2022-06-05 23:59:59.999
0,0.5525,0.5774,0.3801,0.3901,51845292.0,2022-06-12 23:59:59.999000
