,Open,High,Low,Close,Volume,Close time
0,10.15,11.11,9.41,9.96,120106.59,2020-05-17 23:59:59.999
1,9.9,12.15,9.42,12.02,1721158.66,2020-05-24 23:59:59.999
2,12.1,12.27,9.65,10.29,2464604.73,2020-05-31 23:59:59.999
3,10.31,10.65,8.25,9.72,7518041.93,2020-06-07 23:59:59.999
4,9.69,11.42,9.17,10.62,3847660.99,2020-06-14 23:59:59.999
5,10.64,11.57,9.99,10.62,1346028.65,2020-06-21 23:59:59.999
6,10.6,11.81,9.53,11.0,1139768.56,2020-06-28 23:59:59.999
7,11.04,11.7,10.5,11.12,828002.6,2020-07-05 23:59:59.999
8,11.2,11.23,10.05,10.49,946272.84,2020-07-12 23:59:59.999
9,10.46,11.32,10.33,10.81,630302.74,2020-07-19 23:59:59.999
10,10.8,11.07,7.64,8.43,916375.07,2020-07-26 23:59:59.999
11,8.4,8.43,5.11,6.43,4772350.47,2020-08-02 23:59:59.999
12,6.47,6.66,5.28,5.54,1575422.21,2020-08-09 23:59:59.999
13,5.51,6.09,5.0,5.134,2111222.63,2020-08-16 23:59:59.999
14,5.105,5.937,4.595,5.586,1479220.38,2020-08-23 23:59:59.999
15,5.59,6.29,5.353,5.447,1301463.65,2020-08-30 23:59:59.999
16,5.433,8.477,4.907,7.226,1417973.46,2020-09-06 23:59:59.999
17,7.29,7.99,6.491,7.033,972991.21,2020-09-13 23:59:59.999
18,7.033,7.149,5.682,5.99,1312983.1,2020-09-20 23:59:59.999
19,5.99,7.0,5.85,5.933,1638547.99,2020-09-27 23:59:59.999
20,5.916,6.55,5.601,6.135,785386.71,2020-10-04 23:59:59.999
21,6.135,6.365,4.917,5.108,855469.8,2020-10-11 23:59:59.999
22,5.108,5.327,4.658,4.924,876752.28,2020-10-18 23:59:59.999
23,4.925,5.041,3.506,3.69,3314423.54,2020-10-25 23:59:59.999
24,3.701,3.865,3.066,3.236,3958419.13,2020-11-01 23:59:59.999
25,3.243,3.5,2.359,2.552,9303169.59,2020-11-08 23:59:59.999
26,2.543,2.812,2.182,2.355,7100779.78,2020-11-15 23:59:59.999
27,2.362,2.396,1.574,1.69,19243088.97,2020-11-22 23:59:59.999
28,1.693,2.228,1.474,1.683,22301705.75,2020-11-29 23:59:59.999
29,1.687,1.689,1.275,1.405,31096763.54,2020-12-06 23:59:59.999
30,1.404,1.8,1.388,1.47,25627257.53,2020-12-13 23:59:59.999
31,1.474,1.5,0.818,0.892,77719468.03,2020-12-20 23:59:59.999
32,0.894,1.025,0.538,0.654,115854035.87,2020-12-27 23:59:59.999
33,0.656,0.681,0.335,0.38,230026017.28,2021-01-03 23:59:59.999
34,0.379,0.515,0.175,0.217,588307482.74,2021-01-10 23:59:59.999
35,0.217,0.362,0.177,0.239,1113444100.09,2021-01-17 23:59:59.999
36,0.2389,0.4,0.206,0.2973,801677372.15,2021-01-24 23:59:59.999
37,0.2973,0.3647,0.1757,0.2509,973234634.9,2021-01-31 23:59:59.999
38,0.2505,0.2672,0.143,0.1644,658063675.35,2021-02-07 23:59:59.999
39,0.1642,0.1731,0.0853,0.0908,1968187746.45,2021-02-14 23:59:59.999
40,0.0908,0.1026,0.0536,0.0567,2144463985.42,2021-02-21 23:59:59.999
41,0.0569,0.1075,0.0566,0.0978,4564108804.57,2021-02-28 23:59:59.999
42,0.0981,0.0991,0.0655,0.0716,2916831106.86,2021-03-07 23:59:59.999
