,Open,High,Low,Close,Volume,Close time
0,8.0,1000.0,8.0,76.343,3138792.44,2021-01-17 23:59:59.999
1,76.342,79.999,56.0,72.22,397081.909,2021-01-24 23:59:59.999
2,72.162,75.0,60.14,68.387,207141.275,2021-01-31 23:59:59.999
3,68.122,91.233,64.36,79.458,283142.611,2021-02-07 23:59:59.999
4,79.459,214.875,77.34,147.806,565828.141,2021-02-14 23:59:59.999
5,147.805,356.452,131.51,279.415,911551.796,2021-02-21 23:59:59.999
6,279.707,497.0,250.0,310.978,973511.748,2021-02-28 23:59:59.999
7,311.607,388.68,280.1,318.712,269497.896,2021-03-07 23:59:59.999
8,318.71,444.0,280.0,373.033,297290.155,2021-03-14 23:59:59.999
9,374.808,378.0,36.511,39.195,6730553.384,2021-03-21 23:59:59.999
10,39.196,43.242,28.0,33.578,3261431.982,2021-03-28 23:59:59.999
11,33.586,54.175,31.389,47.2,4152167.1,2021-04-04 23:59:59.999
12,47.201,68.0,46.052,58.056,5122196.868,2021-04-11 23:59:59.999
13,58.104,92.999,57.921,68.088,6718785.445,2021-04-18 23:59:59.999
14,68.091,76.0,53.5,57.337,2666031.652,2021-04-25 23:59:59.999
15,57.34,83.916,56.896,71.845,1680252.5,2021-05-02 23:59:59.999
16,71.844,78.798,62.0,69.529,1635526.417,2021-05-09 23:59:59.999
17,69.529,77.0,55.0,70.309,1405224.017,2021-05-16 23:59:59.999
18,70.309,77.0,21.632,29.084,2508078.017,2021-05-23 23:59:59.999
19,28.942,50.498,25.824,34.788,1685543.043,2021-05-30 23:59:59.999
20,34.609,39.76,32.204,33.649,842911.313,2021-06-06 23:59:59.999
21,33.68,35.09,25.339,28.516,789687.011,2021-06-13 23:59:59.999
22,28.63,31.1,22.65,24.352,552924.456,2021-06-20 23:59:59.999
23,24.352,24.613,15.1,18.89,1152466.126,2021-06-27 23:59:59.999
24,18.889,21.243,17.119,19.804,738693.618,2021-07-04 23:59:59.999
25,19.747,20.997,17.601,18.393,695099.745,2021-07-11 23:59:59.999
26,18.426,18.893,13.0,13.931,1265286.89,2021-07-18 23:59:59.999
27,13.927,21.34,11.637,15.453,5371673.313,2021-07-25 23:59:59.999
28,15.453,21.5,15.0,18.177,3935455.834,2021-08-01 23:59:59.999
29,18.191,25.443,16.9,21.658,2510062.392,2021-08-08 23:59:59.999
30,21.701,26.239,20.847,25.315,2009657.596,2021-08-15 23:59:59.999
31,25.263,28.0,22.98,24.392,1752652.701,2021-08-22 23:59:59.999
32,24.381,26.082,21.5,22.97,1567125.971,2021-08-29 23:59:59.999
33,22.94,27.44,21.53,25.4,1661844.381,2021-09-05 23:59:59.999
34,25.39,27.0,17.55,19.12,1606197.44,2021-09-12 23:59:59.999
35,19.12,20.1,17.0,18.22,1139286.593,2021-09-19 23:59:59.999
36,18.22,18.9,13.5,14.25,2193260.003,2021-09-26 23:59:59.999
37,14.25,17.6,13.84,15.98,955457.57,2021-10-03 23:59:59.999
38,15.96,90.86,15.5,47.98,38848494.449,2021-10-10 23:59:59.999
39,47.98,58.0,36.66,41.16,10273476.7,2021-10-17 23:59:59.999
40,41.15,57.2,40.18,42.12,8573721.72,2021-10-24 23:59:59.999
41,42.12,45.45,35.45,37.22,5372207.55,2021-10-31 23:59:59.999
42,37.24,41.0,35.4,37.09,2312257.38,2021-11-07 23:59:59.999
43,37.09,48.95,35.46,37.98,4755422.79,2021-11-14 23:59:59.999
44,37.98,42.25,29.41,35.84,2716804.16,2021-11-21 23:59:59.999
45,35.79,36.63,29.51,31.79,2307605.78,2021-11-28 23:59:59.999
46,31.78,34.89,21.2,26.09,3478856.92,2021-12-05 23:59:59.999
47,26.13,29.0,23.15,25.53,1662240.73,2021-12-12 23:59:59.999
48,25.53,25.59,21.19,22.83,867058.39,2021-12-19 23:59:59.999
49,22.82,27.71,21.91,24.88,978119.67,2021-12-26 23:59:59.999
50,24.88,26.24,21.79,22.69,755098.19,2022-01-02 23:59:59.999
51,22.66,26.29,18.01,20.92,2687100.84,2022-01-09 23:59:59.999
52,20.9,23.0,18.82,20.79,982527.35,2022-01-16 23:59:59.999
53,20.79,21.12,14.15,15.43,1098294.44,2022-01-23 23:59:59.999
54,15.43,16.74,13.26,14.81,750746.28,2022-01-30 23:59:59.999
55,14.82,17.3,14.29,16.72,1167189.51,2022-02-06 23:59:59.999
56,16.73,19.17,15.5,15.89,1222067.13,2022-02-13 23:59:59.999
57,15.91,17.54,14.33,14.7,612210.12,2022-02-20 23:59:59.999
58,14.7,15.25,12.21,13.42,692968.34,2022-02-27 23:59:59.999
59,13.42,26.5,13.25,17.07,7521138.17,2022-03-06 23:59:59.999
60,17.05,18.36,13.99,14.18,1572199.0,2022-03-13 23:59:59.999
61,14.15,17.12,13.96,15.66,2126634.58,2022-03-20 23:59:59.999
62,15.68,21.94,15.43,19.62,3662686.73,2022-03-27 23:59:59.999
63,19.59,22.73,16.86,19.3,2890673.18,2022-04-03 23:59:59.999
64,19.3,20.8,16.5,16.53,1392929.66,2022-04-10 23:59:59.999
65,16.52,17.11,14.98,15.75,563647.24,2022-04-17 23:59:59.999
66,15.74,18.0,15.15,15.41,925498.69,2022-04-24 23:59:59.999
67,15.42,17.0,13.45,14.33,871744.2,2022-05-01 23:59:59.999
68,14.33,16.3,13.13,13.19,959440.98,2022-05-08 23:59:59.999
69,13.21,13.6,5.81,7.98,1501271.175,2022-05-15 23:59:59.999
70,7.97,12.3,7.13,8.46,3250323.74,2022-05-22 23:59:59.999
71,8.45,8.99,6.66,7.21,912134.38,2022-05-29 23:59:59.999
72,7.21,8.6,6.97,7.44,891493.78,2022-06-05 23:59:59.999
0,7.43,8.35,5.94,5.98,1013879.42,2022-06-12 23:59:59.999000
