,Open,High,Low,Close,Volume,Close time
0,10.36,11.2,8.86,9.83,221413.72,2020-05-17 23:59:59.999
1,9.88,10.4,8.07,8.12,2335253.35,2020-05-24 23:59:59.999
2,8.12,10.08,7.96,9.48,2781316.59,2020-05-31 23:59:59.999
3,9.47,11.49,9.15,10.02,5656634.81,2020-06-07 23:59:59.999
4,10.05,10.53,8.58,9.12,3483333.35,2020-06-14 23:59:59.999
5,9.12,9.65,8.32,9.0,1096625.47,2020-06-21 23:59:59.999
6,8.98,9.96,7.9,8.57,902473.53,2020-06-28 23:59:59.999
7,8.53,8.93,8.01,8.45,617522.91,2020-07-05 23:59:59.999
8,8.43,9.28,8.38,8.88,601513.8,2020-07-12 23:59:59.999
9,8.9,9.01,8.26,8.63,470389.94,2020-07-19 23:59:59.999
10,8.64,10.95,8.45,10.16,913945.95,2020-07-26 23:59:59.999
11,10.17,14.59,10.17,11.99,3803365.99,2020-08-02 23:59:59.999
12,11.99,13.64,11.75,13.1,968761.29,2020-08-09 23:59:59.999
13,13.1,14.06,11.81,13.2,821555.0,2020-08-16 23:59:59.999
14,13.2,14.237,11.705,12.421,747581.31,2020-08-23 23:59:59.999
15,12.348,12.79,11.05,12.245,609302.17,2020-08-30 23:59:59.999
16,12.244,12.889,9.0,9.68,667504.98,2020-09-06 23:59:59.999
17,9.675,10.214,2.0,9.745,298915.75,2020-09-13 23:59:59.999
18,9.699,11.315,9.558,10.81,397632.45,2020-09-20 23:59:59.999
19,10.874,10.977,9.379,10.491,231025.73,2020-09-27 23:59:59.999
20,10.567,11.006,9.709,10.292,190586.91,2020-10-04 23:59:59.999
21,10.292,11.947,10.0,11.677,231634.34,2020-10-11 23:59:59.999
22,11.723,12.4,11.331,11.876,277478.93,2020-10-18 23:59:59.999
23,11.909,15.979,11.752,14.986,1003325.19,2020-10-25 23:59:59.999
24,14.981,17.8,14.37,16.825,941847.19,2020-11-01 23:59:59.999
25,16.883,22.0,15.374,20.7,1361394.04,2020-11-08 23:59:59.999
