,Open,High,Low,Close,Volume,Close time
0,118.5,138.0,80.05,93.016,178039.161,2021-04-18 23:59:59.999
1,93.1,159.901,70.452,74.364,2400536.782,2021-04-25 23:59:59.999
2,74.364,98.0,72.802,92.847,668655.679,2021-05-02 23:59:59.999
3,93.239,169.0,91.137,125.621,1766065.417,2021-05-09 23:59:59.999
4,125.622,131.0,85.078,94.43,516781.919,2021-05-16 23:59:59.999
5,94.998,100.0,37.3,49.81,529671.932,2021-05-23 23:59:59.999
6,49.795,69.957,45.65,56.999,241102.017,2021-05-30 23:59:59.999
7,56.999,64.0,53.877,56.622,204709.715,2021-06-06 23:59:59.999
8,56.698,84.555,47.23,59.03,2014371.838,2021-06-13 23:59:59.999
9,59.014,61.87,46.567,51.688,364108.281,2021-06-20 23:59:59.999
10,51.645,51.918,29.14,40.941,511763.389,2021-06-27 23:59:59.999
11,40.731,54.405,39.097,48.414,341959.674,2021-07-04 23:59:59.999
12,48.259,52.115,42.341,44.217,140948.335,2021-07-11 23:59:59.999
13,44.395,44.911,36.311,38.266,90164.747,2021-07-18 23:59:59.999
14,38.181,44.319,33.643,43.353,138245.202,2021-07-25 23:59:59.999
15,43.3,55.0,42.591,50.147,344717.804,2021-08-01 23:59:59.999
16,50.094,61.604,48.403,56.193,446167.588,2021-08-08 23:59:59.999
17,56.232,72.524,54.297,70.485,356642.994,2021-08-15 23:59:59.999
18,70.485,79.025,58.138,71.635,361333.988,2021-08-22 23:59:59.999
19,71.635,93.23,61.33,77.18,515878.693,2021-08-29 23:59:59.999
20,77.37,88.6,73.88,84.45,339563.75,2021-09-05 23:59:59.999
21,84.41,84.99,60.111,66.52,188255.938,2021-09-12 23:59:59.999
22,66.52,71.19,61.1,64.2,100755.99,2021-09-19 23:59:59.999
23,64.15,64.2,48.27,51.71,189600.7,2021-09-26 23:59:59.999
24,51.7,60.17,48.63,59.02,115521.31,2021-10-03 23:59:59.999
25,58.94,77.73,55.8,65.45,516156.49,2021-10-10 23:59:59.999
26,65.5,75.2,65.12,67.91,293310.37,2021-10-17 23:59:59.999
27,67.92,72.95,65.94,67.16,250885.17,2021-10-24 23:59:59.999
28,67.15,69.23,58.52,65.43,125283.69,2021-10-31 23:59:59.999
29,65.44,68.0,61.92,64.21,125457.31,2021-11-07 23:59:59.999
30,64.28,75.96,63.28,66.81,247715.34,2021-11-14 23:59:59.999
31,66.92,67.41,55.53,58.92,255196.85,2021-11-21 23:59:59.999
32,59.08,61.57,51.83,55.11,110182.13,2021-11-28 23:59:59.999
33,55.11,58.7,32.81,42.11,126898.975,2021-12-05 23:59:59.999
34,41.95,50.4,38.89,44.32,231467.83,2021-12-12 23:59:59.999
35,44.3,45.28,39.31,40.62,95011.88,2021-12-19 23:59:59.999
36,40.61,47.78,39.32,44.91,171417.57,2021-12-26 23:59:59.999
37,44.92,49.0,39.87,42.14,87141.45,2022-01-02 23:59:59.999
38,42.13,44.15,35.01,35.94,96406.87,2022-01-09 23:59:59.999
39,35.85,39.3,32.97,38.06,100714.84,2022-01-16 23:59:59.999
40,37.84,39.12,26.6,29.47,152248.159,2022-01-23 23:59:59.999
41,29.45,32.0,25.77,29.54,184731.09,2022-01-30 23:59:59.999
42,29.58,35.35,28.57,34.27,106606.38,2022-02-06 23:59:59.999
43,34.27,38.37,31.88,32.99,118068.23,2022-02-13 23:59:59.999
44,32.98,35.2,28.6,29.15,63937.31,2022-02-20 23:59:59.999
45,29.1,33.24,24.78,29.07,116162.68,2022-02-27 23:59:59.999
46,29.08,34.87,28.33,28.47,125613.9,2022-03-06 23:59:59.999
47,28.46,33.4,27.77,28.58,163786.36,2022-03-13 23:59:59.999
48,28.55,39.03,28.13,35.98,214562.38,2022-03-20 23:59:59.999
49,36.04,48.5,36.04,43.75,607649.68,2022-03-27 23:59:59.999
50,43.8,46.55,40.11,42.19,296164.94,2022-04-03 23:59:59.999
51,42.2,44.5,35.42,36.1,362633.71,2022-04-10 23:59:59.999
52,36.12,36.78,32.48,34.15,176656.52,2022-04-17 23:59:59.999
53,34.17,36.39,32.25,32.65,96780.03,2022-04-24 23:59:59.999
54,32.62,34.53,27.07,28.22,179212.59,2022-05-01 23:59:59.999
55,28.23,32.63,25.61,25.89,228870.1,2022-05-08 23:59:59.999
56,25.85,26.19,14.88,20.16,231315.8,2022-05-15 23:59:59.999
57,20.2,20.81,17.67,19.24,93358.74,2022-05-22 23:59:59.999
58,19.24,34.5,19.23,22.61,839350.09,2022-05-29 23:59:59.999
59,22.59,24.5,21.15,21.78,158205.96,2022-06-05 23:59:59.999
