,Open,High,Low,Close,Volume,Close time
0,1.95e-06,2.55e-06,1.5e-06,2.09e-06,63341110712174.0,2022-01-30 23:59:59.999
1,2.08e-06,2.39e-06,2e-06,2.28e-06,42918405484969.0,2022-02-06 23:59:59.999
2,2.27e-06,2.41e-06,2.1e-06,2.12e-06,41546904762369.0,2022-02-13 23:59:59.999
3,2.12e-06,2.23e-06,1.94e-06,1.97e-06,48350484537866.0,2022-02-20 23:59:59.999
4,1.98e-06,2.06e-06,1.68e-06,1.84e-06,54243183110488.0,2022-02-27 23:59:59.999
5,1.84e-06,2.04e-06,1.77e-06,1.78e-06,49182899462600.0,2022-03-06 23:59:59.999
6,1.78e-06,1.89e-06,1.73e-06,1.74e-06,40466125971561.0,2022-03-13 23:59:59.999
7,1.73e-06,1.89e-06,1.71e-06,1.82e-06,38301016893271.0,2022-03-20 23:59:59.999
8,1.82e-06,2.25e-06,1.8e-06,2.14e-06,112165857252423.0,2022-03-27 23:59:59.999
9,2.15e-06,2.34e-06,2.07e-06,2.23e-06,47108840985120.0,2022-04-03 23:59:59.999
10,2.23e-06,2.24e-06,1.95e-06,1.96e-06,27598200025107.0,2022-04-10 23:59:59.999
11,1.95e-06,2.08e-06,1.79e-06,1.9e-06,33221899214904.0,2022-04-17 23:59:59.999
12,1.9e-06,2.04e-06,1.82e-06,1.83e-06,34226543004539.0,2022-04-24 23:59:59.999
13,1.84e-06,1.85e-06,1.65e-06,1.72e-06,28806943138752.0,2022-05-01 23:59:59.999
14,1.73e-06,1.82e-06,1.59e-06,1.61e-06,29990588057472.0,2022-05-08 23:59:59.999
15,1.6e-06,1.61e-06,9.8e-07,1.15e-06,65155070430803.0,2022-05-15 23:59:59.999
16,1.15e-06,1.15e-06,1.07e-06,1.14e-06,42596665622695.0,2022-05-22 23:59:59.999
17,1.13e-06,1.17e-06,1.01e-06,1.03e-06,45847707145017.0,2022-05-29 23:59:59.999
18,1.04e-06,1.15e-06,1.03e-06,1.09e-06,23878750896873.0,2022-06-05 23:59:59.999
0,1.08e-06,1.13e-06,9.1e-07,9.3e-07,29949217562500.0,2022-06-12 23:59:59.999000
