,Open,High,Low,Close,Volume,Close time
0,8.54,21.7,8.02,20.72,25086205.9,2021-05-02 23:59:59.999
1,20.71,29.0,12.52,16.77,59640431.7,2021-05-09 23:59:59.999
2,16.77,18.0,10.73,12.0,18144169.8,2021-05-16 23:59:59.999
3,12.0,12.71,3.5,4.49,14576648.8,2021-05-23 23:59:59.999
4,4.49,10.62,4.26,6.29,27524294.3,2021-05-30 23:59:59.999
5,6.28,7.4,5.55,5.96,11839379.6,2021-06-06 23:59:59.999
6,5.94,7.25,4.63,5.53,16635404.6,2021-06-13 23:59:59.999
7,5.54,5.84,4.25,4.69,5802237.8,2021-06-20 23:59:59.999
8,4.69,4.72,2.91,3.91,10218837.5,2021-06-27 23:59:59.999
9,3.92,4.16,3.4,3.85,4972895.2,2021-07-04 23:59:59.999
10,3.86,4.46,3.51,3.83,5940408.8,2021-07-11 23:59:59.999
11,3.82,4.9,3.48,3.74,10653742.0,2021-07-18 23:59:59.999
12,3.74,4.48,3.06,4.29,7486298.7,2021-07-25 23:59:59.999
13,4.28,4.79,3.73,3.93,9775297.7,2021-08-01 23:59:59.999
14,3.93,6.47,3.81,5.19,14090301.3,2021-08-08 23:59:59.999
15,5.18,5.94,4.87,5.58,12112406.5,2021-08-15 23:59:59.999
16,5.58,6.34,4.96,6.18,14758532.2,2021-08-22 23:59:59.999
17,6.18,6.2,5.01,5.354,12343154.5,2021-08-29 23:59:59.999
18,5.342,5.55,4.87,5.42,10705730.8,2021-09-05 23:59:59.999
19,5.421,5.549,3.8,4.174,8686147.3,2021-09-12 23:59:59.999
20,4.174,4.5,3.842,3.913,5621075.5,2021-09-19 23:59:59.999
21,3.916,4.838,3.0,3.308,12746119.8,2021-09-26 23:59:59.999
22,3.309,3.7,3.094,3.503,5349454.5,2021-10-03 23:59:59.999
23,3.502,6.77,3.336,4.012,49479347.3,2021-10-10 23:59:59.999
24,4.022,5.248,3.941,4.153,18988090.6,2021-10-17 23:59:59.999
25,4.154,4.425,3.975,4.058,6946092.6,2021-10-24 23:59:59.999
26,4.049,4.294,3.6,3.896,7243438.7,2021-10-31 23:59:59.999
27,3.9,4.764,3.8,4.131,11314926.3,2021-11-07 23:59:59.999
28,4.132,4.276,3.781,3.92,5051639.7,2021-11-14 23:59:59.999
29,3.921,6.6,3.258,3.949,20898563.0,2021-11-21 23:59:59.999
30,3.949,4.97,3.4,3.64,26274148.9,2021-11-28 23:59:59.999
31,3.64,4.15,2.712,3.157,10697667.4,2021-12-05 23:59:59.999
32,3.157,3.391,2.89,3.236,7215473.0,2021-12-12 23:59:59.999
33,3.228,3.346,2.944,3.146,8189459.1,2021-12-19 23:59:59.999
34,3.146,3.5,2.969,3.293,6058527.2,2021-12-26 23:59:59.999
35,3.294,3.47,2.919,3.061,5788562.7,2022-01-02 23:59:59.999
36,3.058,3.3,2.311,2.427,5459886.8,2022-01-09 23:59:59.999
37,2.423,3.061,2.139,2.496,11273809.3,2022-01-16 23:59:59.999
38,2.496,2.508,1.428,1.704,7270270.3,2022-01-23 23:59:59.999
39,1.704,1.94,1.442,1.715,7763247.3,2022-01-30 23:59:59.999
40,1.715,2.2,1.656,1.935,8788164.1,2022-02-06 23:59:59.999
41,1.935,2.226,1.695,1.824,8200445.0,2022-02-13 23:59:59.999
42,1.824,1.92,1.5,1.58,3864612.9,2022-02-20 23:59:59.999
43,1.58,1.628,1.17,1.36,5683336.0,2022-02-27 23:59:59.999
44,1.355,2.35,1.338,1.652,34204920.3,2022-03-06 23:59:59.999
45,1.65,1.69,1.356,1.369,13770256.4,2022-03-13 23:59:59.999
46,1.368,1.85,1.346,1.502,15360524.3,2022-03-20 23:59:59.999
47,1.502,1.69,1.461,1.621,9154010.9,2022-03-27 23:59:59.999
48,1.618,2.077,1.543,1.797,34031744.3,2022-04-03 23:59:59.999
49,1.797,1.87,1.453,1.474,10479834.5,2022-04-10 23:59:59.999
50,1.471,1.546,1.341,1.385,5492851.3,2022-04-17 23:59:59.999
51,1.385,1.487,1.336,1.365,4708268.8,2022-04-24 23:59:59.999
52,1.365,1.366,1.055,1.11,4300086.6,2022-05-01 23:59:59.999
53,1.111,1.54,0.957,0.994,17618350.7,2022-05-08 23:59:59.999
54,0.994,1.009,0.28,0.471,23883841.9,2022-05-15 23:59:59.999
55,0.471,0.636,0.416,0.575,21402095.4,2022-05-22 23:59:59.999
56,0.574,1.395,0.543,0.739,122877856.9,2022-05-29 23:59:59.999
57,0.739,1.255,0.611,0.914,119183743.7,2022-06-05 23:59:59.999
0,0.914,1.136,0.663,0.693,82713124.7,2022-06-12 23:59:59.999000
