,Open,High,Low,Close,Volume,Close time
0,238.7,306.0963,0.0005,0.9999,426738.05,2019-09-22 23:59:59.999
1,0.9999,1.0499,0.9902,0.9982,6451196.19,2019-09-29 23:59:59.999
2,0.9982,1.0003,0.9972,0.9989,1300918.68,2019-10-06 23:59:59.999
3,1.0,1.001,0.9965,0.9996,8059219.79,2019-10-13 23:59:59.999
4,0.9996,1.0011,0.9985,0.9989,51769120.52,2019-10-20 23:59:59.999
5,0.999,1.0006,0.9912,0.9977,35802974.88,2019-10-27 23:59:59.999
6,0.9978,1.0002,0.9966,0.9996,36068822.99,2019-11-03 23:59:59.999
7,0.9996,1.0078,0.9978,1.0,37975654.8,2019-11-10 23:59:59.999
8,1.0001,1.0049,0.9998,1.0004,19048518.4,2019-11-17 23:59:59.999
9,1.0003,1.0045,0.9985,0.9993,27433413.58,2019-11-24 23:59:59.999
10,0.9993,1.005,0.9988,0.9992,25366639.85,2019-12-01 23:59:59.999
11,0.9993,1.0011,0.998,0.9987,22526821.58,2019-12-08 23:59:59.999
12,0.9987,1.0021,0.9983,1.0011,20626738.47,2019-12-15 23:59:59.999
13,1.0011,1.0031,0.9985,0.9993,28052044.03,2019-12-22 23:59:59.999
14,0.9992,1.004,0.9989,1.0011,17408351.54,2019-12-29 23:59:59.999
15,1.0011,1.0045,1.0,1.0011,13826811.96,2020-01-05 23:59:59.999
16,1.001,1.0018,0.9988,1.0006,39815730.43,2020-01-12 23:59:59.999
17,1.0006,1.0039,0.9992,1.0013,64308010.35,2020-01-19 23:59:59.999
18,1.0013,1.0045,1.0009,1.0021,47676981.87,2020-01-26 23:59:59.999
19,1.0021,1.0035,1.0,1.001,68550805.35,2020-02-02 23:59:59.999
20,1.001,1.0039,0.9981,0.9989,127908178.55,2020-02-09 23:59:59.999
21,0.9989,1.0017,0.9938,0.9995,216793132.75,2020-02-16 23:59:59.999
22,0.9995,1.001,0.9969,0.9972,183491221.48,2020-02-23 23:59:59.999
23,0.9972,1.003,0.9969,1.0013,212754160.7,2020-03-01 23:59:59.999
24,1.0014,1.0016,0.9971,1.0001,218370510.2,2020-03-08 23:59:59.999
25,1.0002,1.0999,0.9864,1.0019,379202188.58,2020-03-15 23:59:59.999
26,1.0019,1.0044,0.9936,0.9995,301289269.82,2020-03-22 23:59:59.999
27,0.9995,0.9998,0.9951,0.9998,179867385.78,2020-03-29 23:59:59.999
28,0.9997,0.9999,0.9966,0.9985,189969432.39,2020-04-05 23:59:59.999
29,0.9985,0.9998,0.997,0.9988,198239246.59,2020-04-12 23:59:59.999
30,0.9988,0.9999,0.9975,0.9985,173672423.61,2020-04-19 23:59:59.999
31,0.9985,1.0,0.9979,0.9988,191352518.62,2020-04-26 23:59:59.999
32,0.9988,1.001,0.9977,0.9991,263664064.58,2020-05-03 23:59:59.999
33,0.9991,1.0022,0.9984,0.9996,283086237.15,2020-05-10 23:59:59.999
34,0.9996,1.0015,0.9987,1.0003,204300885.51,2020-05-17 23:59:59.999
35,1.0003,1.0021,0.9994,1.0007,303949879.98,2020-05-24 23:59:59.999
36,1.0007,1.0009,0.9993,1.0007,214686680.43,2020-05-31 23:59:59.999
37,1.0007,1.0017,0.9972,0.9996,266503740.27,2020-06-07 23:59:59.999
38,0.9995,1.0033,0.999,1.0009,174972727.8,2020-06-14 23:59:59.999
39,1.0009,1.0024,0.9993,1.0015,203921960.75,2020-06-21 23:59:59.999
40,1.0015,1.0025,0.9997,1.0005,188707998.94,2020-06-28 23:59:59.999
41,1.0005,1.0016,0.9997,0.9999,148747395.44,2020-07-05 23:59:59.999
42,0.9998,1.001,0.9995,1.0,211628873.2,2020-07-12 23:59:59.999
43,1.0,1.0018,0.9995,0.9997,211309764.47,2020-07-19 23:59:59.999
44,0.9997,1.0003,0.9949,0.9992,327486819.26,2020-07-26 23:59:59.999
45,0.9992,1.0,0.9972,1.0,612940227.16,2020-08-02 23:59:59.999
46,1.0,1.0002,0.9975,0.9995,456155271.69,2020-08-09 23:59:59.999
47,0.9994,1.0007,0.9977,0.9997,499031248.36,2020-08-16 23:59:59.999
48,0.9996,1.0006,0.9979,0.9996,438588519.44,2020-08-23 23:59:59.999
49,0.9997,1.0004,0.9991,1.0,337282222.27,2020-08-30 23:59:59.999
50,1.0,1.0007,0.9982,0.9999,587555182.22,2020-09-06 23:59:59.999
51,0.9999,1.0008,0.9994,0.9999,526186878.5,2020-09-13 23:59:59.999
52,0.9999,1.0008,0.9995,1.0002,575178236.98,2020-09-20 23:59:59.999
53,1.0002,1.0007,0.9995,1.0,388738726.87,2020-09-27 23:59:59.999
54,1.0,1.0008,0.9997,0.9998,430927639.46,2020-10-04 23:59:59.999
55,0.9998,1.0007,0.9993,0.9999,471259267.28,2020-10-11 23:59:59.999
56,0.9999,1.0,0.9993,0.9996,387687719.77,2020-10-18 23:59:59.999
57,0.9996,0.9999,0.9969,0.9991,483747324.83,2020-10-25 23:59:59.999
58,0.9992,1.0,0.9988,0.9994,415939734.02,2020-11-01 23:59:59.999
59,0.9993,1.0,0.9982,0.9992,668869616.43,2020-11-08 23:59:59.999
60,0.9992,0.9997,0.9981,0.9993,594832315.93,2020-11-15 23:59:59.999
61,0.9993,0.9999,0.9985,0.9988,999109377.45,2020-11-22 23:59:59.999
62,0.9988,1.0009,0.9983,0.9992,1374959543.7,2020-11-29 23:59:59.999
63,0.9992,1.0002,0.9988,0.9994,1034714885.11,2020-12-06 23:59:59.999
64,0.9995,1.0007,0.9994,1.0003,860771472.67,2020-12-13 23:59:59.999
65,1.0003,1.0004,0.9987,0.9994,1349211033.02,2020-12-20 23:59:59.999
