,Open,High,Low,Close,Volume,Close time
0,0.07541,3.0,0.07541,1.4358,1147236683.0,2021-07-25 23:59:59.999
1,1.42817,1.6218,1.00001,1.145,592428068.0,2021-08-01 23:59:59.999
2,1.14316,1.31754,1.06589,1.26533,215282554.0,2021-08-08 23:59:59.999
3,1.26374,1.85,1.12,1.50038,410469258.0,2021-08-15 23:59:59.999
4,1.50282,3.38459,1.39437,3.13138,739302312.0,2021-08-22 23:59:59.999
5,3.13085,6.445,2.99832,4.847,933533977.2,2021-08-29 23:59:59.999
6,4.847,5.3,4.051,4.592,211974116.1,2021-09-05 23:59:59.999
7,4.592,4.907,2.898,3.73,264899408.8,2021-09-12 23:59:59.999
8,3.73,4.4,3.204,3.906,171511357.4,2021-09-19 23:59:59.999
9,3.907,3.927,2.724,2.933,123559538.9,2021-09-26 23:59:59.999
10,2.934,4.15,2.763,3.82,136940338.2,2021-10-03 23:59:59.999
11,3.82,3.984,3.261,3.285,91269002.8,2021-10-10 23:59:59.999
12,3.285,3.927,3.006,3.381,103598298.2,2021-10-17 23:59:59.999
13,3.381,4.153,3.272,3.773,80529592.9,2021-10-24 23:59:59.999
14,3.775,4.488,3.383,3.676,102062060.1,2021-10-31 23:59:59.999
15,3.677,4.38,3.544,3.904,95683095.3,2021-11-07 23:59:59.999
16,3.904,4.644,3.55,3.785,92312808.2,2021-11-14 23:59:59.999
17,3.785,3.819,2.91,3.253,43653888.7,2021-11-21 23:59:59.999
18,3.255,3.4,2.755,3.005,43091384.8,2021-11-28 23:59:59.999
19,3.002,3.52,1.885,2.213,74372035.1,2021-12-05 23:59:59.999
20,2.211,2.408,2.007,2.228,38807534.5,2021-12-12 23:59:59.999
21,2.228,2.241,1.902,1.978,26290947.7,2021-12-19 23:59:59.999
22,1.978,2.646,1.861,2.558,70970932.4,2021-12-26 23:59:59.999
23,2.559,2.985,2.324,2.46,70877525.5,2022-01-02 23:59:59.999
24,2.46,2.904,2.233,2.295,77444085.1,2022-01-09 23:59:59.999
25,2.296,2.563,2.063,2.452,40699839.2,2022-01-16 23:59:59.999
26,2.453,2.464,1.416,1.618,39075350.3,2022-01-23 23:59:59.999
27,1.618,1.883,1.34,1.581,47295687.9,2022-01-30 23:59:59.999
28,1.58,1.858,1.51,1.81,23083480.6,2022-02-06 23:59:59.999
29,1.81,2.098,1.602,1.615,48960887.8,2022-02-13 23:59:59.999
30,1.613,1.888,1.455,1.48,27947756.4,2022-02-20 23:59:59.999
31,1.48,1.537,1.081,1.258,36052876.2,2022-02-27 23:59:59.999
32,1.258,1.628,1.228,1.228,42636433.3,2022-03-06 23:59:59.999
33,1.233,1.355,1.156,1.164,25621723.2,2022-03-13 23:59:59.999
34,1.165,1.687,1.144,1.604,70231785.6,2022-03-20 23:59:59.999
35,1.607,1.7,1.501,1.691,43834856.1,2022-03-27 23:59:59.999
36,1.69,1.962,1.582,1.85,65477744.7,2022-04-03 23:59:59.999
37,1.851,1.875,1.48,1.511,36568495.8,2022-04-10 23:59:59.999
38,1.51,1.715,1.342,1.483,56455019.8,2022-04-17 23:59:59.999
39,1.483,1.628,1.4,1.44,28352735.9,2022-04-24 23:59:59.999
40,1.438,1.442,1.046,1.179,44397694.3,2022-05-01 23:59:59.999
41,1.18,1.265,1.005,1.027,27814261.9,2022-05-08 23:59:59.999
42,1.027,1.07,0.34,0.553,95700831.7,2022-05-15 23:59:59.999
43,0.552,0.674,0.448,0.603,96825528.9,2022-05-22 23:59:59.999
44,0.602,0.763,0.523,0.57,130610069.0,2022-05-29 23:59:59.999
45,0.571,0.865,0.562,0.636,109749529.1,2022-06-05 23:59:59.999
0,0.637,0.79,0.531,0.539,137547779.2,2022-06-12 23:59:59.999000
0,0.541,0.546,0.421,0.494,69330929.4,2022-06-19 23:59:59.999000
1,0.495,0.6,0.473,0.508,68074073.7,2022-06-26 23:59:59.999000
2,0.508,0.537,0.431,0.474,32888562.6,2022-07-03 23:59:59.999000
3,0.474,0.544,0.461,0.493,36908865.2,2022-07-10 23:59:59.999000
4,0.492,0.506,0.415,0.479,31029648.0,2022-07-17 23:59:59.999000
