,Open,High,Low,Close,Volume,Close time
0,1.588,4.12,1.588,2.14,23790755.15,2021-01-10 23:59:59.999
1,2.1534,2.2432,1.755,2.125,2588162.16,2021-01-17 23:59:59.999
2,2.125,3.85,2.0683,2.7848,39162624.81,2021-01-24 23:59:59.999
3,2.7848,3.5998,2.753,2.8041,16164929.21,2021-01-31 23:59:59.999
4,2.8042,3.85,2.765,3.6017,9802032.23,2021-02-07 23:59:59.999
5,3.6129,5.98,3.2902,4.3421,21945949.85,2021-02-14 23:59:59.999
6,4.3511,6.6,3.75,5.1249,17750957.53,2021-02-21 23:59:59.999
7,5.1249,5.1289,3.3565,3.818,4648496.38,2021-02-28 23:59:59.999
8,3.7991,4.2948,3.6003,3.8943,3755292.98,2021-03-07 23:59:59.999
9,3.8941,4.8,3.6991,3.856,7026314.93,2021-03-14 23:59:59.999
10,3.856,4.6,3.591,3.8941,8499454.41,2021-03-21 23:59:59.999
11,3.8857,4.252,3.2493,3.5692,9080025.39,2021-03-28 23:59:59.999
12,3.5692,5.0191,3.5499,4.416,13461316.67,2021-04-04 23:59:59.999
13,4.4132,4.8,4.2,4.6966,5463335.18,2021-04-11 23:59:59.999
14,4.7092,5.0298,3.7,4.0301,10067096.71,2021-04-18 23:59:59.999
15,4.0295,7.2537,3.786,5.6067,66351157.8,2021-04-25 23:59:59.999
16,5.6099,6.15,4.991,5.6155,19842218.79,2021-05-02 23:59:59.999
17,5.6215,5.8213,4.9596,5.2642,13719842.26,2021-05-09 23:59:59.999
18,5.2612,5.6,4.1689,4.6019,12683517.95,2021-05-16 23:59:59.999
19,4.6109,6.7,2.2,2.6379,34987689.82,2021-05-23 23:59:59.999
20,2.6397,3.977,2.4835,3.397,15034378.58,2021-05-30 23:59:59.999
21,3.397,3.8,3.1226,3.237,6127949.51,2021-06-06 23:59:59.999
22,3.2347,3.2867,2.4443,2.5886,12682700.37,2021-06-13 23:59:59.999
23,2.5861,2.8591,2.0996,2.3266,14488027.28,2021-06-20 23:59:59.999
24,2.3243,4.68,1.6501,3.47,70419101.89,2021-06-27 23:59:59.999
25,3.4676,3.97,2.8075,3.4172,40113553.47,2021-07-04 23:59:59.999
26,3.4201,3.4201,2.81,2.8882,16004169.66,2021-07-11 23:59:59.999
27,2.8883,3.1999,2.24,2.3187,8834674.85,2021-07-18 23:59:59.999
28,2.3187,2.7566,2.1,2.5342,16558166.06,2021-07-25 23:59:59.999
29,2.5342,2.8376,2.4339,2.6132,8032838.02,2021-08-01 23:59:59.999
30,2.6102,3.1783,2.5673,2.8186,24212507.97,2021-08-08 23:59:59.999
31,2.8197,3.3852,2.771,3.129,13997905.85,2021-08-15 23:59:59.999
32,3.1283,3.3,2.8355,3.2216,14072848.36,2021-08-22 23:59:59.999
33,3.2233,5.13,2.915,4.265,42876850.13,2021-08-29 23:59:59.999
34,4.264,10.957,4.05,5.472,134132905.7,2021-09-05 23:59:59.999
35,5.472,6.323,3.786,4.956,85015451.1,2021-09-12 23:59:59.999
36,4.958,6.22,4.236,5.936,59667150.2,2021-09-19 23:59:59.999
37,5.935,8.284,5.13,6.259,200319871.7,2021-09-26 23:59:59.999
38,6.253,7.016,5.51,6.31,64274404.4,2021-10-03 23:59:59.999
39,6.305,6.344,5.5,5.646,45719980.0,2021-10-10 23:59:59.999
40,5.653,6.6,5.1,6.149,42173636.3,2021-10-17 23:59:59.999
41,6.149,7.05,5.902,6.699,31224419.3,2021-10-24 23:59:59.999
42,6.693,7.865,6.0,6.236,48182468.1,2021-10-31 23:59:59.999
43,6.233,6.748,6.05,6.338,21258325.3,2021-11-07 23:59:59.999
44,6.338,6.776,5.409,5.827,22575639.8,2021-11-14 23:59:59.999
45,5.823,6.22,4.811,5.788,25465269.2,2021-11-21 23:59:59.999
46,5.798,6.219,4.486,4.884,35627578.5,2021-11-28 23:59:59.999
47,4.882,5.268,3.079,3.739,31708294.7,2021-12-05 23:59:59.999
48,3.739,4.758,3.383,3.842,33807994.9,2021-12-12 23:59:59.999
49,3.842,4.25,3.234,4.088,36842040.2,2021-12-19 23:59:59.999
50,4.08,5.185,3.839,5.114,36099493.6,2021-12-26 23:59:59.999
51,5.118,5.4,4.358,5.088,22434957.6,2022-01-02 23:59:59.999
52,5.08,6.05,4.38,4.669,42511214.4,2022-01-09 23:59:59.999
53,4.662,5.368,4.144,4.988,38014648.4,2022-01-16 23:59:59.999
54,4.994,5.018,3.011,3.336,41168890.8,2022-01-23 23:59:59.999
55,3.337,3.36,2.891,3.028,28426001.4,2022-01-30 23:59:59.999
56,3.026,3.428,2.896,3.363,23815374.0,2022-02-06 23:59:59.999
57,3.364,3.752,2.895,2.922,37339797.6,2022-02-13 23:59:59.999
58,2.922,3.199,2.484,2.559,24807190.67,2022-02-20 23:59:59.999
59,2.563,2.707,2.05,2.358,40777969.47,2022-02-27 23:59:59.999
60,2.361,2.904,2.329,2.556,56759545.4,2022-03-06 23:59:59.999
61,2.556,3.007,2.504,2.54,55027320.3,2022-03-13 23:59:59.999
62,2.54,4.0,2.361,2.873,99414212.7,2022-03-20 23:59:59.999
63,2.874,3.333,2.773,3.313,47946867.1,2022-03-27 23:59:59.999
64,3.311,3.905,3.18,3.812,71431767.3,2022-04-03 23:59:59.999
65,3.812,5.218,3.375,3.44,135632831.8,2022-04-10 23:59:59.999
66,3.44,3.459,3.002,3.017,40944030.4,2022-04-17 23:59:59.999
67,3.017,3.364,2.857,2.881,42603481.8,2022-04-24 23:59:59.999
68,2.881,3.032,2.257,2.477,46503093.3,2022-05-01 23:59:59.999
69,2.475,2.699,2.112,2.301,52346617.8,2022-05-08 23:59:59.999
70,2.301,2.362,1.202,1.605,143220304.79,2022-05-15 23:59:59.999
