,Open,High,Low,Close,Volume,Close time
0,1.289,1.85,1.001,1.138,103229575.369,2021-04-04 23:59:59.999
1,1.137,1.371,1.074,1.207,53177802.293,2021-04-11 23:59:59.999
2,1.206,1.264,0.8,0.972,45595963.975,2021-04-18 23:59:59.999
3,0.97,1.2,0.779,0.861,45290074.16,2021-04-25 23:59:59.999
4,0.862,1.13,0.86,0.94,52333828.073,2021-05-02 23:59:59.999
5,0.941,1.07,0.845,0.884,58785132.316,2021-05-09 23:59:59.999
6,0.884,0.991,0.683,0.716,53267276.429,2021-05-16 23:59:59.999
7,0.717,0.717,0.185,0.325,55489416.164,2021-05-23 23:59:59.999
8,0.325,0.429,0.295,0.326,30474420.842,2021-05-30 23:59:59.999
9,0.326,0.522,0.309,0.419,66179081.411,2021-06-06 23:59:59.999
10,0.419,0.429,0.309,0.336,27897460.194,2021-06-13 23:59:59.999
11,0.336,0.35,0.253,0.268,25731524.151,2021-06-20 23:59:59.999
12,0.268,0.316,0.169,0.261,117343448.685,2021-06-27 23:59:59.999
13,0.261,0.277,0.227,0.253,32682584.033,2021-07-04 23:59:59.999
14,0.252,0.289,0.234,0.242,30437586.892,2021-07-11 23:59:59.999
15,0.242,0.246,0.2,0.202,25384128.899,2021-07-18 23:59:59.999
16,0.201,0.239,0.179,0.222,36367981.499,2021-07-25 23:59:59.999
17,0.222,0.233,0.201,0.211,36957467.989,2021-08-01 23:59:59.999
18,0.211,0.407,0.197,0.294,225797957.336,2021-08-08 23:59:59.999
19,0.294,0.408,0.279,0.37,196830230.281,2021-08-15 23:59:59.999
20,0.37,0.394,0.288,0.315,101906497.453,2021-08-22 23:59:59.999
21,0.316,0.376,0.27,0.3129,194407074.403,2021-08-29 23:59:59.999
22,0.313,0.3499,0.286,0.336,165841322.732,2021-09-05 23:59:59.999
23,0.3364,0.399,0.2269,0.2691,220847271.75,2021-09-12 23:59:59.999
24,0.269,0.8389,0.2358,0.5447,1433599032.101,2021-09-19 23:59:59.999
25,0.5451,0.5555,0.2891,0.3162,706336914.0,2021-09-26 23:59:59.999
26,0.3162,0.388,0.2866,0.3445,459124568.0,2021-10-03 23:59:59.999
27,0.3445,0.395,0.3119,0.3548,398094302.0,2021-10-10 23:59:59.999
28,0.3554,0.4238,0.3005,0.3375,373306350.0,2021-10-17 23:59:59.999
29,0.3376,0.3598,0.3241,0.3286,131499544.0,2021-10-24 23:59:59.999
30,0.3286,0.35,0.2897,0.3154,168727479.0,2021-10-31 23:59:59.999
31,0.3154,0.3795,0.3065,0.3416,222059188.0,2021-11-07 23:59:59.999
32,0.3416,0.3449,0.2945,0.3144,122364258.0,2021-11-14 23:59:59.999
33,0.3144,0.319,0.2557,0.2976,113387272.0,2021-11-21 23:59:59.999
34,0.2973,0.354,0.2643,0.2858,223852277.0,2021-11-28 23:59:59.999
35,0.286,0.3282,0.1753,0.2177,206789513.726,2021-12-05 23:59:59.999
36,0.2181,0.2647,0.1944,0.2183,150459709.0,2021-12-12 23:59:59.999
37,0.2191,0.3043,0.1845,0.2222,385281180.0,2021-12-19 23:59:59.999
38,0.2224,0.243,0.207,0.2277,92951962.0,2021-12-26 23:59:59.999
39,0.2275,0.2439,0.193,0.2264,94854698.0,2022-01-02 23:59:59.999
40,0.2265,0.2385,0.1727,0.1826,81527710.0,2022-01-09 23:59:59.999
41,0.1827,0.1919,0.1695,0.1855,53172235.0,2022-01-16 23:59:59.999
42,0.1858,0.1889,0.0931,0.1078,114411923.148,2022-01-23 23:59:59.999
43,0.1075,0.1188,0.0912,0.1088,99729219.0,2022-01-30 23:59:59.999
44,0.109,0.1769,0.1045,0.1428,467204078.0,2022-02-06 23:59:59.999
45,0.1428,0.152,0.12,0.1209,174547830.0,2022-02-13 23:59:59.999
46,0.1209,0.1383,0.1055,0.1096,71076926.0,2022-02-20 23:59:59.999
47,0.1096,0.1845,0.0998,0.1394,484760199.0,2022-02-27 23:59:59.999
48,0.1392,0.182,0.1181,0.1205,247837342.0,2022-03-06 23:59:59.999
49,0.1205,0.1377,0.1141,0.1178,144707154.0,2022-03-13 23:59:59.999
50,0.1179,0.157,0.1125,0.1274,158442607.0,2022-03-20 23:59:59.999
51,0.1273,0.159,0.1237,0.1524,284069055.0,2022-03-27 23:59:59.999
52,0.1524,0.2488,0.1513,0.1682,885593489.0,2022-04-03 23:59:59.999
53,0.1682,0.1864,0.1509,0.1663,258845726.0,2022-04-10 23:59:59.999
54,0.1661,0.213,0.1531,0.1913,432992144.0,2022-04-17 23:59:59.999
55,0.1912,0.2142,0.159,0.1619,236187394.0,2022-04-24 23:59:59.999
56,0.162,0.169,0.1318,0.1366,122292947.0,2022-05-01 23:59:59.999
57,0.1365,0.1493,0.1166,0.1172,162967366.0,2022-05-08 23:59:59.999
58,0.1173,0.1187,0.071,0.0877,200701960.0,2022-05-15 23:59:59.999
59,0.0878,0.097,0.0801,0.0952,121514467.0,2022-05-22 23:59:59.999
60,0.0951,0.1011,0.082,0.0849,155230910.0,2022-05-29 23:59:59.999
61,0.085,0.0888,0.0772,0.08,121440736.0,2022-06-05 23:59:59.999
