,Open,High,Low,Close,Volume,Close time
0,2.721,9.2,2.721,3.425,47365370.9,2021-10-24 23:59:59.999
1,3.425,4.1,2.789,2.92,33922006.9,2021-10-31 23:59:59.999
2,2.927,3.79,2.8,2.88,16612560.5,2021-11-07 23:59:59.999
3,2.885,3.05,2.322,2.53,12020486.9,2021-11-14 23:59:59.999
4,2.528,6.1,1.744,3.564,109913873.8,2021-11-21 23:59:59.999
5,3.567,4.239,2.145,2.879,175186413.3,2021-11-28 23:59:59.999
6,2.879,2.974,1.648,2.398,68520594.3,2021-12-05 23:59:59.999
7,2.395,2.439,1.745,1.936,33396919.5,2021-12-12 23:59:59.999
8,1.936,2.21,1.685,1.919,37418061.4,2021-12-19 23:59:59.999
9,1.919,2.139,1.707,1.949,23753114.1,2021-12-26 23:59:59.999
10,1.941,2.45,1.721,2.172,34316137.4,2022-01-02 23:59:59.999
11,2.166,2.764,1.67,1.792,59243670.0,2022-01-09 23:59:59.999
12,1.792,1.983,1.595,1.719,19958996.7,2022-01-16 23:59:59.999
13,1.719,1.726,0.913,1.057,20240847.6,2022-01-23 23:59:59.999
14,1.057,1.07,0.836,0.978,25567336.0,2022-01-30 23:59:59.999
15,0.979,1.56,0.907,1.163,83191287.8,2022-02-06 23:59:59.999
16,1.164,1.308,0.982,1.044,34673965.0,2022-02-13 23:59:59.999
17,1.045,1.27,0.839,0.859,22811735.1,2022-02-20 23:59:59.999
18,0.859,0.963,0.743,0.806,23998176.1,2022-02-27 23:59:59.999
19,0.805,0.956,0.747,0.775,34451089.0,2022-03-06 23:59:59.999
20,0.774,0.865,0.728,0.751,31230929.1,2022-03-13 23:59:59.999
21,0.751,1.13,0.711,0.851,88897726.0,2022-03-20 23:59:59.999
22,0.852,1.038,0.8,0.951,62840902.0,2022-03-27 23:59:59.999
23,0.952,1.249,0.885,1.094,73803349.4,2022-04-03 23:59:59.999
24,1.095,1.097,0.829,0.882,35033569.5,2022-04-10 23:59:59.999
25,0.882,0.884,0.752,0.771,21730289.8,2022-04-17 23:59:59.999
26,0.77,0.843,0.71,0.713,15888637.8,2022-04-24 23:59:59.999
27,0.712,0.789,0.555,0.576,25807839.4,2022-05-01 23:59:59.999
28,0.576,0.612,0.461,0.471,11538658.8,2022-05-08 23:59:59.999
29,0.471,0.476,0.204,0.292,37385517.5,2022-05-15 23:59:59.999
30,0.291,0.358,0.27,0.338,45284796.9,2022-05-22 23:59:59.999
31,0.338,0.515,0.273,0.323,164639253.4,2022-05-29 23:59:59.999
32,0.322,0.384,0.291,0.32,36250437.3,2022-06-05 23:59:59.999
