,Open,High,Low,Close,Volume,Close time
0,14.44,53.0,14.23,14.83,5359111.57,2021-11-14 23:59:59.999
1,14.85,15.5,12.6,13.11,1701602.57,2021-11-21 23:59:59.999
2,13.11,14.23,10.9,11.41,1540426.22,2021-11-28 23:59:59.999
3,11.43,12.1,8.5,9.98,3049378.56,2021-12-05 23:59:59.999
4,9.97,12.73,9.28,10.33,2671653.17,2021-12-12 23:59:59.999
5,10.33,10.44,8.41,8.58,782973.34,2021-12-19 23:59:59.999
6,8.58,12.0,7.95,11.25,2361477.14,2021-12-26 23:59:59.999
7,11.25,11.9,9.88,10.51,566813.51,2022-01-02 23:59:59.999
8,10.5,10.92,9.67,9.85,691160.6,2022-01-09 23:59:59.999
9,9.87,10.8,9.52,10.52,644927.4,2022-01-16 23:59:59.999
10,10.53,10.75,8.38,8.96,566730.98,2022-01-23 23:59:59.999
11,8.94,10.23,8.1,9.32,478219.65,2022-01-30 23:59:59.999
12,9.35,10.35,9.12,10.26,427202.57,2022-02-06 23:59:59.999
13,10.29,11.39,9.92,11.07,1094759.7,2022-02-13 23:59:59.999
14,11.07,11.86,9.22,9.77,929681.06,2022-02-20 23:59:59.999
15,9.79,10.3,8.21,9.35,815107.42,2022-02-27 23:59:59.999
16,9.34,11.57,9.14,10.3,1706454.17,2022-03-06 23:59:59.999
17,10.31,14.2,10.0,11.77,4364882.61,2022-03-13 23:59:59.999
18,11.77,13.08,11.01,12.22,1865668.68,2022-03-20 23:59:59.999
19,12.2,15.28,12.12,14.36,2276241.88,2022-03-27 23:59:59.999
20,14.36,18.47,14.23,17.59,1730912.21,2022-04-03 23:59:59.999
21,17.56,18.1,14.7,15.66,1863480.3,2022-04-10 23:59:59.999
22,15.67,16.29,14.7,14.87,1060521.07,2022-04-17 23:59:59.999
23,14.83,15.26,12.95,13.07,1052908.65,2022-04-24 23:59:59.999
24,13.05,13.46,11.11,11.61,2681800.2,2022-05-01 23:59:59.999
25,11.62,12.85,8.01,8.1,5130800.38,2022-05-08 23:59:59.999
26,8.11,8.34,3.53,4.99,2970937.1,2022-05-15 23:59:59.999
27,4.98,8.15,4.46,5.97,6556741.42,2022-05-22 23:59:59.999
28,5.97,6.88,4.86,5.37,3051442.21,2022-05-29 23:59:59.999
29,5.36,5.82,5.09,5.42,1612284.01,2022-06-05 23:59:59.999
0,5.41,6.02,4.57,4.64,1959293.73,2022-06-12 23:59:59.999000
