,Open,High,Low,Close,Volume,Close time
0,1.209,2.485,1.086,1.112,101771003.6,2021-08-01 23:59:59.999
1,1.115,1.22,0.956,1.018,53299525.7,2021-08-08 23:59:59.999
2,1.02,1.888,1.0,1.546,160495604.8,2021-08-15 23:59:59.999
3,1.546,1.969,1.468,1.513,76029936.3,2021-08-22 23:59:59.999
4,1.513,1.749,1.338,1.607,85759743.0,2021-08-29 23:59:59.999
5,1.609,2.177,1.547,1.701,128089018.5,2021-09-05 23:59:59.999
6,1.702,1.775,1.101,1.535,88926150.6,2021-09-12 23:59:59.999
7,1.535,1.588,1.263,1.304,52811700.5,2021-09-19 23:59:59.999
8,1.306,1.348,0.954,1.041,48938921.1,2021-09-26 23:59:59.999
9,1.042,1.246,0.9,1.156,50259835.7,2021-10-03 23:59:59.999
10,1.155,1.37,1.022,1.183,64544178.4,2021-10-10 23:59:59.999
11,1.182,1.545,1.082,1.332,82129706.6,2021-10-17 23:59:59.999
12,1.33,1.358,1.162,1.183,28898698.7,2021-10-24 23:59:59.999
13,1.185,1.275,1.06,1.201,33967844.4,2021-10-31 23:59:59.999
14,1.201,1.6,1.137,1.419,69066276.1,2021-11-07 23:59:59.999
15,1.42,1.451,1.165,1.218,39202637.3,2021-11-14 23:59:59.999
16,1.221,1.35,1.049,1.204,39903351.4,2021-11-21 23:59:59.999
17,1.206,1.347,1.014,1.162,51976715.1,2021-11-28 23:59:59.999
18,1.162,1.18,0.735,0.856,34771238.3,2021-12-05 23:59:59.999
19,0.856,1.145,0.689,0.965,155686962.3,2021-12-12 23:59:59.999
20,0.965,0.99,0.727,0.766,55518620.3,2021-12-19 23:59:59.999
21,0.764,0.867,0.72,0.808,28705713.0,2021-12-26 23:59:59.999
22,0.808,0.835,0.693,0.743,30615764.9,2022-01-02 23:59:59.999
23,0.743,0.743,0.557,0.587,25350781.2,2022-01-09 23:59:59.999
24,0.587,0.799,0.533,0.625,84878075.0,2022-01-16 23:59:59.999
25,0.624,0.648,0.351,0.411,68965556.3,2022-01-23 23:59:59.999
26,0.411,0.429,0.313,0.337,64835893.2,2022-01-30 23:59:59.999
27,0.336,0.391,0.315,0.385,50416983.8,2022-02-06 23:59:59.999
28,0.384,0.64,0.366,0.403,327388285.9,2022-02-13 23:59:59.999
29,0.403,0.442,0.347,0.352,91358242.6,2022-02-20 23:59:59.999
30,0.353,0.381,0.278,0.318,89135424.6,2022-02-27 23:59:59.999
31,0.318,0.409,0.31,0.334,68444053.2,2022-03-06 23:59:59.999
32,0.334,0.339,0.294,0.297,51915690.1,2022-03-13 23:59:59.999
33,0.296,0.373,0.291,0.326,60865248.5,2022-03-20 23:59:59.999
34,0.326,0.402,0.314,0.376,118507996.3,2022-03-27 23:59:59.999
35,0.376,0.619,0.373,0.507,260901197.7,2022-04-03 23:59:59.999
36,0.506,0.534,0.356,0.357,117857841.5,2022-04-10 23:59:59.999
37,0.357,0.369,0.316,0.332,60027688.6,2022-04-17 23:59:59.999
38,0.331,0.366,0.319,0.32,41858556.9,2022-04-24 23:59:59.999
39,0.32,0.329,0.25,0.27,40195816.6,2022-05-01 23:59:59.999
40,0.27,0.3,0.243,0.246,27357737.7,2022-05-08 23:59:59.999
41,0.246,0.252,0.1,0.156,70867548.2,2022-05-15 23:59:59.999
42,0.156,0.215,0.138,0.153,67629489.1,2022-05-22 23:59:59.999
43,0.153,0.159,0.125,0.138,41228122.4,2022-05-29 23:59:59.999
44,0.138,0.176,0.131,0.134,43942968.6,2022-06-05 23:59:59.999
0,0.135,0.148,0.101,0.104,57763757.4,2022-06-12 23:59:59.999000
0,0.104,0.127,0.084,0.093,112849476.5,2022-06-19 23:59:59.999000
1,0.093,0.112,0.088,0.1,77012411.7,2022-06-26 23:59:59.999000
2,0.1,0.107,0.08579,0.08938,100476837.0,2022-07-03 23:59:59.999000
3,0.08939,0.1016,0.08684,0.09216,108820525.8,2022-07-10 23:59:59.999000
4,0.09207,0.09934,0.0817,0.09238,108737766.1,2022-07-17 23:59:59.999000
