,Open,High,Low,Close,Volume,Close time
0,209.18,269.0,202.97,245.45,89998.21267,2020-06-28 23:59:59.999
1,245.3,245.99,163.43,201.66,153099.01241,2020-07-05 23:59:59.999
2,200.85,204.23,167.0,176.07,141822.92234,2020-07-12 23:59:59.999
3,176.07,178.8,152.23,163.61,146141.57383,2020-07-19 23:59:59.999
4,163.6,174.04,153.16,157.45,167557.55695,2020-07-26 23:59:59.999
5,157.47,158.52,110.0,127.39,225527.19394,2020-08-02 23:59:59.999
6,127.48,175.0,124.69,170.89,282497.71742,2020-08-09 23:59:59.999
7,170.91,267.5,153.26,201.08,902586.63984,2020-08-16 23:59:59.999
8,201.4,211.6,160.34,169.18,450283.28845,2020-08-23 23:59:59.999
9,169.29,224.66,161.0,216.72,339431.67973,2020-08-30 23:59:59.999
10,216.6,272.61,145.2,170.85,576357.12115,2020-09-06 23:59:59.999
11,170.85,186.82,153.72,165.09,251946.40677,2020-09-13 23:59:59.999
12,165.01,170.74,140.33,144.62,185692.76888,2020-09-20 23:59:59.999
13,144.55,147.76,124.15,139.08,200444.19774,2020-09-27 23:59:59.999
14,139.29,141.53,116.57,119.46,157929.83178,2020-10-04 23:59:59.999
15,119.39,125.0,101.16,115.55,358156.77525,2020-10-11 23:59:59.999
16,115.79,120.86,99.35,104.89,180680.50046,2020-10-18 23:59:59.999
17,104.74,107.82,92.72,101.2,150590.49978,2020-10-25 23:59:59.999
18,101.2,120.89,88.29,93.84,288764.18262,2020-11-01 23:59:59.999
19,93.97,111.8,80.62,97.13,272970.35355,2020-11-08 23:59:59.999
20,97.07,130.4,93.07,120.2,373131.07419,2020-11-15 23:59:59.999
21,119.86,129.0,107.01,116.88,328647.49349,2020-11-22 23:59:59.999
22,116.95,139.78,98.5,110.49,365566.69273,2020-11-29 23:59:59.999
23,110.62,147.76,100.32,137.01,545940.31357,2020-12-06 23:59:59.999
24,137.16,179.48,135.0,147.36,712145.21348,2020-12-13 23:59:59.999
25,147.12,178.99,143.54,153.67,404940.91986,2020-12-20 23:59:59.999
26,153.53,155.57,122.0,131.15,212502.67511,2020-12-27 23:59:59.999
27,131.46,159.0,129.84,146.9,350114.31557,2021-01-03 23:59:59.999
28,146.92,208.97,137.0,194.39,459618.064,2021-01-10 23:59:59.999
29,194.55,229.0,147.51,216.96,447098.47324,2021-01-17 23:59:59.999
30,217.14,253.04,165.47,250.06,300004.45427,2021-01-24 23:59:59.999
31,250.38,349.0,205.16,347.19,456962.9072,2021-01-31 23:59:59.999
32,347.46,553.99,330.85,457.41,523633.69855,2021-02-07 23:59:59.999
33,457.41,573.0,436.01,471.27,489374.23581,2021-02-14 23:59:59.999
34,471.31,508.39,399.79,453.06,350772.35507,2021-02-21 23:59:59.999
35,453.51,470.7,322.15,405.12,515848.02383,2021-02-28 23:59:59.999
36,404.86,536.2,404.83,490.35,298275.5594,2021-03-07 23:59:59.999
37,490.77,505.52,413.15,438.13,193251.04983,2021-03-14 23:59:59.999
38,437.89,451.82,400.0,403.3,158714.70563,2021-03-21 23:59:59.999
39,403.43,424.24,330.0,362.24,232933.2913,2021-03-28 23:59:59.999
40,362.23,562.85,357.54,548.13,346985.32866,2021-04-04 23:59:59.999
41,548.44,556.0,434.66,458.84,314092.65024,2021-04-11 23:59:59.999
42,458.89,619.0,411.37,487.73,550092.85499,2021-04-18 23:59:59.999
43,487.71,665.69,423.39,553.46,899774.02279,2021-04-25 23:59:59.999
44,553.95,879.0,550.0,804.74,554514.86781,2021-05-02 23:59:59.999
45,805.03,850.0,692.98,770.7,409375.82236,2021-05-09 23:59:59.999
46,771.3,911.0,630.17,684.05,560379.93009,2021-05-16 23:59:59.999
47,684.6,726.37,267.55,339.79,722511.81336,2021-05-23 23:59:59.999
48,340.34,464.76,328.44,406.25,403692.84914,2021-05-30 23:59:59.999
49,405.51,459.64,376.8,388.28,235640.17647,2021-06-06 23:59:59.999
50,388.3,412.38,278.66,324.15,290918.7445,2021-06-13 23:59:59.999
51,324.22,349.0,259.57,293.66,220569.81953,2021-06-20 23:59:59.999
52,293.66,295.93,196.46,257.39,447238.6501,2021-06-27 23:59:59.999
53,257.4,464.72,248.79,443.98,1021950.16407,2021-07-04 23:59:59.999
54,443.72,530.98,386.7,436.65,1141892.94749,2021-07-11 23:59:59.999
55,436.62,444.52,358.51,379.37,508753.37328,2021-07-18 23:59:59.999
56,379.41,428.5,310.0,391.35,609376.65293,2021-07-25 23:59:59.999
57,391.12,438.32,375.7,409.03,464821.52675,2021-08-01 23:59:59.999
58,409.07,512.71,385.23,467.09,528166.76246,2021-08-08 23:59:59.999
59,466.99,497.89,440.18,488.95,390666.44071,2021-08-15 23:59:59.999
60,488.77,529.53,419.29,459.89,582047.70672,2021-08-22 23:59:59.999
61,459.71,484.99,389.7,418.5,397452.08685,2021-08-29 23:59:59.999
62,418.9,527.5,405.4,510.9,564409.31346,2021-09-05 23:59:59.999
63,511.2,528.6,350.2,403.7,459098.20766,2021-09-12 23:59:59.999
64,403.2,459.4,360.0,393.1,333833.925,2021-09-19 23:59:59.999
65,393.2,394.1,301.7,355.0,391321.66536,2021-09-26 23:59:59.999
66,354.6,375.2,279.9,326.7,629145.67177,2021-10-03 23:59:59.999
67,326.7,335.9,286.3,303.5,652086.288,2021-10-10 23:59:59.999
68,303.3,330.7,287.1,310.7,384801.297,2021-10-17 23:59:59.999
69,310.7,335.2,298.7,308.4,433162.751,2021-10-24 23:59:59.999
70,308.6,361.4,291.6,346.2,799721.671,2021-10-31 23:59:59.999
71,346.3,400.0,325.2,362.6,716203.526,2021-11-07 23:59:59.999
72,362.5,371.2,305.0,346.2,434922.714,2021-11-14 23:59:59.999
73,346.3,355.4,286.0,304.3,344613.082,2021-11-21 23:59:59.999
74,304.3,305.2,242.0,287.6,417833.97293,2021-11-28 23:59:59.999
75,287.2,297.0,185.0,211.4,282641.70327,2021-12-05 23:59:59.999
76,211.6,230.6,180.1,198.6,434027.708,2021-12-12 23:59:59.999
77,198.5,216.1,174.7,194.8,448370.20709,2021-12-19 23:59:59.999
78,194.7,241.5,181.6,234.8,412344.373,2021-12-26 23:59:59.999
79,234.9,249.0,192.9,210.4,387756.003,2022-01-02 23:59:59.999
80,210.3,244.8,180.6,194.0,531876.97,2022-01-09 23:59:59.999
81,193.9,202.4,175.2,191.2,232518.288,2022-01-16 23:59:59.999
82,191.2,191.8,110.2,128.4,384864.81391,2022-01-23 23:59:59.999
83,128.2,136.7,109.3,117.8,382341.006,2022-01-30 23:59:59.999
84,117.7,143.2,112.8,141.0,390922.361,2022-02-06 23:59:59.999
85,141.0,153.0,122.4,124.1,413032.143,2022-02-13 23:59:59.999
86,124.1,137.9,112.2,114.7,196480.873,2022-02-20 23:59:59.999
87,114.8,120.0,93.3,107.1,355191.495,2022-02-27 23:59:59.999
88,107.0,128.3,100.8,101.1,303639.114,2022-03-06 23:59:59.999
89,101.1,112.1,97.6,99.0,199910.46,2022-03-13 23:59:59.999
90,99.0,124.4,98.2,115.2,301493.201,2022-03-20 23:59:59.999
91,115.3,126.2,111.8,126.0,585098.438,2022-03-27 23:59:59.999
92,126.0,174.8,121.0,171.7,1819863.26,2022-04-03 23:59:59.999
93,171.7,171.7,131.5,134.0,504026.907,2022-04-10 23:59:59.999
94,134.0,156.5,115.7,141.8,783074.105,2022-04-17 23:59:59.999
95,141.7,149.4,128.6,129.4,466417.028,2022-04-24 23:59:59.999
96,129.3,134.0,101.0,105.7,372268.77,2022-05-01 23:59:59.999
97,105.7,117.2,94.8,97.5,352440.071,2022-05-08 23:59:59.999
98,97.5,99.6,53.6,74.9,1178672.8447,2022-05-15 23:59:59.999
99,74.8,75.5,61.4,70.5,454521.781,2022-05-22 23:59:59.999
100,70.4,75.2,54.3,57.0,810404.069,2022-05-29 23:59:59.999
101,57.0,70.1,54.9,58.0,836316.2,2022-06-05 23:59:59.999
0,58.0,61.8,40.6,41.1,707680.192,2022-06-12 23:59:59.999000
