,Open,High,Low,Close,Volume,Close time
0,0.1598,0.1688,0.095,0.096,21537753.4,2019-11-24 23:59:59.999
1,0.096,0.1087,0.0804,0.0956,22097014.01,2019-12-01 23:59:59.999
2,0.0955,0.1049,0.0747,0.0819,9416074.84,2019-12-08 23:59:59.999
3,0.081,0.0819,0.0658,0.0686,6874410.63,2019-12-15 23:59:59.999
4,0.0686,0.078,0.0563,0.0761,4938189.28,2019-12-22 23:59:59.999
5,0.0751,0.0842,0.0621,0.0635,8119844.57,2019-12-29 23:59:59.999
6,0.0633,0.0711,0.0605,0.0668,3405099.45,2020-01-05 23:59:59.999
7,0.067,0.0737,0.0633,0.0701,3686811.15,2020-01-12 23:59:59.999
8,0.0703,0.0787,0.0476,0.0712,3878529.14,2020-01-19 23:59:59.999
9,0.0711,0.0732,0.0666,0.0706,2833850.86,2020-01-26 23:59:59.999
10,0.071,0.0897,0.0705,0.084,5988743.91,2020-02-02 23:59:59.999
11,0.084,0.1199,0.0806,0.1103,8578188.35,2020-02-09 23:59:59.999
12,0.1106,0.1292,0.0865,0.1015,10222949.14,2020-02-16 23:59:59.999
13,0.1005,0.1043,0.084,0.0917,4446102.63,2020-02-23 23:59:59.999
14,0.0921,0.0999,0.0705,0.074,6581526.03,2020-03-01 23:59:59.999
15,0.074,0.0881,0.0668,0.0671,5546066.98,2020-03-08 23:59:59.999
16,0.0672,0.0728,0.0251,0.043,6642475.67,2020-03-15 23:59:59.999
17,0.0422,0.0599,0.0325,0.0444,9654119.63,2020-03-22 23:59:59.999
18,0.0444,0.1189,0.0437,0.0719,57788751.87,2020-03-29 23:59:59.999
19,0.0715,0.1063,0.0709,0.086,34688463.64,2020-04-05 23:59:59.999
20,0.086,0.0949,0.0804,0.0829,12963082.65,2020-04-12 23:59:59.999
21,0.0829,0.1038,0.0787,0.0922,28496580.1,2020-04-19 23:59:59.999
22,0.0918,0.095,0.0811,0.0898,8577874.52,2020-04-26 23:59:59.999
23,0.0902,0.095,0.0868,0.0928,6789964.83,2020-05-03 23:59:59.999
24,0.0931,0.0992,0.0768,0.0803,6817795.08,2020-05-10 23:59:59.999
25,0.0808,0.096,0.0759,0.0884,7237816.91,2020-05-17 23:59:59.999
26,0.089,0.1033,0.0842,0.0885,8893416.14,2020-05-24 23:59:59.999
27,0.088,0.145,0.0875,0.1011,35030163.8,2020-05-31 23:59:59.999
28,0.1005,0.33,0.0986,0.1168,39220616.04,2020-06-07 23:59:59.999
29,0.1168,0.1229,0.0973,0.1037,14639021.17,2020-06-14 23:59:59.999
30,0.1037,0.1076,0.0923,0.1015,7817172.99,2020-06-21 23:59:59.999
31,0.101,0.1437,0.0984,0.1111,53730154.65,2020-06-28 23:59:59.999
32,0.1109,0.1129,0.0994,0.1055,14009974.84,2020-07-05 23:59:59.999
33,0.1053,0.138,0.1048,0.1174,22462388.39,2020-07-12 23:59:59.999
34,0.1175,0.122,0.1073,0.1195,9274399.16,2020-07-19 23:59:59.999
35,0.1198,0.1405,0.1145,0.1168,24300258.25,2020-07-26 23:59:59.999
36,0.1169,0.1297,0.1002,0.1066,19444040.7,2020-08-02 23:59:59.999
37,0.1065,0.141,0.1052,0.1362,32387611.81,2020-08-09 23:59:59.999
38,0.1363,0.1524,0.1293,0.1373,35274210.9,2020-08-16 23:59:59.999
39,0.1377,0.1563,0.1269,0.1443,32847994.47,2020-08-23 23:59:59.999
40,0.1442,0.1831,0.1343,0.1554,44228512.93,2020-08-30 23:59:59.999
41,0.1559,0.1698,0.0924,0.1014,28681957.41,2020-09-06 23:59:59.999
42,0.1014,0.1195,0.0919,0.1063,14972758.89,2020-09-13 23:59:59.999
43,0.1063,0.1113,0.0947,0.1023,21912660.24,2020-09-20 23:59:59.999
44,0.1024,0.106,0.086,0.0969,8331484.4,2020-09-27 23:59:59.999
45,0.0975,0.0993,0.0864,0.0898,3457190.13,2020-10-04 23:59:59.999
46,0.0899,0.0946,0.0703,0.0927,3263086.58,2020-10-11 23:59:59.999
47,0.0921,0.1031,0.0855,0.0889,3897560.7,2020-10-18 23:59:59.999
48,0.089,0.0916,0.0851,0.0853,2913603.99,2020-10-25 23:59:59.999
49,0.0852,0.1,0.0727,0.0792,14301820.87,2020-11-01 23:59:59.999
50,0.0793,0.085,0.072,0.0798,9843763.8,2020-11-08 23:59:59.999
51,0.0798,0.0944,0.0756,0.0767,9726610.28,2020-11-15 23:59:59.999
52,0.0766,0.0916,0.075,0.0829,13300876.46,2020-11-22 23:59:59.999
53,0.0833,0.1,0.0771,0.085,23258985.14,2020-11-29 23:59:59.999
54,0.0852,0.088,0.0771,0.0841,8200767.5,2020-12-06 23:59:59.999
55,0.0841,0.11,0.0776,0.0844,25459338.75,2020-12-13 23:59:59.999
56,0.0844,0.097,0.0809,0.089,17516443.35,2020-12-20 23:59:59.999
57,0.0891,0.0899,0.0612,0.0713,9285567.01,2020-12-27 23:59:59.999
58,0.0713,0.0922,0.0695,0.0786,25525418.78,2021-01-03 23:59:59.999
59,0.0784,0.3,0.0712,0.1665,339328537.93,2021-01-10 23:59:59.999
60,0.1665,0.1673,0.0975,0.1163,159938989.61,2021-01-17 23:59:59.999
61,0.1164,0.12,0.089,0.106,27498139.56,2021-01-24 23:59:59.999
62,0.1064,0.1643,0.0947,0.1284,87424767.29,2021-01-31 23:59:59.999
63,0.129,0.152,0.117,0.1346,73563866.37,2021-02-07 23:59:59.999
