,Open,High,Low,Close,Volume,Close time
0,0.048,0.04998,0.03781,0.0411,7706430.9,2019-09-01 23:59:59.999
1,0.04125,0.04806,0.03732,0.04188,4883201.1,2019-09-08 23:59:59.999
2,0.04185,0.04997,0.04102,0.04447,8793394.3,2019-09-15 23:59:59.999
3,0.04446,0.051,0.04155,0.04662,4346665.7,2019-09-22 23:59:59.999
4,0.04662,0.04694,0.0327,0.03532,4330647.7,2019-09-29 23:59:59.999
5,0.03596,0.04352,0.03437,0.04013,5342795.5,2019-10-06 23:59:59.999
6,0.04038,0.0477,0.03864,0.03948,7851876.0,2019-10-13 23:59:59.999
7,0.03948,0.04329,0.0367,0.0386,3398183.8,2019-10-20 23:59:59.999
8,0.0386,0.04499,0.03522,0.04264,7804165.7,2019-10-27 23:59:59.999
9,0.04288,0.04535,0.03977,0.04291,4476964.6,2019-11-03 23:59:59.999
10,0.043,0.0477,0.03879,0.04084,6405023.7,2019-11-10 23:59:59.999
11,0.04087,0.04389,0.03823,0.03937,3156399.6,2019-11-17 23:59:59.999
12,0.03909,0.0395,0.02588,0.02722,7159733.1,2019-11-24 23:59:59.999
13,0.02769,0.03222,0.02356,0.02765,11541016.7,2019-12-01 23:59:59.999
14,0.02764,0.02872,0.02542,0.02747,6079216.4,2019-12-08 23:59:59.999
15,0.02749,0.02793,0.02192,0.02281,8895911.1,2019-12-15 23:59:59.999
16,0.02278,0.0229,0.01688,0.01844,13161205.0,2019-12-22 23:59:59.999
17,0.01823,0.02187,0.01681,0.02082,29231872.0,2019-12-29 23:59:59.999
18,0.02099,0.02173,0.01729,0.01864,31722931.1,2020-01-05 23:59:59.999
19,0.01884,0.02162,0.01732,0.02093,24327834.7,2020-01-12 23:59:59.999
20,0.02093,0.0226,0.01854,0.0201,38685353.3,2020-01-19 23:59:59.999
21,0.02012,0.02607,0.0197,0.0217,42161596.4,2020-01-26 23:59:59.999
22,0.02174,0.03057,0.02115,0.02736,42288017.7,2020-02-02 23:59:59.999
23,0.02755,0.03332,0.02607,0.03102,44918088.7,2020-02-09 23:59:59.999
24,0.0311,0.04336,0.02871,0.03592,65654169.8,2020-02-16 23:59:59.999
25,0.03548,0.0365,0.02853,0.03057,25123119.0,2020-02-23 23:59:59.999
26,0.03057,0.03113,0.0214,0.02489,33084046.2,2020-03-01 23:59:59.999
27,0.02477,0.03517,0.02463,0.02619,49592000.2,2020-03-08 23:59:59.999
28,0.02619,0.02751,0.00969,0.0177,37609322.5,2020-03-15 23:59:59.999
29,0.01794,0.02094,0.01356,0.01782,32588158.8,2020-03-22 23:59:59.999
30,0.01764,0.02029,0.01653,0.01671,19317619.7,2020-03-29 23:59:59.999
31,0.01665,0.0205,0.01659,0.01914,28735857.2,2020-04-05 23:59:59.999
32,0.01932,0.02196,0.01891,0.01945,21676020.7,2020-04-12 23:59:59.999
33,0.01908,0.0202,0.01749,0.01984,10529872.5,2020-04-19 23:59:59.999
34,0.01991,0.02096,0.01795,0.02078,13258078.9,2020-04-26 23:59:59.999
35,0.02088,0.02552,0.02,0.02166,39908917.2,2020-05-03 23:59:59.999
36,0.02177,0.02402,0.01883,0.01991,35591283.5,2020-05-10 23:59:59.999
37,0.02,0.02139,0.01828,0.02088,23996305.7,2020-05-17 23:59:59.999
38,0.02088,0.027,0.02001,0.02319,51349953.3,2020-05-24 23:59:59.999
39,0.02305,0.02771,0.02247,0.02505,54617877.5,2020-05-31 23:59:59.999
40,0.02505,0.03122,0.0243,0.02775,69623134.9,2020-06-07 23:59:59.999
41,0.02764,0.03274,0.025,0.03086,87252670.7,2020-06-14 23:59:59.999
42,0.03084,0.0351,0.02748,0.02975,83759575.2,2020-06-21 23:59:59.999
43,0.02961,0.03122,0.02454,0.02575,36281848.8,2020-06-28 23:59:59.999
44,0.0257,0.02727,0.02529,0.02612,24802107.2,2020-07-05 23:59:59.999
45,0.02604,0.03102,0.02597,0.03028,71783684.0,2020-07-12 23:59:59.999
46,0.03015,0.03381,0.02639,0.03205,69679225.9,2020-07-19 23:59:59.999
47,0.03205,0.03372,0.02924,0.02996,66497676.3,2020-07-26 23:59:59.999
48,0.02986,0.03096,0.02628,0.02864,43538250.5,2020-08-02 23:59:59.999
49,0.02864,0.03397,0.02832,0.03321,54541700.1,2020-08-09 23:59:59.999
50,0.03317,0.03849,0.03185,0.03815,110051073.1,2020-08-16 23:59:59.999
51,0.03815,0.05604,0.0378,0.04643,169819298.8,2020-08-23 23:59:59.999
52,0.04649,0.05053,0.03826,0.04336,96806591.2,2020-08-30 23:59:59.999
53,0.04338,0.045,0.02691,0.02975,50549121.5,2020-09-06 23:59:59.999
54,0.02983,0.03809,0.02651,0.03123,55260918.1,2020-09-13 23:59:59.999
55,0.03123,0.03805,0.02849,0.02892,58525658.5,2020-09-20 23:59:59.999
56,0.02892,0.02962,0.02368,0.02625,19639673.3,2020-09-27 23:59:59.999
57,0.02638,0.02769,0.02373,0.02537,17490624.3,2020-10-04 23:59:59.999
58,0.02545,0.0389,0.0223,0.02969,92795963.0,2020-10-11 23:59:59.999
59,0.02969,0.02969,0.02492,0.0273,23358227.7,2020-10-18 23:59:59.999
60,0.02711,0.03395,0.02486,0.02847,35492067.2,2020-10-25 23:59:59.999
61,0.02847,0.02939,0.02434,0.02605,14545969.1,2020-11-01 23:59:59.999
62,0.02586,0.07,0.02363,0.06699,759494452.6,2020-11-08 23:59:59.999
63,0.06699,0.1725,0.06224,0.10749,2409489495.4,2020-11-15 23:59:59.999
64,0.10722,0.10773,0.074,0.07906,652319548.8,2020-11-22 23:59:59.999
65,0.07942,0.098,0.06711,0.08054,502946675.9,2020-11-29 23:59:59.999
66,0.08074,0.14445,0.077,0.10728,1267993207.0,2020-12-06 23:59:59.999
67,0.10729,0.10747,0.08598,0.09692,328638162.2,2020-12-13 23:59:59.999
68,0.09702,0.1093,0.0903,0.09544,240313036.7,2020-12-20 23:59:59.999
69,0.0954,0.1085,0.07503,0.08667,348161415.1,2020-12-27 23:59:59.999
70,0.08653,0.09118,0.08118,0.08756,176177627.0,2021-01-03 23:59:59.999
71,0.08754,0.21999,0.078,0.14026,870804318.7,2021-01-10 23:59:59.999
72,0.14026,0.19246,0.0989,0.15478,717719353.2,2021-01-17 23:59:59.999
73,0.1549,0.1694,0.11543,0.15586,253100635.4,2021-01-24 23:59:59.999
74,0.15587,0.168,0.12975,0.15174,229604236.7,2021-01-31 23:59:59.999
75,0.1517,0.3035,0.14783,0.23044,609589156.2,2021-02-07 23:59:59.999
76,0.23075,0.597,0.22252,0.45207,639947489.0,2021-02-14 23:59:59.999
77,0.45268,0.545,0.39,0.46011,263101850.2,2021-02-21 23:59:59.999
78,0.46011,0.48998,0.264,0.33494,199277986.5,2021-02-28 23:59:59.999
79,0.33494,0.42507,0.33175,0.40098,115253353.2,2021-03-07 23:59:59.999
80,0.4009,0.48398,0.38029,0.45162,200746994.8,2021-03-14 23:59:59.999
81,0.452,0.4753,0.39,0.42968,134277796.4,2021-03-21 23:59:59.999
82,0.42993,0.5449,0.4002,0.48659,269456907.7,2021-03-28 23:59:59.999
83,0.48712,0.78089,0.45902,0.63008,321718825.7,2021-04-04 23:59:59.999
84,0.63008,0.67785,0.49501,0.65564,245050874.5,2021-04-11 23:59:59.999
85,0.65805,0.7265,0.44,0.56686,207854669.7,2021-04-18 23:59:59.999
86,0.56608,0.63224,0.27613,0.42704,254650802.9,2021-04-25 23:59:59.999
87,0.42717,0.57243,0.42207,0.56776,137408379.6,2021-05-02 23:59:59.999
88,0.568,0.69525,0.51432,0.58553,215034736.2,2021-05-09 23:59:59.999
89,0.58555,0.58974,0.41618,0.44546,133345133.4,2021-05-16 23:59:59.999
90,0.44466,0.53155,0.19103,0.2763,332073514.0,2021-05-23 23:59:59.999
91,0.27628,0.4266,0.26236,0.31295,177120451.7,2021-05-30 23:59:59.999
92,0.31291,0.38281,0.29374,0.32554,109355724.3,2021-06-06 23:59:59.999
