,Open,High,Low,Close,Volume,Close time
0,2.421,3.28,2.05,2.499,19463751.7,2021-10-10 23:59:59.999
1,2.486,2.6,1.894,1.973,13983474.5,2021-10-17 23:59:59.999
2,1.973,2.095,1.6,1.808,8791839.4,2021-10-24 23:59:59.999
3,1.804,3.137,1.513,1.709,31512701.0,2021-10-31 23:59:59.999
4,1.709,1.974,1.634,1.728,9984945.8,2021-11-07 23:59:59.999
5,1.729,1.779,1.6,1.711,6745355.2,2021-11-14 23:59:59.999
6,1.711,2.355,1.373,1.576,12374126.2,2021-11-21 23:59:59.999
7,1.573,1.75,1.337,1.476,10935670.1,2021-11-28 23:59:59.999
8,1.481,1.75,1.03,1.27,13444190.8,2021-12-05 23:59:59.999
9,1.27,1.361,1.13,1.201,15099087.0,2021-12-12 23:59:59.999
10,1.2,2.086,1.015,1.602,80475614.3,2021-12-19 23:59:59.999
11,1.602,1.78,1.447,1.618,13773933.3,2021-12-26 23:59:59.999
12,1.615,1.698,1.368,1.481,4167450.0,2022-01-02 23:59:59.999
13,1.483,1.695,1.168,1.284,6217716.3,2022-01-09 23:59:59.999
14,1.283,1.579,1.17,1.388,5961595.2,2022-01-16 23:59:59.999
15,1.388,1.419,0.925,1.053,10622558.7,2022-01-23 23:59:59.999
16,1.052,1.149,0.932,1.092,2985997.4,2022-01-30 23:59:59.999
17,1.094,1.233,1.031,1.155,3183386.2,2022-02-06 23:59:59.999
18,1.157,1.249,1.08,1.081,3823398.9,2022-02-13 23:59:59.999
19,1.082,1.169,0.918,0.94,4565350.8,2022-02-20 23:59:59.999
20,0.939,1.035,0.734,0.858,5970048.9,2022-02-27 23:59:59.999
21,0.86,1.113,0.742,0.749,7901851.6,2022-03-06 23:59:59.999
22,0.749,0.766,0.676,0.678,4304429.9,2022-03-13 23:59:59.999
23,0.678,1.417,0.671,0.787,131360244.0,2022-03-20 23:59:59.999
24,0.787,0.906,0.757,0.868,17336226.0,2022-03-27 23:59:59.999
25,0.867,1.132,0.821,0.903,32458658.9,2022-04-03 23:59:59.999
26,0.905,0.957,0.786,0.806,10624015.8,2022-04-10 23:59:59.999
27,0.806,0.923,0.737,0.748,11702643.9,2022-04-17 23:59:59.999
28,0.749,0.828,0.718,0.73,5882824.4,2022-04-24 23:59:59.999
29,0.729,0.878,0.678,0.71,9352017.8,2022-05-01 23:59:59.999
30,0.708,0.74,0.614,0.618,3826212.2,2022-05-08 23:59:59.999
31,0.619,0.634,0.221,0.354,29523551.1,2022-05-15 23:59:59.999
32,0.354,0.385,0.311,0.347,16506292.5,2022-05-22 23:59:59.999
33,0.347,0.49,0.302,0.342,21207979.0,2022-05-29 23:59:59.999
34,0.342,0.42,0.318,0.348,30068902.8,2022-06-05 23:59:59.999
0,0.348,0.432,0.274,0.276,20283233.2,2022-06-12 23:59:59.999000
0,0.277,0.283,0.212,0.244,11458898.8,2022-06-19 23:59:59.999000
1,0.244,0.32,0.231,0.26,22346755.1,2022-06-26 23:59:59.999000
2,0.26,0.347,0.248,0.285,37504807.7,2022-07-03 23:59:59.999000
3,0.286,0.434,0.274,0.349,64600281.1,2022-07-10 23:59:59.999000
4,0.349,0.6033,0.289,0.3781,136059252.6,2022-07-17 23:59:59.999000
