,Open,High,Low,Close,Volume,Close time
0,38.51,51.8,38.5,41.41,1069393.323,2021-12-26 23:59:59.999
1,41.56,63.0,40.27,47.71,2793453.323,2022-01-02 23:59:59.999
2,47.72,53.49,35.84,38.9,1921834.123,2022-01-09 23:59:59.999
3,38.9,48.62,32.88,40.94,1490891.61,2022-01-16 23:59:59.999
4,40.97,42.99,24.9,30.08,1110187.488,2022-01-23 23:59:59.999
5,30.15,30.18,21.7,26.62,1388390.201,2022-01-30 23:59:59.999
6,26.62,30.0,23.69,26.47,945345.541,2022-02-06 23:59:59.999
7,26.4,30.97,24.0,25.7,1307537.645,2022-02-13 23:59:59.999
8,25.65,30.33,22.59,23.26,536639.358,2022-02-20 23:59:59.999
9,23.25,24.14,16.17,17.41,833702.929,2022-02-27 23:59:59.999
10,17.4,32.31,14.99,16.5,5786053.129,2022-03-06 23:59:59.999
11,16.48,17.43,15.1,15.84,1620437.059,2022-03-13 23:59:59.999
12,15.85,20.89,15.26,18.85,1329112.804,2022-03-20 23:59:59.999
13,18.87,32.53,18.7,29.87,1809937.395,2022-03-27 23:59:59.999
14,29.89,38.89,27.77,38.88,1646934.341,2022-04-03 23:59:59.999
15,38.88,39.88,33.26,34.37,1349859.333,2022-04-10 23:59:59.999
16,34.33,34.49,25.76,26.05,734289.117,2022-04-17 23:59:59.999
17,26.04,30.73,23.4,25.25,1407208.087,2022-04-24 23:59:59.999
18,25.23,27.96,21.7,23.09,829438.483,2022-05-01 23:59:59.999
19,23.08,26.0,20.65,21.55,840283.212,2022-05-08 23:59:59.999
20,21.56,22.17,10.13,11.77,2150274.855,2022-05-15 23:59:59.999
21,11.76,14.33,9.35,10.61,1394674.054,2022-05-22 23:59:59.999
22,10.61,11.19,9.03,9.53,676040.048,2022-05-29 23:59:59.999
23,9.54,10.94,8.24,8.45,918592.089,2022-06-05 23:59:59.999
0,8.46,9.1,4.96,5.0,1834624.08,2022-06-12 23:59:59.999000
