,Open,High,Low,Close,Volume,Close time
0,0.023,16.79999,0.023,2.07632,364251097.0,2021-11-07 23:59:59.999
1,2.07578,2.85,1.68492,2.13265,222203978.0,2021-11-14 23:59:59.999
2,2.13265,4.57819,1.76,3.1382,430538118.0,2021-11-21 23:59:59.999
3,3.14697,4.89,2.75,3.64082,392482314.0,2021-11-28 23:59:59.999
4,3.64082,4.17243,1.81677,2.16748,193867371.0,2021-12-05 23:59:59.999
5,2.16748,2.7696,1.88,2.24938,151154923.0,2021-12-12 23:59:59.999
6,2.24719,2.265,1.85222,1.96232,83236996.0,2021-12-19 23:59:59.999
7,1.96315,2.7542,1.929,2.52074,139726195.0,2021-12-26 23:59:59.999
8,2.5207,2.70171,2.0068,2.09213,58120325.0,2022-01-02 23:59:59.999
9,2.09213,2.1721,1.55395,1.71828,62454750.0,2022-01-09 23:59:59.999
10,1.71598,1.74309,1.47751,1.5234,37269773.0,2022-01-16 23:59:59.999
11,1.52348,1.52683,0.65205,0.76091,63246339.0,2022-01-23 23:59:59.999
12,0.76091,0.86263,0.63129,0.74521,89908000.0,2022-01-30 23:59:59.999
13,0.74521,1.275,0.68011,1.12685,294545846.0,2022-02-06 23:59:59.999
14,1.12685,1.343,0.97238,1.00734,309811155.0,2022-02-13 23:59:59.999
15,1.00837,1.1083,0.79928,0.82153,109642138.0,2022-02-20 23:59:59.999
16,0.8216,0.87144,0.63,0.72349,85711534.0,2022-02-27 23:59:59.999
17,0.72508,0.93,0.7,0.70453,113078094.0,2022-03-06 23:59:59.999
18,0.7042,0.77,0.61084,0.6418,124371840.0,2022-03-13 23:59:59.999
19,0.6417,0.84444,0.611,0.71594,139373052.0,2022-03-20 23:59:59.999
20,0.71599,0.98,0.71384,0.89714,298678458.0,2022-03-27 23:59:59.999
21,0.89712,1.286,0.8478,1.15911,455209065.0,2022-04-03 23:59:59.999
22,1.15862,1.58499,1.04427,1.12148,399398660.0,2022-04-10 23:59:59.999
23,1.12058,1.15424,0.96499,0.97593,121146797.0,2022-04-17 23:59:59.999
24,0.97533,1.22868,0.908,1.04899,193032883.0,2022-04-24 23:59:59.999
25,1.04766,2.222,0.92433,1.31297,1155156703.0,2022-05-01 23:59:59.999
26,1.3137,1.6361,0.95155,0.96603,718300689.0,2022-05-08 23:59:59.999
27,0.96578,1.00666,0.2838,0.47388,849659591.0,2022-05-15 23:59:59.999
28,0.47389,0.59,0.40223,0.51309,552471778.0,2022-05-22 23:59:59.999
29,0.51309,0.53147,0.39423,0.45457,324900897.0,2022-05-29 23:59:59.999
30,0.45456,0.50601,0.40338,0.4218,236450858.0,2022-06-05 23:59:59.999
0,0.42156,0.47175,0.3047,0.31152,218735263.0,2022-06-12 23:59:59.999000
0,0.31077,0.33772,0.25382,0.2911,279862988.0,2022-06-19 23:59:59.999000
1,0.29096,0.36538,0.27631,0.31587,207084252.0,2022-06-26 23:59:59.999000
2,0.31584,0.33499,0.27218,0.29149,116742863.0,2022-07-03 23:59:59.999000
3,0.29158,0.31532,0.28002,0.28867,116086483.0,2022-07-10 23:59:59.999000
4,0.28876,0.31137,0.25566,0.29317,137984537.0,2022-07-17 23:59:59.999000
