,Open,High,Low,Close,Volume,Close time
0,90.0,110.89,88.0,110.7,21093.4356,2019-03-31 23:59:59.999
1,110.5,139.1,107.71,135.11,80708.4951,2019-04-07 23:59:59.999
2,135.17,137.85,113.2,122.57,29543.20699,2019-04-14 23:59:59.999
3,122.57,131.0,115.04,121.19,24150.34529,2019-04-21 23:59:59.999
4,121.22,125.38,106.38,110.73,19329.20554,2019-04-28 23:59:59.999
5,110.72,123.91,106.77,118.63,26063.7397,2019-05-05 23:59:59.999
6,118.51,127.96,110.26,125.22,25781.32132,2019-05-12 23:59:59.999
7,125.22,176.74,124.23,172.14,69943.93821,2019-05-19 23:59:59.999
8,172.23,176.0,145.61,161.96,56193.33438,2019-05-26 23:59:59.999
9,161.67,175.78,156.06,165.09,39337.35677,2019-06-02 23:59:59.999
10,165.36,165.36,130.0,141.99,35138.128,2019-06-09 23:59:59.999
11,141.68,160.74,140.23,155.81,36217.68351,2019-06-16 23:59:59.999
12,156.25,181.16,154.2,174.3,42981.47037,2019-06-23 23:59:59.999
13,174.3,189.54,150.16,157.31,45440.78532,2019-06-30 23:59:59.999
14,157.18,162.72,145.92,157.52,24317.19725,2019-07-07 23:59:59.999
15,157.52,162.31,122.11,123.01,28223.65273,2019-07-14 23:59:59.999
16,122.64,124.74,95.3,118.32,48589.26698,2019-07-21 23:59:59.999
17,118.65,119.32,102.76,107.86,22286.25408,2019-07-28 23:59:59.999
18,107.95,109.63,102.89,106.1,23215.57777,2019-08-04 23:59:59.999
19,106.1,112.65,97.41,106.53,29556.30662,2019-08-11 23:59:59.999
20,106.53,107.86,90.66,94.78,24380.14526,2019-08-18 23:59:59.999
21,94.56,97.5,87.11,91.26,20395.36558,2019-08-25 23:59:59.999
22,91.51,93.44,77.8,79.32,23855.51968,2019-09-01 23:59:59.999
23,79.36,87.63,77.49,87.62,30563.86409,2019-09-08 23:59:59.999
24,87.4,98.77,81.33,88.89,59289.3588,2019-09-15 23:59:59.999
25,88.89,104.4,87.87,90.64,100706.32887,2019-09-22 23:59:59.999
26,90.8,90.8,65.57,68.86,87286.79242,2019-09-29 23:59:59.999
27,68.87,72.49,66.54,69.31,49170.98188,2019-10-06 23:59:59.999
