,Open,High,Low,Close,Volume,Close time
0,15.446,25.0,6.002,15.692,26661.604,2020-08-02 23:59:59.999
1,15.571,17.99,15.428,16.491,45585.551,2020-08-09 23:59:59.999
2,16.483,21.97,15.22,17.5,94408.239,2020-08-16 23:59:59.999
3,17.499,24.99,16.111,19.694,223848.004,2020-08-23 23:59:59.999
4,19.615,20.75,16.325,17.38,90118.978,2020-08-30 23:59:59.999
5,17.405,17.464,12.844,13.703,81134.787,2020-09-06 23:59:59.999
6,13.61,14.857,12.57,14.178,63536.88,2020-09-13 23:59:59.999
7,14.273,14.361,12.383,12.659,45638.315,2020-09-20 23:59:59.999
8,12.571,12.984,10.998,11.944,60807.29,2020-09-27 23:59:59.999
9,11.953,12.448,11.121,11.383,33264.05,2020-10-04 23:59:59.999
10,11.398,14.263,11.129,12.343,63537.662,2020-10-11 23:59:59.999
11,12.25,13.699,11.04,12.132,66087.126,2020-10-18 23:59:59.999
12,12.103,13.577,11.621,12.677,61165.626,2020-10-25 23:59:59.999
13,12.605,12.793,11.324,12.402,43509.516,2020-11-01 23:59:59.999
14,12.402,18.223,11.568,17.084,159833.196,2020-11-08 23:59:59.999
15,17.085,20.98,14.053,19.265,189446.353,2020-11-15 23:59:59.999
16,19.391,24.6,17.387,22.06,150608.421,2020-11-22 23:59:59.999
17,21.961,24.0,15.91,23.999,125962.669,2020-11-29 23:59:59.999
18,23.999,42.432,23.099,27.509,462996.159,2020-12-06 23:59:59.999
19,27.509,34.961,23.246,26.684,210489.976,2020-12-13 23:59:59.999
20,26.878,42.468,25.703,34.487,282923.065,2020-12-20 23:59:59.999
21,34.116,40.662,30.5,39.134,125893.486,2020-12-27 23:59:59.999
22,39.105,51.269,34.985,48.215,218067.275,2021-01-03 23:59:59.999
23,48.289,71.06,41.5,55.488,264077.34,2021-01-10 23:59:59.999
24,55.668,61.563,44.0,56.635,190346.591,2021-01-17 23:59:59.999
25,56.714,60.0,45.377,49.782,110179.474,2021-01-24 23:59:59.999
26,50.056,69.8,50.0,65.758,182005.004,2021-01-31 23:59:59.999
27,66.021,94.899,63.832,81.21,201208.84,2021-02-07 23:59:59.999
28,81.211,121.768,79.561,114.061,417013.688,2021-02-14 23:59:59.999
29,113.481,172.0,100.999,162.22,277323.743,2021-02-21 23:59:59.999
30,162.031,165.0,110.63,134.67,214629.941,2021-02-28 23:59:59.999
