,Open,High,Low,Close,Volume,Close time
0,7.25,34.7,7.25,25.51,39681454.704,2021-03-14 23:59:59.999
1,25.586,31.95,16.835,19.889,29434424.938,2021-03-21 23:59:59.999
2,19.887,20.888,14.306,19.229,10661601.828,2021-03-28 23:59:59.999
3,19.229,20.2,14.694,16.928,6337906.677,2021-04-04 23:59:59.999
4,16.929,19.5,13.0,17.794,8423616.694,2021-04-11 23:59:59.999
5,17.822,20.489,12.025,13.125,7376981.896,2021-04-18 23:59:59.999
6,13.125,14.599,8.484,10.193,8589811.464,2021-04-25 23:59:59.999
7,10.208,18.9,10.101,18.24,22755835.206,2021-05-02 23:59:59.999
8,18.261,19.5,13.801,14.161,11688618.007,2021-05-09 23:59:59.999
9,14.182,15.155,9.7,12.143,9664051.195,2021-05-16 23:59:59.999
10,12.156,13.2,4.01,4.925,12563691.423,2021-05-23 23:59:59.999
11,4.925,9.2,4.896,8.205,12172530.67,2021-05-30 23:59:59.999
12,8.208,8.75,6.715,7.248,5735422.042,2021-06-06 23:59:59.999
13,7.253,7.82,5.456,6.72,7798157.57,2021-06-13 23:59:59.999
14,6.718,7.292,5.251,5.748,4764092.209,2021-06-20 23:59:59.999
15,5.758,5.818,3.451,4.463,5178767.526,2021-06-27 23:59:59.999
16,4.465,5.56,4.1,5.016,5215347.898,2021-07-04 23:59:59.999
17,5.013,7.073,4.6,6.409,11238604.766,2021-07-11 23:59:59.999
18,6.411,8.3,5.396,5.599,14180528.853,2021-07-18 23:59:59.999
19,5.605,10.981,4.339,10.288,20950990.328,2021-07-25 23:59:59.999
20,10.282,11.738,7.595,10.425,37773516.672,2021-08-01 23:59:59.999
21,10.414,12.398,9.33,10.92,19837516.117,2021-08-08 23:59:59.999
22,10.939,12.099,9.371,10.314,15237508.003,2021-08-15 23:59:59.999
23,10.314,12.823,8.931,11.07,15642122.894,2021-08-22 23:59:59.999
24,11.07,13.6,9.335,13.09,20886430.983,2021-08-29 23:59:59.999
25,13.1,13.35,10.66,11.16,9979486.0,2021-09-05 23:59:59.999
26,11.15,12.2,7.72,8.93,9100458.745,2021-09-12 23:59:59.999
27,8.94,10.4,7.97,8.75,6132406.63,2021-09-19 23:59:59.999
28,8.77,8.79,5.98,6.55,8299955.69,2021-09-26 23:59:59.999
29,6.53,8.88,6.07,7.93,6383046.27,2021-10-03 23:59:59.999
30,7.92,8.69,7.35,7.6,4172404.57,2021-10-10 23:59:59.999
31,7.6,10.14,6.98,8.69,6208982.1,2021-10-17 23:59:59.999
32,8.69,9.21,8.06,8.3,4180430.31,2021-10-24 23:59:59.999
33,8.3,10.85,7.28,9.2,7329389.99,2021-10-31 23:59:59.999
34,9.2,10.54,8.6,10.0,5416110.18,2021-11-07 23:59:59.999
35,9.99,10.47,8.32,8.77,3606543.03,2021-11-14 23:59:59.999
36,8.78,14.0,7.31,10.69,13683447.234,2021-11-21 23:59:59.999
37,10.71,14.44,8.83,9.61,12120930.896,2021-11-28 23:59:59.999
38,9.61,10.79,6.3,6.39,8185297.4,2021-12-05 23:59:59.999
39,6.4,7.89,5.8,6.4,5025072.633,2021-12-12 23:59:59.999
40,6.4,7.59,5.4,6.08,4657853.207,2021-12-19 23:59:59.999
41,6.07,7.65,5.71,7.0,3597735.87,2021-12-26 23:59:59.999
42,7.01,7.24,6.08,6.36,2742432.36,2022-01-02 23:59:59.999
43,6.35,6.4,4.9,5.13,2032692.35,2022-01-09 23:59:59.999
44,5.12,5.85,4.59,5.42,2247707.043,2022-01-16 23:59:59.999
45,5.43,5.44,3.08,3.66,2899705.094,2022-01-23 23:59:59.999
46,3.65,4.05,3.06,3.71,1995881.64,2022-01-30 23:59:59.999
47,3.72,4.39,3.5,4.29,1684885.73,2022-02-06 23:59:59.999
48,4.28,5.17,3.3,3.33,11381546.76,2022-02-13 23:59:59.999
49,3.33,3.73,3.0,3.04,3375103.18,2022-02-20 23:59:59.999
50,3.05,3.44,2.31,2.74,4477495.88,2022-02-27 23:59:59.999
51,2.73,3.62,2.68,2.99,6174094.01,2022-03-06 23:59:59.999
52,3.0,3.42,2.64,2.67,4522875.98,2022-03-13 23:59:59.999
53,2.66,3.62,2.64,3.26,9412891.29,2022-03-20 23:59:59.999
54,3.27,3.53,3.1,3.46,5461988.67,2022-03-27 23:59:59.999
55,3.46,4.15,3.37,4.05,8274614.11,2022-04-03 23:59:59.999
56,4.05,4.19,3.21,3.26,3422007.56,2022-04-10 23:59:59.999
57,3.26,5.5,3.22,3.51,34545104.24,2022-04-17 23:59:59.999
58,3.5,3.82,2.99,3.02,5745163.8,2022-04-24 23:59:59.999
59,3.03,3.09,2.33,2.51,2922034.14,2022-05-01 23:59:59.999
60,2.51,3.0,2.16,2.18,4029038.58,2022-05-08 23:59:59.999
61,2.19,2.22,0.78,1.36,11639839.54,2022-05-15 23:59:59.999
62,1.36,1.41,1.18,1.34,4134703.34,2022-05-22 23:59:59.999
63,1.35,1.62,1.15,1.37,4968520.87,2022-05-29 23:59:59.999
64,1.37,1.7,1.29,1.48,6597355.91,2022-06-05 23:59:59.999
