,Open,High,Low,Close,Volume,Close time
0,3.967,33.0,3.967,17.352,26157791.7,2021-07-25 23:59:59.999
1,17.351,18.618,11.401,11.828,11147428.2,2021-08-01 23:59:59.999
2,11.83,17.8,10.485,15.431,9957832.7,2021-08-08 23:59:59.999
3,15.476,15.478,12.162,12.578,6189982.8,2021-08-15 23:59:59.999
4,12.562,13.487,10.727,11.728,2989806.0,2021-08-22 23:59:59.999
5,11.709,22.721,11.255,15.47,17420283.57,2021-08-29 23:59:59.999
6,15.49,19.53,13.99,15.32,7607787.53,2021-09-05 23:59:59.999
7,15.33,17.73,9.81,14.17,8112864.91,2021-09-12 23:59:59.999
8,14.17,15.75,11.53,13.69,5847352.35,2021-09-19 23:59:59.999
9,13.7,15.47,10.8,12.53,2965456.84,2021-09-26 23:59:59.999
10,12.54,13.93,11.41,12.91,1996598.54,2021-10-03 23:59:59.999
11,12.89,15.1,12.27,12.37,2584589.59,2021-10-10 23:59:59.999
12,12.34,14.6,11.65,12.77,2176664.53,2021-10-17 23:59:59.999
13,12.78,14.7,12.51,13.15,1992521.57,2021-10-24 23:59:59.999
14,13.15,13.69,11.65,12.19,1534016.08,2021-10-31 23:59:59.999
15,12.2,13.52,11.97,12.68,1049078.46,2021-11-07 23:59:59.999
16,12.67,13.96,11.74,13.24,1340728.28,2021-11-14 23:59:59.999
17,13.25,20.65,11.28,14.5,4020280.36,2021-11-21 23:59:59.999
18,14.51,19.53,12.66,13.93,7725487.0,2021-11-28 23:59:59.999
19,13.93,27.22,12.24,15.35,14399577.54,2021-12-05 23:59:59.999
20,15.31,16.35,12.8,13.41,3749452.72,2021-12-12 23:59:59.999
21,13.41,14.39,11.01,11.88,2160860.0,2021-12-19 23:59:59.999
22,11.88,13.16,11.45,12.67,1246700.36,2021-12-26 23:59:59.999
23,12.67,14.95,11.3,11.71,1430745.21,2022-01-02 23:59:59.999
24,11.73,11.91,9.1,10.01,1668684.38,2022-01-09 23:59:59.999
25,10.0,10.7,9.02,9.71,755621.46,2022-01-16 23:59:59.999
26,9.71,9.84,5.68,6.52,1478478.89,2022-01-23 23:59:59.999
27,6.52,7.39,5.53,6.37,1680668.43,2022-01-30 23:59:59.999
28,6.37,7.78,6.09,7.25,1284817.29,2022-02-06 23:59:59.999
29,7.23,9.5,7.07,7.41,3314917.61,2022-02-13 23:59:59.999
30,7.41,8.68,6.83,7.17,2489829.79,2022-02-20 23:59:59.999
31,7.15,7.39,5.6,6.06,887087.2,2022-02-27 23:59:59.999
32,6.06,7.2,5.92,6.28,1365168.73,2022-03-06 23:59:59.999
33,6.26,6.57,5.68,5.75,938773.38,2022-03-13 23:59:59.999
34,5.75,7.5,5.67,6.71,2029475.28,2022-03-20 23:59:59.999
35,6.71,7.21,6.33,7.13,1057921.17,2022-03-27 23:59:59.999
36,7.15,7.6,6.29,7.36,1729294.53,2022-04-03 23:59:59.999
37,7.34,8.2,6.18,6.18,1638715.14,2022-04-10 23:59:59.999
38,6.18,6.35,5.6,5.74,1065724.59,2022-04-17 23:59:59.999
39,5.74,7.0,5.55,6.0,1886358.19,2022-04-24 23:59:59.999
40,6.0,6.8,5.69,5.83,1380010.89,2022-05-01 23:59:59.999
41,5.83,5.88,4.19,4.2,1194974.44,2022-05-08 23:59:59.999
42,4.2,4.64,2.96,3.83,1753200.33,2022-05-15 23:59:59.999
43,3.8,4.3,3.37,3.58,1539047.29,2022-05-22 23:59:59.999
44,3.56,3.7,2.92,3.15,1184337.72,2022-05-29 23:59:59.999
45,3.16,4.09,2.94,3.38,2645504.14,2022-06-05 23:59:59.999
