,Open,High,Low,Close,Volume,Close time
0,0.1968,0.35,0.1965,0.2203,432072654.0,2021-09-26 23:59:59.999
1,0.2203,0.2655,0.202,0.2124,206078134.0,2021-10-03 23:59:59.999
2,0.2121,0.2369,0.1933,0.2016,145138302.0,2021-10-10 23:59:59.999
3,0.2019,0.298,0.1909,0.2137,316901692.0,2021-10-17 23:59:59.999
4,0.2136,0.229,0.2021,0.204,81334337.0,2021-10-24 23:59:59.999
5,0.2036,0.221,0.1606,0.1893,91474002.0,2021-10-31 23:59:59.999
6,0.1897,0.2088,0.1852,0.1923,68894483.0,2021-11-07 23:59:59.999
7,0.1923,0.2048,0.1782,0.1901,87158669.0,2021-11-14 23:59:59.999
8,0.1901,0.206,0.152,0.1796,122456998.0,2021-11-21 23:59:59.999
9,0.1796,0.2242,0.1617,0.1708,133635441.0,2021-11-28 23:59:59.999
10,0.171,0.2078,0.1366,0.149,184509235.0,2021-12-05 23:59:59.999
11,0.149,0.1641,0.1212,0.128,120415377.0,2021-12-12 23:59:59.999
12,0.128,0.171,0.11,0.1187,200201721.0,2021-12-19 23:59:59.999
13,0.1187,0.154,0.1107,0.1288,107709410.0,2021-12-26 23:59:59.999
14,0.129,0.1366,0.1147,0.1199,102030713.0,2022-01-02 23:59:59.999
15,0.1195,0.1353,0.1082,0.1127,130723580.0,2022-01-09 23:59:59.999
16,0.113,0.1293,0.1085,0.1233,80431785.0,2022-01-16 23:59:59.999
17,0.1233,0.142,0.0872,0.098,119321259.0,2022-01-23 23:59:59.999
18,0.0985,0.1189,0.0851,0.0991,89873306.0,2022-01-30 23:59:59.999
19,0.0987,0.118,0.096,0.1128,55085369.0,2022-02-06 23:59:59.999
20,0.1129,0.1268,0.1012,0.1037,71032343.0,2022-02-13 23:59:59.999
21,0.1036,0.1087,0.0861,0.0865,36661975.0,2022-02-20 23:59:59.999
22,0.0864,0.1033,0.0678,0.0742,132183110.0,2022-02-27 23:59:59.999
23,0.0742,0.0899,0.071,0.0736,141554430.0,2022-03-06 23:59:59.999
24,0.0735,0.0786,0.0683,0.0686,44148323.0,2022-03-13 23:59:59.999
25,0.0687,0.1011,0.0667,0.0787,420212792.0,2022-03-20 23:59:59.999
26,0.0785,0.083,0.0771,0.083,67808261.0,2022-03-27 23:59:59.999
27,0.083,0.107,0.0816,0.0953,191413793.0,2022-04-03 23:59:59.999
28,0.0948,0.0977,0.0743,0.0744,109345925.0,2022-04-10 23:59:59.999
29,0.0743,0.1045,0.0673,0.0718,492267800.0,2022-04-17 23:59:59.999
30,0.0719,0.0772,0.0696,0.0744,131351598.0,2022-04-24 23:59:59.999
31,0.0743,0.0798,0.016,0.0578,136799320.0,2022-05-01 23:59:59.999
32,0.0578,0.0578,0.0469,0.0483,74071922.0,2022-05-08 23:59:59.999
33,0.0483,0.067,0.02,0.0359,737348118.0,2022-05-15 23:59:59.999
34,0.0358,0.046,0.0313,0.0381,439119923.0,2022-05-22 23:59:59.999
35,0.0381,0.0458,0.0332,0.0376,250804027.0,2022-05-29 23:59:59.999
36,0.0377,0.0468,0.0375,0.042,195658828.0,2022-06-05 23:59:59.999
0,0.042,0.0585,0.0351,0.0359,242810160.0,2022-06-12 23:59:59.999000
