,Open,High,Low,Close,Volume,Close time
0,2.788,10.0,2.788,6.844,104974944.236,2021-02-21 23:59:59.999
1,6.843,7.07,3.286,3.62,73198788.671,2021-02-28 23:59:59.999
2,3.623,4.799,3.58,4.215,39935535.215,2021-03-07 23:59:59.999
3,4.215,4.36,3.3,4.094,53908163.099,2021-03-14 23:59:59.999
4,4.095,5.111,3.823,3.913,44029893.198,2021-03-21 23:59:59.999
5,3.917,4.29,2.944,4.05,44170955.725,2021-03-28 23:59:59.999
6,4.056,4.7,3.553,3.93,38989795.806,2021-04-04 23:59:59.999
7,3.937,4.95,3.333,4.786,48330407.305,2021-04-11 23:59:59.999
8,4.781,5.65,3.218,3.787,101268494.011,2021-04-18 23:59:59.999
9,3.787,3.997,2.445,2.713,58545144.344,2021-04-25 23:59:59.999
10,2.714,4.176,2.677,4.17,73610039.904,2021-05-02 23:59:59.999
11,4.17,4.495,3.402,3.555,59116822.519,2021-05-09 23:59:59.999
12,3.555,3.68,2.566,2.725,42589928.777,2021-05-16 23:59:59.999
13,2.724,2.762,0.865,1.07,84493095.248,2021-05-23 23:59:59.999
14,1.071,1.9,1.036,1.594,94364770.478,2021-05-30 23:59:59.999
15,1.591,1.97,1.466,1.686,53268854.986,2021-06-06 23:59:59.999
16,1.685,1.85,1.175,1.333,46997456.321,2021-06-13 23:59:59.999
17,1.335,1.429,1.177,1.273,50393627.665,2021-06-20 23:59:59.999
18,1.274,1.279,0.76,0.876,59094939.419,2021-06-27 23:59:59.999
19,0.876,1.034,0.798,0.931,44989769.991,2021-07-04 23:59:59.999
20,0.929,1.25,0.835,1.211,107389234.219,2021-07-11 23:59:59.999
21,1.211,1.396,0.906,0.916,124728273.886,2021-07-18 23:59:59.999
22,0.917,1.087,0.752,1.034,93545205.569,2021-07-25 23:59:59.999
23,1.035,1.3,0.941,1.177,104610498.467,2021-08-01 23:59:59.999
24,1.179,1.641,1.146,1.42,101467318.976,2021-08-08 23:59:59.999
25,1.42,1.83,1.326,1.706,92310803.296,2021-08-15 23:59:59.999
26,1.706,2.347,1.682,2.26,170902651.941,2021-08-22 23:59:59.999
27,2.257,2.381,1.72,1.855,80864481.503,2021-08-29 23:59:59.999
28,1.855,2.19,1.745,2.134,97637968.356,2021-09-05 23:59:59.999
29,2.135,2.2,1.306,1.516,95628423.216,2021-09-12 23:59:59.999
30,1.516,1.688,1.291,1.578,65113855.512,2021-09-19 23:59:59.999
31,1.578,1.585,1.063,1.194,112011887.6,2021-09-26 23:59:59.999
32,1.193,1.457,1.109,1.358,69381935.8,2021-10-03 23:59:59.999
33,1.358,1.55,1.255,1.324,61554571.3,2021-10-10 23:59:59.999
34,1.323,1.986,1.187,1.535,157990566.0,2021-10-17 23:59:59.999
35,1.535,1.689,1.457,1.504,77122061.0,2021-10-24 23:59:59.999
36,1.504,1.965,1.355,1.728,131149842.9,2021-10-31 23:59:59.999
37,1.729,1.895,1.569,1.846,88986031.5,2021-11-07 23:59:59.999
38,1.847,1.876,1.462,1.657,77796872.1,2021-11-14 23:59:59.999
39,1.657,1.719,1.215,1.413,66071684.8,2021-11-21 23:59:59.999
40,1.414,1.588,1.24,1.402,90176409.5,2021-11-28 23:59:59.999
41,1.404,1.542,0.771,0.928,114277922.131,2021-12-05 23:59:59.999
42,0.929,1.004,0.836,0.921,73345211.3,2021-12-12 23:59:59.999
43,0.921,0.928,0.774,0.826,45117916.2,2021-12-19 23:59:59.999
44,0.826,1.053,0.775,1.002,69942114.2,2021-12-26 23:59:59.999
45,1.002,1.1,0.825,0.923,75802716.4,2022-01-02 23:59:59.999
46,0.923,0.978,0.722,0.749,103538622.681,2022-01-09 23:59:59.999
47,0.749,0.84,0.665,0.807,49520490.625,2022-01-16 23:59:59.999
48,0.808,0.814,0.452,0.507,62111528.584,2022-01-23 23:59:59.999
49,0.507,0.54,0.433,0.496,54574798.5,2022-01-30 23:59:59.999
50,0.496,0.581,0.454,0.556,105887361.0,2022-02-06 23:59:59.999
51,0.557,0.65,0.489,0.499,108172342.3,2022-02-13 23:59:59.999
52,0.499,0.555,0.456,0.471,51236651.0,2022-02-20 23:59:59.999
53,0.473,0.505,0.38,0.416,66033961.2,2022-02-27 23:59:59.999
54,0.416,0.49,0.394,0.395,37755742.3,2022-03-06 23:59:59.999
55,0.395,0.425,0.358,0.364,45137559.9,2022-03-13 23:59:59.999
56,0.364,0.46,0.354,0.419,75703272.9,2022-03-20 23:59:59.999
57,0.419,0.499,0.407,0.49,72030618.3,2022-03-27 23:59:59.999
58,0.49,0.658,0.473,0.567,231748867.9,2022-04-03 23:59:59.999
59,0.567,0.569,0.398,0.402,143123849.4,2022-04-10 23:59:59.999
60,0.402,0.426,0.356,0.378,137994438.8,2022-04-17 23:59:59.999
61,0.378,0.453,0.357,0.389,124092919.7,2022-04-24 23:59:59.999
62,0.389,0.391,0.262,0.304,92604225.0,2022-05-01 23:59:59.999
63,0.305,0.331,0.261,0.275,79962259.4,2022-05-08 23:59:59.999
64,0.274,0.278,0.121,0.169,134238489.0,2022-05-15 23:59:59.999
65,0.169,0.178,0.132,0.145,90616083.4,2022-05-22 23:59:59.999
66,0.145,0.238,0.131,0.178,363306813.5,2022-05-29 23:59:59.999
67,0.179,0.2231,0.1459,0.1652,380108929.5,2022-06-05 23:59:59.999
