,Open,High,Low,Close,Volume,Close time
0,10.0,10.272,5.321,5.54,329103.95,2020-09-13 23:59:59.999
1,5.686,8.471,4.8,7.512,605481.83,2020-09-20 23:59:59.999
2,7.512,11.187,7.055,8.344,1166727.89,2020-09-27 23:59:59.999
3,8.3,9.789,6.594,8.068,613673.62,2020-10-04 23:59:59.999
4,8.067,10.892,5.627,6.497,826416.01,2020-10-11 23:59:59.999
5,6.545,8.263,5.783,6.997,359538.13,2020-10-18 23:59:59.999
6,6.962,8.102,5.0,5.474,411340.86,2020-10-25 23:59:59.999
7,5.458,6.6,3.649,5.01,2130858.96,2020-11-01 23:59:59.999
8,4.961,6.443,3.323,4.338,977363.5,2020-11-08 23:59:59.999
9,4.402,4.682,3.844,4.402,315340.32,2020-11-15 23:59:59.999
10,4.443,4.48,1.938,2.35,1655380.99,2020-11-22 23:59:59.999
11,2.301,3.803,1.72,2.53,2080975.58,2020-11-29 23:59:59.999
12,2.514,2.709,1.82,2.377,1220435.51,2020-12-06 23:59:59.999
13,2.406,3.154,2.355,2.693,282939.57,2020-12-13 23:59:59.999
14,2.73,2.785,1.674,2.083,770750.84,2020-12-20 23:59:59.999
15,2.132,2.495,1.543,1.8,2134576.66,2020-12-27 23:59:59.999
16,1.795,1.84,0.181,0.198,243964500.54,2021-01-03 23:59:59.999
17,0.198,0.277,0.158,0.219,220046448.29,2021-01-10 23:59:59.999
18,0.219,0.396,0.01603,0.02008,2470729437.83,2021-01-17 23:59:59.999
19,0.02,0.02972,0.01351,0.01474,3275156727.21,2021-01-24 23:59:59.999
20,0.01471,0.02275,0.01228,0.01562,1199794357.9,2021-01-31 23:59:59.999
21,0.0158,0.0167,0.00678,0.00856,1339429708.84,2021-02-07 23:59:59.999
22,0.00861,0.00933,0.00256,0.00337,3930109666.14,2021-02-14 23:59:59.999
23,0.00336,0.00463,0.00073,0.0009,17783228036.36,2021-02-21 23:59:59.999
24,0.0009,0.00163,0.00059,0.00064,52686820965.75,2021-02-28 23:59:59.999
25,0.00064,0.000695,0.000432,0.000515,40071182816.51,2021-03-07 23:59:59.999
26,0.000511,0.000577,0.000347,0.000451,47233404640.01,2021-03-14 23:59:59.999
27,0.000453,0.000595,0.000303,0.000391,46010218999.82,2021-03-21 23:59:59.999
28,0.00039,0.00073,0.000362,0.000403,64819195353.95,2021-03-28 23:59:59.999
29,0.000406,0.000422,0.000144,0.000159,91188536289.49,2021-04-04 23:59:59.999
30,0.000158,2.88,0.000139,1.893055,18765020134.85,2021-04-11 23:59:59.999
31,1.896305,2.6,0.33,1.522435,6754071.63,2021-04-18 23:59:59.999
32,1.51052,2.9,1.348798,2.1469,6828843.27,2021-04-25 23:59:59.999
33,2.1488,2.1522,1.13,1.2297,6053796.69,2021-05-02 23:59:59.999
34,1.2128,1.3205,0.7241,0.9316,5547519.18,2021-05-09 23:59:59.999
35,0.9362,1.6665,0.3554,0.5059,35042230.47,2021-05-16 23:59:59.999
36,0.5125,2.75,0.0122,0.027,2788664055.28,2021-05-23 23:59:59.999
37,0.0269,0.03,0.008,0.0127,3128609755.05,2021-05-30 23:59:59.999
38,0.0128,0.0147,0.0053,0.0072,4611836327.73,2021-06-06 23:59:59.999
39,0.0071,0.0106,0.0062,0.0078,4130234704.76,2021-06-13 23:59:59.999
40,0.0077,0.0105,0.005,0.0082,6753483701.72,2021-06-20 23:59:59.999
41,0.0083,0.0227,0.008,0.0152,6758094754.16,2021-06-27 23:59:59.999
42,0.0151,0.0163,0.0104,0.0115,3142149572.44,2021-07-04 23:59:59.999
43,0.0116,0.0137,0.0089,0.0117,1712424339.36,2021-07-11 23:59:59.999
44,0.0117,0.0219,0.0113,0.0178,1107445042.25,2021-07-18 23:59:59.999
45,0.0178,0.0285,0.012458,0.013322,1739909471.55,2021-07-25 23:59:59.999
46,0.013346,0.013712,0.0038,0.005011,4481903513.22,2021-08-01 23:59:59.999
47,0.005011,0.006105,0.003007,0.003941,11189018730.23,2021-08-08 23:59:59.999
48,0.00394,0.004376,0.00234,0.002455,9414398390.91,2021-08-15 23:59:59.999
49,0.002457,0.002544,0.00107,0.001204,25926175725.29,2021-08-22 23:59:59.999
50,0.001206,0.001782,0.001091,0.001409,14701746434.4,2021-08-29 23:59:59.999
51,0.00141,0.001575,0.0006507,0.00067,36383255122.35,2021-09-05 23:59:59.999
52,0.0006694,0.0017,0.000388,0.0004093,62469652105.32,2021-09-12 23:59:59.999
53,0.0004107,0.0004877,0.0003058,0.000428,85068369030.19,2021-09-19 23:59:59.999
54,0.0004275,0.0007036,0.0003133,0.0004132,116323901535.01,2021-09-26 23:59:59.999
55,0.0004152,0.0005163,0.0002647,0.0002934,92247289210.46,2021-10-03 23:59:59.999
56,0.0002936,0.0003673,0.0001935,0.0002345,145753621286.48,2021-10-10 23:59:59.999
57,0.0002347,0.0002728,0.0001032,0.0001191,386289296331.49,2021-10-17 23:59:59.999
58,0.000119,15.0,9.43e-05,11.304,124717994407.49,2021-10-24 23:59:59.999
59,11.28,13.0,9.132,10.506,775346.06,2021-10-31 23:59:59.999
60,10.535,11.252,5.588,6.219,2702527.11,2021-11-07 23:59:59.999
61,6.195,10.733,5.719,8.487,1634335.89,2021-11-14 23:59:59.999
62,8.476,14.0,7.912,10.138,1510545.43,2021-11-21 23:59:59.999
63,10.113,18.73,9.983,14.734,654351.71,2021-11-28 23:59:59.999
64,14.696,30.315,11.079,18.135,810500.55,2021-12-05 23:59:59.999
65,18.251,23.033,12.111,14.4,938553.17,2021-12-12 23:59:59.999
66,14.343,21.0,14.034,19.798,921986.22,2021-12-19 23:59:59.999
67,19.863,22.79,10.418,10.7,1523877.46,2021-12-26 23:59:59.999
68,10.701,15.4,9.824,10.691,2356444.71,2022-01-02 23:59:59.999
69,10.691,18.989,9.76,16.291,3255748.52,2022-01-09 23:59:59.999
70,16.32,20.396,10.35,10.98,2177719.98,2022-01-16 23:59:59.999
71,10.951,32.5,10.9,24.036,2132235.31,2022-01-23 23:59:59.999
72,24.08,33.317,18.92,23.625,1499443.27,2022-01-30 23:59:59.999
73,23.633,26.4,14.243,14.865,1950012.67,2022-02-06 23:59:59.999
74,14.867,21.637,13.0,20.516,1936407.42,2022-02-13 23:59:59.999
75,20.534,25.7,16.837,25.05,1015540.23,2022-02-20 23:59:59.999
76,24.92,33.746,17.536,20.304,1473609.59,2022-02-27 23:59:59.999
77,20.384,22.49,15.231,19.572,1541587.69,2022-03-06 23:59:59.999
78,19.543,22.839,14.451,17.445,1780100.64,2022-03-13 23:59:59.999
79,17.405,17.9,12.06,13.821,1341195.58,2022-03-20 23:59:59.999
80,13.81,14.211,7.794,7.822,1757625.9,2022-03-27 23:59:59.999
81,7.822,9.646,6.061,6.6,4697972.99,2022-04-03 23:59:59.999
82,6.601,11.386,6.57,11.255,3753129.89,2022-04-10 23:59:59.999
83,11.261,15.106,11.18,13.072,2069632.83,2022-04-17 23:59:59.999
84,13.072,13.889,10.535,12.229,1779948.74,2022-04-24 23:59:59.999
85,12.237,18.988,11.892,15.847,1604776.83,2022-05-01 23:59:59.999
86,15.818,21.299,12.862,20.442,1963467.67,2022-05-08 23:59:59.999
87,20.421,53.0,9.86,9.96,3254126.4,2022-05-15 23:59:59.999
88,9.96,18.2,9.925,14.75,1935411.32,2022-05-22 23:59:59.999
89,14.735,19.684,13.165,14.787,1361813.5,2022-05-29 23:59:59.999
90,14.754,18.249,12.358,17.2,1319353.51,2022-06-05 23:59:59.999
